gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Ronnie,Simmmons,3063,Nowlin Rd,Reno,Arkansas,United States,75358,-70.6127,-110.7617,+4:30,Kabul,ronnie.simmmons@example.com,1981-02-20T23:16:33.915Z,40,2004-01-01T11:32:50.264Z,17,(437)-187-1747,(647)-844-2684,SSN,515-69-5753,https://randomuser.me/api/portraits/men/14.jpg,https://randomuser.me/api/portraits/med/men/14.jpg,https://randomuser.me/api/portraits/thumb/men/14.jpg,US
female,Mrs,Sara,Sanchez,1460,Plum St,San Mateo,Maryland,United States,26144,-9.4540,81.6129,-8:00,Pacific Time (US & Canada),sara.sanchez@example.com,1950-06-08T12:54:36.197Z,71,2011-05-12T10:52:26.721Z,10,(096)-528-3946,(108)-460-2656,SSN,313-95-5723,https://randomuser.me/api/portraits/women/13.jpg,https://randomuser.me/api/portraits/med/women/13.jpg,https://randomuser.me/api/portraits/thumb/women/13.jpg,US
male,Mr,Everett,Fleming,2350,Daisy Dr,Memphis,Pennsylvania,United States,94015,-59.5300,82.0817,-3:30,Newfoundland,everett.fleming@example.com,1948-11-02T11:57:43.946Z,73,2015-04-11T23:41:38.275Z,6,(252)-391-4296,(017)-746-5397,SSN,493-23-4920,https://randomuser.me/api/portraits/men/87.jpg,https://randomuser.me/api/portraits/med/men/87.jpg,https://randomuser.me/api/portraits/thumb/men/87.jpg,US
male,Mr,Joe,Mcdonalid,7876,Wycliff Ave,Tulsa,South Dakota,United States,92988,36.3180,-105.2925,-9:00,Alaska,joe.mcdonalid@example.com,1953-02-18T03:41:41.518Z,68,2019-04-10T23:16:32.386Z,2,(262)-850-2562,(732)-148-4037,SSN,894-93-3046,https://randomuser.me/api/portraits/men/95.jpg,https://randomuser.me/api/portraits/med/men/95.jpg,https://randomuser.me/api/portraits/thumb/men/95.jpg,US
male,Mr,Andrew,Bates,9968,Marsh Ln,Seattle,North Carolina,United States,18582,19.8135,-37.4484,+3:30,Tehran,andrew.bates@example.com,1985-09-25T15:38:14.649Z,36,2018-03-30T06:50:47.794Z,3,(572)-778-2569,(935)-471-4779,SSN,539-25-7441,https://randomuser.me/api/portraits/men/20.jpg,https://randomuser.me/api/portraits/med/men/20.jpg,https://randomuser.me/api/portraits/thumb/men/20.jpg,US
female,Miss,Hannah,Bennett,2279,Lakeshore Rd,Woodbridge,Louisiana,United States,26655,-34.0687,175.2179,-8:00,Pacific Time (US & Canada),hannah.bennett@example.com,1995-12-17T18:02:21.501Z,26,2013-01-21T03:14:12.268Z,8,(662)-845-5053,(007)-472-7023,SSN,831-66-4698,https://randomuser.me/api/portraits/women/42.jpg,https://randomuser.me/api/portraits/med/women/42.jpg,https://randomuser.me/api/portraits/thumb/women/42.jpg,US
female,Ms,Sylvia,Frazier,8433,Plum St,College Station,Wyoming,United States,42682,58.2392,56.2210,-10:00,Hawaii,sylvia.frazier@example.com,1992-05-06T17:27:14.189Z,29,2009-09-25T23:28:08.016Z,12,(011)-196-1543,(040)-142-5805,SSN,662-52-8403,https://randomuser.me/api/portraits/women/10.jpg,https://randomuser.me/api/portraits/med/women/10.jpg,https://randomuser.me/api/portraits/thumb/women/10.jpg,US
male,Mr,Allan,Mitchell,4838,Homestead Rd,Bernalillo,Arkansas,United States,80802,47.3419,-136.4472,-9:00,Alaska,allan.mitchell@example.com,1954-01-19T17:54:43.135Z,67,2011-04-25T07:56:55.520Z,10,(943)-076-2615,(713)-581-3438,SSN,520-21-4182,https://randomuser.me/api/portraits/men/13.jpg,https://randomuser.me/api/portraits/med/men/13.jpg,https://randomuser.me/api/portraits/thumb/men/13.jpg,US
male,Mr,Lawrence,Cruz,5730,N Stelling Rd,Celina,Louisiana,United States,52998,-72.6245,-42.8041,+5:45,Kathmandu,lawrence.cruz@example.com,1962-02-01T09:45:53.473Z,59,2006-07-25T03:01:23.696Z,15,(470)-136-0325,(633)-842-8604,SSN,845-79-6153,https://randomuser.me/api/portraits/men/9.jpg,https://randomuser.me/api/portraits/med/men/9.jpg,https://randomuser.me/api/portraits/thumb/men/9.jpg,US
female,Mrs,Heidi,Stanley,4819,Lakeview St,Anna,Texas,United States,54659,-4.8581,-68.9499,-3:30,Newfoundland,heidi.stanley@example.com,1998-03-19T21:40:49.477Z,23,2010-08-21T14:40:54.228Z,11,(352)-541-3641,(216)-716-0073,SSN,196-09-1608,https://randomuser.me/api/portraits/women/55.jpg,https://randomuser.me/api/portraits/med/women/55.jpg,https://randomuser.me/api/portraits/thumb/women/55.jpg,US
