gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Miss,Naomi,Gonzalez,571,Hillcrest Rd,Phoenix,Pennsylvania,United States,22297,-41.7046,-18.2857,+4:30,Kabul,naomi.gonzalez@example.com,1958-12-17T23:42:48.332Z,63,2019-01-28T18:43:58.926Z,2,(801)-737-5342,(485)-090-9410,SSN,222-67-3999,https://randomuser.me/api/portraits/women/38.jpg,https://randomuser.me/api/portraits/med/women/38.jpg,https://randomuser.me/api/portraits/thumb/women/38.jpg,US
female,Mrs,Dora,Jimenez,7329,Camden Ave,Arlington,New Mexico,United States,97913,43.8594,89.8946,-2:00,Mid-Atlantic,dora.jimenez@example.com,1987-10-19T02:00:32.585Z,34,2008-02-01T19:02:11.965Z,13,(464)-478-5800,(133)-323-1182,SSN,286-59-2531,https://randomuser.me/api/portraits/women/75.jpg,https://randomuser.me/api/portraits/med/women/75.jpg,https://randomuser.me/api/portraits/thumb/women/75.jpg,US
male,Mr,Alvin,Hudson,1261,Royal Ln,Athens,Michigan,United States,61315,-42.3814,166.4871,-9:00,Alaska,alvin.hudson@example.com,1975-08-02T16:53:51.425Z,46,2011-12-13T16:00:22.423Z,10,(931)-884-0209,(180)-629-8149,SSN,266-26-0904,https://randomuser.me/api/portraits/men/47.jpg,https://randomuser.me/api/portraits/med/men/47.jpg,https://randomuser.me/api/portraits/thumb/men/47.jpg,US
male,Mr,Carlos,Bishop,5927,Pecan Acres Ln,Denton,Montana,United States,21590,16.9925,68.4186,-2:00,Mid-Atlantic,carlos.bishop@example.com,1947-01-04T22:26:37.669Z,74,2013-02-09T04:30:54.853Z,8,(954)-066-1522,(002)-211-4914,SSN,792-96-1538,https://randomuser.me/api/portraits/men/58.jpg,https://randomuser.me/api/portraits/med/men/58.jpg,https://randomuser.me/api/portraits/thumb/men/58.jpg,US
male,Mr,Robert,Welch,5787,Miller Ave,Baton Rouge,Alaska,United States,50434,-49.0558,40.5379,-3:30,Newfoundland,robert.welch@example.com,1995-08-05T23:41:18.521Z,26,2019-09-04T13:03:11.463Z,2,(442)-278-6956,(857)-128-9226,SSN,327-49-0662,https://randomuser.me/api/portraits/men/2.jpg,https://randomuser.me/api/portraits/med/men/2.jpg,https://randomuser.me/api/portraits/thumb/men/2.jpg,US
female,Mrs,Juanita,Rhodes,6229,Pockrus Page Rd,Jersey City,Arizona,United States,25630,-23.9711,82.3502,-10:00,Hawaii,juanita.rhodes@example.com,1993-03-17T01:21:06.898Z,28,2014-06-11T04:47:51.836Z,7,(068)-853-2218,(928)-204-4071,SSN,745-74-6464,https://randomuser.me/api/portraits/women/87.jpg,https://randomuser.me/api/portraits/med/women/87.jpg,https://randomuser.me/api/portraits/thumb/women/87.jpg,US
female,Miss,Pamela,Davidson,9589,W Campbell Ave,Inglewood,Nebraska,United States,48983,87.0867,-93.5850,+3:30,Tehran,pamela.davidson@example.com,1994-03-12T00:31:31.447Z,27,2006-01-28T12:38:06.535Z,15,(530)-450-8573,(675)-453-2654,SSN,354-70-4930,https://randomuser.me/api/portraits/women/56.jpg,https://randomuser.me/api/portraits/med/women/56.jpg,https://randomuser.me/api/portraits/thumb/women/56.jpg,US
female,Ms,Sharlene,Brooks,6052,Paddock Way,North Charleston,Wisconsin,United States,88490,-12.8026,-16.0651,-3:30,Newfoundland,sharlene.brooks@example.com,1976-01-06T16:37:51.330Z,45,2013-11-02T06:38:41.212Z,8,(698)-325-0179,(933)-865-1333,SSN,883-45-8262,https://randomuser.me/api/portraits/women/51.jpg,https://randomuser.me/api/portraits/med/women/51.jpg,https://randomuser.me/api/portraits/thumb/women/51.jpg,US
female,Ms,Lauren,Lucas,3801,Forest Ln,Jackson,New Jersey,United States,16555,56.3027,43.6374,-8:00,Pacific Time (US & Canada),lauren.lucas@example.com,1993-08-04T14:33:06.957Z,28,2008-11-20T00:10:58.446Z,13,(482)-439-7249,(118)-572-4178,SSN,883-17-9477,https://randomuser.me/api/portraits/women/62.jpg,https://randomuser.me/api/portraits/med/women/62.jpg,https://randomuser.me/api/portraits/thumb/women/62.jpg,US
male,Mr,Soham,Oliver,5196,Photinia Ave,Lancaster,Tennessee,United States,21559,-69.3759,-72.8768,-10:00,Hawaii,soham.oliver@example.com,1988-12-08T08:14:04.585Z,33,2004-09-03T15:54:56.062Z,17,(196)-748-0831,(676)-772-0344,SSN,985-76-4524,https://randomuser.me/api/portraits/men/91.jpg,https://randomuser.me/api/portraits/med/men/91.jpg,https://randomuser.me/api/portraits/thumb/men/91.jpg,US
