gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Miss,Audrey,Robertson,7533,Depaul Dr,Forney,South Dakota,United States,19559,26.9600,-41.2141,-8:00,Pacific Time (US & Canada),audrey.robertson@example.com,1973-02-20T05:54:33.030Z,48,2012-10-25T17:11:36.145Z,9,(969)-738-0170,(133)-430-2526,SSN,342-16-9549,https://randomuser.me/api/portraits/women/64.jpg,https://randomuser.me/api/portraits/med/women/64.jpg,https://randomuser.me/api/portraits/thumb/women/64.jpg,US
male,Mr,Claude,Hale,9597,Country Club Rd,Princeton,Virginia,United States,50145,-49.1465,-31.4151,+3:30,Tehran,claude.hale@example.com,1973-09-07T16:11:52.557Z,48,2003-06-29T14:24:40.781Z,18,(009)-593-4946,(309)-273-1650,SSN,869-88-3802,https://randomuser.me/api/portraits/men/47.jpg,https://randomuser.me/api/portraits/med/men/47.jpg,https://randomuser.me/api/portraits/thumb/men/47.jpg,US
male,Mr,Paul,Reed,877,Parker Rd,Dumas,Iowa,United States,99657,88.3181,120.6603,+4:30,Kabul,paul.reed@example.com,1963-02-23T00:04:20.645Z,58,2003-11-05T00:31:02.598Z,18,(051)-664-9174,(468)-643-5563,SSN,885-60-8190,https://randomuser.me/api/portraits/men/45.jpg,https://randomuser.me/api/portraits/med/men/45.jpg,https://randomuser.me/api/portraits/thumb/men/45.jpg,US
male,Mr,Adam,Lambert,8687,W 6th St,Desoto,Alaska,United States,93583,37.2877,-0.8118,-8:00,Pacific Time (US & Canada),adam.lambert@example.com,1983-06-05T05:05:35.605Z,38,2012-11-22T14:28:31.483Z,9,(764)-817-1957,(548)-554-2425,SSN,980-99-7399,https://randomuser.me/api/portraits/men/76.jpg,https://randomuser.me/api/portraits/med/men/76.jpg,https://randomuser.me/api/portraits/thumb/men/76.jpg,US
male,Mr,Evan,Barnes,504,Central St,Arvada,North Carolina,United States,53444,-70.5614,-10.0918,+5:45,Kathmandu,evan.barnes@example.com,1945-01-10T03:20:37.126Z,76,2003-06-02T07:26:18.139Z,18,(978)-702-5689,(521)-175-1745,SSN,107-88-7497,https://randomuser.me/api/portraits/men/7.jpg,https://randomuser.me/api/portraits/med/men/7.jpg,https://randomuser.me/api/portraits/thumb/men/7.jpg,US
male,Mr,Don,Martinez,2687,W Sherman Dr,Coppell,Kansas,United States,81061,-66.2080,31.7975,-7:00,Mountain Time (US & Canada),don.martinez@example.com,1949-08-17T10:33:42.013Z,72,2015-04-19T18:38:06.750Z,6,(769)-334-3933,(692)-196-3710,SSN,158-64-9002,https://randomuser.me/api/portraits/men/82.jpg,https://randomuser.me/api/portraits/med/men/82.jpg,https://randomuser.me/api/portraits/thumb/men/82.jpg,US
female,Miss,Cherly,Castillo,4840,Oak Ridge Ln,Hollywood,Kentucky,United States,66437,64.2642,-5.6962,-10:00,Hawaii,cherly.castillo@example.com,1962-05-28T07:45:40.392Z,59,2008-08-30T15:12:41.574Z,13,(908)-587-4148,(230)-452-0900,SSN,843-76-9738,https://randomuser.me/api/portraits/women/53.jpg,https://randomuser.me/api/portraits/med/women/53.jpg,https://randomuser.me/api/portraits/thumb/women/53.jpg,US
female,Ms,Georgia,Jordan,1098,Hamilton Ave,Corona,Ohio,United States,24064,35.1584,90.6463,-7:00,Mountain Time (US & Canada),georgia.jordan@example.com,1972-02-25T12:11:27.368Z,49,2009-06-29T07:07:22.040Z,12,(645)-353-5299,(657)-897-0109,SSN,144-62-2714,https://randomuser.me/api/portraits/women/87.jpg,https://randomuser.me/api/portraits/med/women/87.jpg,https://randomuser.me/api/portraits/thumb/women/87.jpg,US
female,Mrs,Marlene,Franklin,446,Elgin St,Lincoln,Arkansas,United States,82330,-62.8314,-65.1685,-7:00,Mountain Time (US & Canada),marlene.franklin@example.com,1994-04-04T17:10:46.623Z,27,2013-12-13T17:18:26.880Z,8,(079)-105-1043,(260)-172-9189,SSN,050-35-8891,https://randomuser.me/api/portraits/women/37.jpg,https://randomuser.me/api/portraits/med/women/37.jpg,https://randomuser.me/api/portraits/thumb/women/37.jpg,US
male,Mr,Dale,Vasquez,2896,Saddle Dr,Vallejo,Mississippi,United States,79263,-31.2221,12.8071,+4:30,Kabul,dale.vasquez@example.com,1985-07-20T04:45:04.820Z,36,2011-09-08T12:34:05.921Z,10,(785)-426-6177,(242)-561-9343,SSN,425-45-9688,https://randomuser.me/api/portraits/men/62.jpg,https://randomuser.me/api/portraits/med/men/62.jpg,https://randomuser.me/api/portraits/thumb/men/62.jpg,US
female,Mrs,Michele,Weaver,1270,Brown Terrace,West Covina,Rhode Island,United States,38257,52.9860,144.9799,-10:00,Hawaii,michele.weaver@example.com,1976-03-22T01:03:09.643Z,45,2010-10-10T17:33:31.770Z,11,(629)-822-0303,(473)-378-5324,SSN,738-88-5252,https://randomuser.me/api/portraits/women/29.jpg,https://randomuser.me/api/portraits/med/women/29.jpg,https://randomuser.me/api/portraits/thumb/women/29.jpg,US
