gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Ms,Phyllis,Arnold,9955,First Street,Saint Paul,Maryland,United States,81232,-26.8616,25.8416,-10:00,Hawaii,phyllis.arnold@example.com,1955-11-24T21:40:44.006Z,66,2012-09-07T07:01:54.816Z,9,(373)-940-8247,(801)-749-9502,SSN,813-23-3896,https://randomuser.me/api/portraits/women/14.jpg,https://randomuser.me/api/portraits/med/women/14.jpg,https://randomuser.me/api/portraits/thumb/women/14.jpg,US
male,Mr,Jorge,Holland,6463,Walnut Hill Ln,Frisco,Missouri,United States,50214,74.3549,-115.0464,-2:00,Mid-Atlantic,jorge.holland@example.com,1947-04-04T04:18:20.335Z,74,2017-10-29T04:58:36.465Z,4,(137)-164-5671,(282)-501-1949,SSN,256-83-0837,https://randomuser.me/api/portraits/men/30.jpg,https://randomuser.me/api/portraits/med/men/30.jpg,https://randomuser.me/api/portraits/thumb/men/30.jpg,US
female,Ms,Alma,Little,682,Wycliff Ave,Burbank,Oregon,United States,91434,46.3239,-18.7052,+4:30,Kabul,alma.little@example.com,1977-11-13T12:46:20.210Z,44,2002-11-19T22:35:21.490Z,19,(386)-986-7922,(621)-574-8875,SSN,105-80-9869,https://randomuser.me/api/portraits/women/53.jpg,https://randomuser.me/api/portraits/med/women/53.jpg,https://randomuser.me/api/portraits/thumb/women/53.jpg,US
female,Miss,Rose,Jones,2892,Shady Ln Dr,Syracuse,Massachusetts,United States,48963,-24.5562,149.2455,-7:00,Mountain Time (US & Canada),rose.jones@example.com,1949-10-20T03:42:57.378Z,72,2015-12-07T10:32:46.307Z,6,(127)-788-7424,(467)-995-6727,SSN,450-33-1251,https://randomuser.me/api/portraits/women/89.jpg,https://randomuser.me/api/portraits/med/women/89.jpg,https://randomuser.me/api/portraits/thumb/women/89.jpg,US
female,Mrs,Kaylee,Shelton,716,Hickory Creek Dr,Red Bluff,Ohio,United States,33951,-58.7479,-161.1283,-7:00,Mountain Time (US & Canada),kaylee.shelton@example.com,1961-06-23T13:42:13.733Z,60,2017-01-26T11:11:54.809Z,4,(529)-841-1294,(914)-946-4799,SSN,686-62-1730,https://randomuser.me/api/portraits/women/39.jpg,https://randomuser.me/api/portraits/med/women/39.jpg,https://randomuser.me/api/portraits/thumb/women/39.jpg,US
male,Mr,Luis,Brooks,8510,Prospect Rd,Dallas,New Jersey,United States,29540,10.7549,12.6486,-7:00,Mountain Time (US & Canada),luis.brooks@example.com,1992-07-31T01:56:07.435Z,29,2003-01-10T06:04:30.063Z,18,(492)-587-0379,(517)-271-5117,SSN,207-73-0191,https://randomuser.me/api/portraits/men/97.jpg,https://randomuser.me/api/portraits/med/men/97.jpg,https://randomuser.me/api/portraits/thumb/men/97.jpg,US
female,Ms,Roberta,Wright,6686,Preston Rd,Rockford,Michigan,United States,55961,-41.0496,58.9439,+4:30,Kabul,roberta.wright@example.com,1957-04-18T06:53:10.967Z,64,2011-06-04T05:36:21.944Z,10,(866)-463-4280,(295)-252-5546,SSN,709-69-6671,https://randomuser.me/api/portraits/women/67.jpg,https://randomuser.me/api/portraits/med/women/67.jpg,https://randomuser.me/api/portraits/thumb/women/67.jpg,US
female,Mrs,Beatrice,Jenkins,2797,First Street,Evansville,Connecticut,United States,54894,32.4845,32.5352,-3:30,Newfoundland,beatrice.jenkins@example.com,1973-07-15T02:07:08.141Z,48,2009-04-26T21:08:01.403Z,12,(418)-948-6581,(749)-388-2585,SSN,941-92-8029,https://randomuser.me/api/portraits/women/12.jpg,https://randomuser.me/api/portraits/med/women/12.jpg,https://randomuser.me/api/portraits/thumb/women/12.jpg,US
female,Miss,Delores,Miles,7061,W Belt Line Rd,San Diego,Oklahoma,United States,64322,-52.4309,-135.8477,+4:30,Kabul,delores.miles@example.com,1945-05-06T17:55:36.919Z,76,2014-06-15T10:09:49.530Z,7,(283)-564-7733,(552)-574-9087,SSN,427-03-8186,https://randomuser.me/api/portraits/women/72.jpg,https://randomuser.me/api/portraits/med/women/72.jpg,https://randomuser.me/api/portraits/thumb/women/72.jpg,US
female,Ms,Scarlett,Wagner,4703,W Campbell Ave,Carlsbad,Vermont,United States,33524,-69.3044,26.0200,-7:00,Mountain Time (US & Canada),scarlett.wagner@example.com,1949-07-27T13:52:49.343Z,72,2019-02-02T14:09:40.517Z,2,(593)-707-9475,(968)-226-9803,SSN,050-47-9554,https://randomuser.me/api/portraits/women/64.jpg,https://randomuser.me/api/portraits/med/women/64.jpg,https://randomuser.me/api/portraits/thumb/women/64.jpg,US
male,Mr,Dwayne,Hughes,5423,Valley View Ln,Los Angeles,Nevada,United States,86229,12.1479,-49.3341,-3:30,Newfoundland,dwayne.hughes@example.com,1982-08-28T11:45:22.805Z,39,2015-04-18T14:09:48.124Z,6,(151)-355-6096,(029)-806-7755,SSN,523-25-7806,https://randomuser.me/api/portraits/men/89.jpg,https://randomuser.me/api/portraits/med/men/89.jpg,https://randomuser.me/api/portraits/thumb/men/89.jpg,US
