gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Miss,Beverly,Carroll,1230,Central St,St. Louis,Idaho,United States,88562,0.1463,58.6477,-7:00,Mountain Time (US & Canada),beverly.carroll@example.com,1971-02-08T03:56:00.292Z,50,2003-02-09T02:28:58.501Z,18,(213)-631-9567,(216)-932-8059,SSN,383-45-5002,https://randomuser.me/api/portraits/women/41.jpg,https://randomuser.me/api/portraits/med/women/41.jpg,https://randomuser.me/api/portraits/thumb/women/41.jpg,US
male,Mr,Robert,Hawkins,5255,E Pecan St,Akron,Utah,United States,53141,83.4678,169.2464,+3:30,Tehran,robert.hawkins@example.com,1986-05-25T06:13:13.507Z,35,2019-07-09T19:01:58.726Z,2,(703)-755-5498,(328)-783-5253,SSN,010-26-2949,https://randomuser.me/api/portraits/men/25.jpg,https://randomuser.me/api/portraits/med/men/25.jpg,https://randomuser.me/api/portraits/thumb/men/25.jpg,US
male,Mr,Roberto,Beck,6306,Ash Dr,Downey,Colorado,United States,62029,-78.7125,156.7663,+5:45,Kathmandu,roberto.beck@example.com,1947-09-26T17:55:50.346Z,74,2015-11-11T19:14:08.515Z,6,(745)-920-5088,(525)-899-1398,SSN,502-47-5436,https://randomuser.me/api/portraits/men/99.jpg,https://randomuser.me/api/portraits/med/men/99.jpg,https://randomuser.me/api/portraits/thumb/men/99.jpg,US
female,Mrs,Michele,Cox,2896,Bollinger Rd,Frisco,Vermont,United States,25785,-33.1952,65.0339,+4:30,Kabul,michele.cox@example.com,1985-06-12T04:43:15.439Z,36,2008-01-02T13:15:18.209Z,13,(900)-213-7049,(215)-010-9886,SSN,132-82-9284,https://randomuser.me/api/portraits/women/72.jpg,https://randomuser.me/api/portraits/med/women/72.jpg,https://randomuser.me/api/portraits/thumb/women/72.jpg,US
female,Mrs,Kenzi,Peters,5981,E Center St,Stanley,Nevada,United States,94540,21.2107,13.0300,-8:00,Pacific Time (US & Canada),kenzi.peters@example.com,1945-10-24T21:56:13.173Z,76,2008-07-14T10:15:38.966Z,13,(439)-029-6091,(519)-734-8256,SSN,870-64-3144,https://randomuser.me/api/portraits/women/57.jpg,https://randomuser.me/api/portraits/med/women/57.jpg,https://randomuser.me/api/portraits/thumb/women/57.jpg,US
female,Miss,Celina,Gray,7155,Marsh Ln,Bernalillo,North Carolina,United States,65552,-82.1241,102.0362,+5:45,Kathmandu,celina.gray@example.com,1961-05-04T11:29:56.452Z,60,2009-01-06T15:12:02.245Z,12,(842)-118-6090,(092)-659-3129,SSN,115-51-1184,https://randomuser.me/api/portraits/women/81.jpg,https://randomuser.me/api/portraits/med/women/81.jpg,https://randomuser.me/api/portraits/thumb/women/81.jpg,US
male,Mr,Marcus,Kim,7718,E North St,Miami,Illinois,United States,90426,64.9675,19.8707,-9:00,Alaska,marcus.kim@example.com,1949-09-08T16:53:36.780Z,72,2016-02-29T08:04:52.306Z,5,(610)-892-1016,(974)-471-6463,SSN,686-13-4368,https://randomuser.me/api/portraits/men/83.jpg,https://randomuser.me/api/portraits/med/men/83.jpg,https://randomuser.me/api/portraits/thumb/men/83.jpg,US
male,Mr,Shane,Beck,9578,Karen Dr,Vallejo,Arkansas,United States,98092,52.8958,3.7809,-2:00,Mid-Atlantic,shane.beck@example.com,1952-05-13T21:06:10.161Z,69,2008-03-03T22:29:43.039Z,13,(404)-616-8619,(539)-392-4632,SSN,258-78-9021,https://randomuser.me/api/portraits/men/22.jpg,https://randomuser.me/api/portraits/med/men/22.jpg,https://randomuser.me/api/portraits/thumb/men/22.jpg,US
male,Mr,Gilbert,Shaw,2544,W Pecan St,Pomona,Kansas,United States,97618,42.4003,-80.3316,+3:30,Tehran,gilbert.shaw@example.com,1975-11-23T05:30:04.479Z,46,2017-01-21T00:02:28.568Z,4,(668)-607-1512,(323)-648-7883,SSN,262-87-4620,https://randomuser.me/api/portraits/men/29.jpg,https://randomuser.me/api/portraits/med/men/29.jpg,https://randomuser.me/api/portraits/thumb/men/29.jpg,US
male,Mr,Eric,Snyder,9395,Eason Rd,Fort Lauderdale,Wisconsin,United States,25334,8.6787,-30.7895,-10:00,Hawaii,eric.snyder@example.com,1987-12-28T04:31:07.512Z,34,2005-05-28T05:04:07.744Z,16,(393)-568-3062,(192)-444-0889,SSN,638-47-3584,https://randomuser.me/api/portraits/men/47.jpg,https://randomuser.me/api/portraits/med/men/47.jpg,https://randomuser.me/api/portraits/thumb/men/47.jpg,US
male,Mr,Troy,Jimenez,7260,Pecan Acres Ln,Scurry,Indiana,United States,49480,-25.5850,116.3523,+5:45,Kathmandu,troy.jimenez@example.com,1998-01-23T21:02:10.329Z,23,2011-10-01T14:31:24.145Z,10,(948)-855-6634,(068)-109-4526,SSN,751-20-7259,https://randomuser.me/api/portraits/men/44.jpg,https://randomuser.me/api/portraits/med/men/44.jpg,https://randomuser.me/api/portraits/thumb/men/44.jpg,US
