gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Ms,Nicole,Gonzalez,645,Crockett St,San Antonio,New York,United States,34183,74.7986,-15.2409,-8:00,Pacific Time (US & Canada),nicole.gonzalez@example.com,1970-02-05T04:51:48.194Z,51,2018-11-18T09:22:28.683Z,3,(087)-612-2929,(652)-281-4111,SSN,343-85-8129,https://randomuser.me/api/portraits/women/93.jpg,https://randomuser.me/api/portraits/med/women/93.jpg,https://randomuser.me/api/portraits/thumb/women/93.jpg,US
male,Mr,Ted,Larson,3440,Hamilton Ave,Stockton,Tennessee,United States,49938,79.8606,-121.6059,+3:30,Tehran,ted.larson@example.com,1984-06-21T05:47:19.993Z,37,2008-04-11T10:09:19.784Z,13,(895)-895-3498,(922)-829-0626,SSN,397-18-2282,https://randomuser.me/api/portraits/men/96.jpg,https://randomuser.me/api/portraits/med/men/96.jpg,https://randomuser.me/api/portraits/thumb/men/96.jpg,US
male,Mr,Ronnie,Barnes,352,Eason Rd,Lowell,Nebraska,United States,29453,5.4031,-59.0475,+3:30,Tehran,ronnie.barnes@example.com,1986-02-09T07:39:30.304Z,35,2016-08-09T23:29:22.143Z,5,(655)-812-3442,(933)-630-4728,SSN,835-46-5494,https://randomuser.me/api/portraits/men/92.jpg,https://randomuser.me/api/portraits/med/men/92.jpg,https://randomuser.me/api/portraits/thumb/men/92.jpg,US
female,Miss,Lynn,Simpson,7679,Fairview St,Dumas,Tennessee,United States,19497,-57.4842,-168.2370,-9:00,Alaska,lynn.simpson@example.com,1987-03-06T19:14:15.372Z,34,2009-12-19T13:11:47.513Z,12,(481)-541-7147,(794)-881-9041,SSN,918-77-9925,https://randomuser.me/api/portraits/women/94.jpg,https://randomuser.me/api/portraits/med/women/94.jpg,https://randomuser.me/api/portraits/thumb/women/94.jpg,US
female,Miss,Florence,Peters,4098,Westheimer Rd,Seagoville,Delaware,United States,96272,17.0843,-75.2639,-10:00,Hawaii,florence.peters@example.com,1992-08-19T08:12:08.035Z,29,2019-04-01T11:26:24.070Z,2,(828)-626-0558,(215)-239-0593,SSN,246-38-1742,https://randomuser.me/api/portraits/women/1.jpg,https://randomuser.me/api/portraits/med/women/1.jpg,https://randomuser.me/api/portraits/thumb/women/1.jpg,US
male,Mr,Ken,Kennedy,5195,W Gray St,Roanoke,Maine,United States,44791,-23.3216,51.4505,+3:30,Tehran,ken.kennedy@example.com,1995-01-25T13:08:17.590Z,26,2003-07-22T22:45:05.415Z,18,(768)-187-7112,(497)-691-1843,SSN,982-93-1199,https://randomuser.me/api/portraits/men/93.jpg,https://randomuser.me/api/portraits/med/men/93.jpg,https://randomuser.me/api/portraits/thumb/men/93.jpg,US
male,Mr,Pedro,Spencer,484,Hogan St,Saint Paul,Missouri,United States,34690,-15.6567,-47.3199,+3:30,Tehran,pedro.spencer@example.com,1990-04-19T08:13:21.445Z,31,2012-07-01T19:48:12.677Z,9,(427)-729-5904,(347)-914-0402,SSN,385-11-0176,https://randomuser.me/api/portraits/men/74.jpg,https://randomuser.me/api/portraits/med/men/74.jpg,https://randomuser.me/api/portraits/thumb/men/74.jpg,US
male,Mr,Jeffrey,Mitchell,214,Hillcrest Rd,Philadelphia,Massachusetts,United States,94277,36.2708,-129.0603,-8:00,Pacific Time (US & Canada),jeffrey.mitchell@example.com,1947-09-08T10:48:26.191Z,74,2006-03-21T21:32:19.692Z,15,(684)-231-9698,(617)-865-1972,SSN,740-30-1968,https://randomuser.me/api/portraits/men/72.jpg,https://randomuser.me/api/portraits/med/men/72.jpg,https://randomuser.me/api/portraits/thumb/men/72.jpg,US
male,Mr,Albert,Williams,4078,Eason Rd,Antioch,Nebraska,United States,70482,-39.3958,123.3495,+5:45,Kathmandu,albert.williams@example.com,1972-03-09T03:34:13.912Z,49,2015-12-13T14:10:54.743Z,6,(862)-498-7212,(232)-168-1159,SSN,128-44-7609,https://randomuser.me/api/portraits/men/89.jpg,https://randomuser.me/api/portraits/med/men/89.jpg,https://randomuser.me/api/portraits/thumb/men/89.jpg,US
female,Mrs,Sara,Burton,7221,Adams St,Topeka,Texas,United States,49386,70.4456,-66.8026,+4:30,Kabul,sara.burton@example.com,1970-02-19T21:28:30.592Z,51,2002-12-01T10:27:03.434Z,19,(934)-051-4343,(511)-727-9803,SSN,862-63-8105,https://randomuser.me/api/portraits/women/25.jpg,https://randomuser.me/api/portraits/med/women/25.jpg,https://randomuser.me/api/portraits/thumb/women/25.jpg,US
