gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Dwayne,Ellis,2352,First Street,Detroit,Arkansas,United States,95247,36.0220,-150.0880,+4:30,Kabul,dwayne.ellis@example.com,1978-05-28T09:04:33.198Z,43,2018-12-05T10:08:56.924Z,3,(767)-018-7358,(134)-965-2622,SSN,747-51-7930,https://randomuser.me/api/portraits/men/51.jpg,https://randomuser.me/api/portraits/med/men/51.jpg,https://randomuser.me/api/portraits/thumb/men/51.jpg,US
male,Mr,Gilbert,Carter,7460,Country Club Rd,Coppell,Washington,United States,71644,37.0896,-21.8927,-8:00,Pacific Time (US & Canada),gilbert.carter@example.com,1990-08-15T23:30:59.363Z,31,2019-08-04T11:47:01.057Z,2,(229)-517-5407,(816)-930-5776,SSN,516-75-0222,https://randomuser.me/api/portraits/men/10.jpg,https://randomuser.me/api/portraits/med/men/10.jpg,https://randomuser.me/api/portraits/thumb/men/10.jpg,US
female,Ms,Peyton,Jennings,9354,Central St,Lexington,Washington,United States,93982,-66.1368,-124.1157,-10:00,Hawaii,peyton.jennings@example.com,1967-10-11T16:06:12.981Z,54,2015-05-18T20:57:48.019Z,6,(015)-526-2483,(065)-411-7237,SSN,727-37-7270,https://randomuser.me/api/portraits/women/88.jpg,https://randomuser.me/api/portraits/med/women/88.jpg,https://randomuser.me/api/portraits/thumb/women/88.jpg,US
male,Mr,Devon,Ferguson,9650,Dogwood Ave,Lakewood,Ohio,United States,65181,49.0899,38.3115,-3:30,Newfoundland,devon.ferguson@example.com,1951-06-17T13:22:52.499Z,70,2003-01-31T10:34:43.869Z,18,(092)-418-1515,(879)-660-7019,SSN,225-91-9299,https://randomuser.me/api/portraits/men/51.jpg,https://randomuser.me/api/portraits/med/men/51.jpg,https://randomuser.me/api/portraits/thumb/men/51.jpg,US
female,Ms,Tamara,Daniels,9449,Karen Dr,Elgin,New Jersey,United States,10466,51.4039,-125.9761,+3:30,Tehran,tamara.daniels@example.com,1974-07-31T17:57:49.975Z,47,2014-05-30T12:05:35.458Z,7,(921)-057-7888,(122)-119-2701,SSN,393-58-1574,https://randomuser.me/api/portraits/women/3.jpg,https://randomuser.me/api/portraits/med/women/3.jpg,https://randomuser.me/api/portraits/thumb/women/3.jpg,US
male,Mr,Jared,Ramirez,724,Rolling Green Rd,Elko,Alaska,United States,78385,-67.1763,170.8051,+3:30,Tehran,jared.ramirez@example.com,1975-01-29T17:25:25.833Z,46,2002-03-25T21:41:22.166Z,19,(839)-176-5750,(496)-079-6319,SSN,719-04-7770,https://randomuser.me/api/portraits/men/76.jpg,https://randomuser.me/api/portraits/med/men/76.jpg,https://randomuser.me/api/portraits/thumb/men/76.jpg,US
male,Mr,Roberto,Harper,1970,Oak Ridge Ln,Eugene,Maryland,United States,67074,-86.7465,-116.7721,+4:30,Kabul,roberto.harper@example.com,1988-09-29T23:58:18.749Z,33,2015-06-24T08:43:06.140Z,6,(838)-193-5326,(688)-250-9116,SSN,095-32-8024,https://randomuser.me/api/portraits/men/18.jpg,https://randomuser.me/api/portraits/med/men/18.jpg,https://randomuser.me/api/portraits/thumb/men/18.jpg,US
male,Mr,Cory,Anderson,9424,College St,Celina,South Carolina,United States,59749,-33.3499,-158.6605,-2:00,Mid-Atlantic,cory.anderson@example.com,1977-04-06T09:11:22.366Z,44,2005-02-15T07:14:25.963Z,16,(887)-687-6801,(339)-629-5139,SSN,023-39-4059,https://randomuser.me/api/portraits/men/99.jpg,https://randomuser.me/api/portraits/med/men/99.jpg,https://randomuser.me/api/portraits/thumb/men/99.jpg,US
male,Mr,Francisco,Burton,363,Spring Hill Rd,San Antonio,Iowa,United States,79544,-28.3940,118.8169,+3:30,Tehran,francisco.burton@example.com,1954-01-11T14:34:41.818Z,67,2014-09-16T22:27:27.619Z,7,(132)-773-3981,(641)-129-7511,SSN,516-51-6545,https://randomuser.me/api/portraits/men/5.jpg,https://randomuser.me/api/portraits/med/men/5.jpg,https://randomuser.me/api/portraits/thumb/men/5.jpg,US
male,Mr,Alexander,Young,9066,Harrison Ct,Los Lunas,Illinois,United States,77223,-25.6269,133.2169,-3:30,Newfoundland,alexander.young@example.com,1994-06-08T14:02:08.681Z,27,2011-12-01T00:45:37.283Z,10,(832)-196-1332,(399)-923-9553,SSN,146-57-1192,https://randomuser.me/api/portraits/men/8.jpg,https://randomuser.me/api/portraits/med/men/8.jpg,https://randomuser.me/api/portraits/thumb/men/8.jpg,US
male,Mr,Ritthy,Peck,4916,Rolling Green Rd,Garland,Massachusetts,United States,28068,82.6426,62.3891,-8:00,Pacific Time (US & Canada),ritthy.peck@example.com,1980-12-15T13:40:55.478Z,41,2015-05-03T16:59:42.454Z,6,(667)-611-6077,(829)-321-4119,SSN,764-82-1669,https://randomuser.me/api/portraits/men/36.jpg,https://randomuser.me/api/portraits/med/men/36.jpg,https://randomuser.me/api/portraits/thumb/men/36.jpg,US
male,Mr,Perry,Garrett,2924,Sunset St,Ironville,Ohio,United States,87630,75.2732,6.3670,-2:00,Mid-Atlantic,perry.garrett@example.com,1968-04-09T12:41:08.989Z,53,2002-07-14T07:56:01.221Z,19,(860)-366-8106,(620)-410-9550,SSN,096-07-4263,https://randomuser.me/api/portraits/men/82.jpg,https://randomuser.me/api/portraits/med/men/82.jpg,https://randomuser.me/api/portraits/thumb/men/82.jpg,US
male,Mr,Stephen,Fox,6918,Karen Dr,Gilbert,Iowa,United States,51731,-46.1925,107.6373,-10:00,Hawaii,stephen.fox@example.com,1960-09-24T06:19:24.313Z,61,2012-02-03T12:07:15.838Z,9,(816)-673-9743,(880)-616-0094,SSN,699-09-1520,https://randomuser.me/api/portraits/men/76.jpg,https://randomuser.me/api/portraits/med/men/76.jpg,https://randomuser.me/api/portraits/thumb/men/76.jpg,US
