gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Dustin,Lane,8578,College St,Durham,Oregon,United States,92329,55.4744,-118.3201,-2:00,Mid-Atlantic,dustin.lane@example.com,1978-01-07T02:47:41.510Z,43,2007-07-29T09:36:24.876Z,14,(131)-456-5419,(042)-004-2057,SSN,661-07-9515,https://randomuser.me/api/portraits/men/35.jpg,https://randomuser.me/api/portraits/med/men/35.jpg,https://randomuser.me/api/portraits/thumb/men/35.jpg,US
male,Mr,Gabriel,Flores,2060,Lakeview St,Lewiston,Washington,United States,14546,83.4372,-148.6356,+4:30,Kabul,gabriel.flores@example.com,1987-06-24T02:47:48.392Z,34,2018-03-10T06:07:42.738Z,3,(222)-244-7856,(050)-652-8555,SSN,300-00-8613,https://randomuser.me/api/portraits/men/15.jpg,https://randomuser.me/api/portraits/med/men/15.jpg,https://randomuser.me/api/portraits/thumb/men/15.jpg,US
male,Mr,Bruce,Roberts,836,E Pecan St,Burkburnett,Hawaii,United States,30839,10.3646,-104.1591,+5:45,Kathmandu,bruce.roberts@example.com,1987-09-21T18:07:45.104Z,34,2009-02-05T20:31:13.200Z,12,(034)-194-2903,(073)-166-9544,SSN,473-20-1208,https://randomuser.me/api/portraits/men/68.jpg,https://randomuser.me/api/portraits/med/men/68.jpg,https://randomuser.me/api/portraits/thumb/men/68.jpg,US
male,Mr,Claude,Romero,1421,Samaritan Dr,Roseburg,Oklahoma,United States,53101,-54.2031,-41.7790,+3:30,Tehran,claude.romero@example.com,1950-06-26T07:45:36.896Z,71,2007-08-31T03:44:08.224Z,14,(663)-330-5832,(952)-833-4577,SSN,954-54-7220,https://randomuser.me/api/portraits/men/70.jpg,https://randomuser.me/api/portraits/med/men/70.jpg,https://randomuser.me/api/portraits/thumb/men/70.jpg,US
female,Mrs,Jean,Lane,6001,Mockingbird Ln,Wilmington,New Mexico,United States,29693,35.5298,-148.6897,-8:00,Pacific Time (US & Canada),jean.lane@example.com,1960-05-22T09:59:09.891Z,61,2011-09-18T01:53:28.916Z,10,(142)-739-0316,(444)-378-9495,SSN,479-56-9312,https://randomuser.me/api/portraits/women/57.jpg,https://randomuser.me/api/portraits/med/women/57.jpg,https://randomuser.me/api/portraits/thumb/women/57.jpg,US
female,Miss,Lisa,Collins,6115,Locust Rd,Buffalo,Missouri,United States,56090,52.5142,41.4589,+4:30,Kabul,lisa.collins@example.com,1989-08-20T13:20:34.382Z,32,2018-11-28T03:40:50.872Z,3,(588)-149-3201,(372)-584-8820,SSN,623-23-6109,https://randomuser.me/api/portraits/women/3.jpg,https://randomuser.me/api/portraits/med/women/3.jpg,https://randomuser.me/api/portraits/thumb/women/3.jpg,US
male,Mr,Alfred,Adams,5042,Valwood Pkwy,Saint Paul,New Mexico,United States,18431,4.8943,-126.2100,-7:00,Mountain Time (US & Canada),alfred.adams@example.com,1993-02-12T15:01:54.214Z,28,2015-06-10T12:14:52.730Z,6,(155)-008-0796,(414)-842-0894,SSN,401-08-0336,https://randomuser.me/api/portraits/men/97.jpg,https://randomuser.me/api/portraits/med/men/97.jpg,https://randomuser.me/api/portraits/thumb/men/97.jpg,US
female,Miss,Eileen,Hayes,4038,Spring Hill Rd,Corona,Florida,United States,84038,-9.6378,-23.2489,-10:00,Hawaii,eileen.hayes@example.com,1990-08-09T18:11:01.046Z,31,2006-01-27T08:56:59.173Z,15,(204)-111-0833,(111)-244-0123,SSN,072-25-9039,https://randomuser.me/api/portraits/women/2.jpg,https://randomuser.me/api/portraits/med/women/2.jpg,https://randomuser.me/api/portraits/thumb/women/2.jpg,US
female,Miss,Beverly,Henderson,5063,W Campbell Ave,San Antonio,Wyoming,United States,69497,-18.0427,67.7774,-7:00,Mountain Time (US & Canada),beverly.henderson@example.com,1961-12-20T22:37:23.990Z,60,2007-08-22T22:32:43.862Z,14,(510)-608-8572,(398)-476-5829,SSN,326-26-1707,https://randomuser.me/api/portraits/women/81.jpg,https://randomuser.me/api/portraits/med/women/81.jpg,https://randomuser.me/api/portraits/thumb/women/81.jpg,US
male,Mr,Vincent,Harper,5849,Woodland St,Erie,Montana,United States,12869,78.0168,93.6031,+4:30,Kabul,vincent.harper@example.com,1972-02-15T04:29:23.555Z,49,2006-01-11T18:58:44.205Z,15,(084)-638-0175,(225)-886-3444,SSN,169-74-0847,https://randomuser.me/api/portraits/men/0.jpg,https://randomuser.me/api/portraits/med/men/0.jpg,https://randomuser.me/api/portraits/thumb/men/0.jpg,US
male,Mr,Bill,Ruiz,9722,E Little York Rd,Princeton,California,United States,22472,-66.7215,-17.6591,+4:30,Kabul,bill.ruiz@example.com,1944-08-30T02:43:32.935Z,77,2011-09-18T02:10:27.574Z,10,(858)-358-9256,(382)-545-1512,SSN,098-94-1168,https://randomuser.me/api/portraits/men/39.jpg,https://randomuser.me/api/portraits/med/men/39.jpg,https://randomuser.me/api/portraits/thumb/men/39.jpg,US
female,Miss,Violet,Lowe,4173,Timber Wolf Trail,Helena,Rhode Island,United States,74973,-58.9515,118.4030,-7:00,Mountain Time (US & Canada),violet.lowe@example.com,1957-02-28T09:52:38.378Z,64,2005-05-23T13:33:31.382Z,16,(095)-183-1151,(178)-854-5576,SSN,290-48-5812,https://randomuser.me/api/portraits/women/37.jpg,https://randomuser.me/api/portraits/med/women/37.jpg,https://randomuser.me/api/portraits/thumb/women/37.jpg,US
