gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Roberto,Jenkins,7156,Homestead Rd,Birmingham,Oregon,United States,78282,75.1570,-99.9401,-9:00,Alaska,roberto.jenkins@example.com,1951-07-04T03:13:26.221Z,70,2007-10-28T05:43:56.791Z,14,(126)-827-8554,(337)-950-7534,SSN,506-49-2464,https://randomuser.me/api/portraits/men/16.jpg,https://randomuser.me/api/portraits/med/men/16.jpg,https://randomuser.me/api/portraits/thumb/men/16.jpg,US
male,Mr,Arnold,Perkins,621,Wycliff Ave,Fremont,Hawaii,United States,42412,-7.6710,87.3628,+4:30,Kabul,arnold.perkins@example.com,1978-05-22T03:57:47.470Z,43,2016-02-12T18:39:03.954Z,5,(626)-204-9996,(470)-255-2217,SSN,819-74-0569,https://randomuser.me/api/portraits/men/17.jpg,https://randomuser.me/api/portraits/med/men/17.jpg,https://randomuser.me/api/portraits/thumb/men/17.jpg,US
male,Mr,Seth,Hughes,4282,Smokey Ln,Santa Maria,Illinois,United States,99125,18.7940,-113.2615,-8:00,Pacific Time (US & Canada),seth.hughes@example.com,1983-10-24T20:39:18.059Z,38,2017-09-07T13:41:32.310Z,4,(468)-275-0012,(289)-492-3762,SSN,571-42-6659,https://randomuser.me/api/portraits/men/92.jpg,https://randomuser.me/api/portraits/med/men/92.jpg,https://randomuser.me/api/portraits/thumb/men/92.jpg,US
female,Miss,Dawn,Steward,865,Spring St,Rockford,Louisiana,United States,57437,1.0799,-143.4742,-3:30,Newfoundland,dawn.steward@example.com,1979-06-15T00:00:51.812Z,42,2006-01-22T17:05:58.748Z,15,(613)-195-1785,(946)-305-3137,SSN,663-08-7018,https://randomuser.me/api/portraits/women/57.jpg,https://randomuser.me/api/portraits/med/women/57.jpg,https://randomuser.me/api/portraits/thumb/women/57.jpg,US
male,Mr,Morris,Lee,1433,Dane St,Beaumont,Kentucky,United States,88855,-77.5021,149.2464,+4:30,Kabul,morris.lee@example.com,1974-01-31T01:38:49.534Z,47,2007-08-07T15:38:03.353Z,14,(460)-857-4680,(343)-621-4820,SSN,025-64-1006,https://randomuser.me/api/portraits/men/29.jpg,https://randomuser.me/api/portraits/med/men/29.jpg,https://randomuser.me/api/portraits/thumb/men/29.jpg,US
male,Mr,Marvin,Kuhn,7836,Mcgowen St,Lafayette,Alabama,United States,50465,27.4387,68.4282,+3:30,Tehran,marvin.kuhn@example.com,1985-09-04T05:25:18.029Z,36,2004-03-22T01:15:07.395Z,17,(895)-014-4493,(567)-184-8088,SSN,448-71-9312,https://randomuser.me/api/portraits/men/47.jpg,https://randomuser.me/api/portraits/med/men/47.jpg,https://randomuser.me/api/portraits/thumb/men/47.jpg,US
male,Mr,Jack,Moore,1017,Brown Terrace,Utica,Florida,United States,77806,-28.1399,-134.7230,+5:45,Kathmandu,jack.moore@example.com,1995-04-26T21:24:36.104Z,26,2019-03-23T19:37:10.467Z,2,(598)-818-8711,(419)-191-6874,SSN,068-05-9251,https://randomuser.me/api/portraits/men/44.jpg,https://randomuser.me/api/portraits/med/men/44.jpg,https://randomuser.me/api/portraits/thumb/men/44.jpg,US
male,Mr,Francisco,Stanley,6694,N Stelling Rd,Everett,Illinois,United States,22488,69.4477,-89.3041,-3:30,Newfoundland,francisco.stanley@example.com,1997-05-19T00:23:48.523Z,24,2017-01-27T02:39:07.827Z,4,(662)-891-2873,(359)-179-2671,SSN,021-38-6975,https://randomuser.me/api/portraits/men/95.jpg,https://randomuser.me/api/portraits/med/men/95.jpg,https://randomuser.me/api/portraits/thumb/men/95.jpg,US
female,Ms,Sylvia,Torres,9359,Pecan Acres Ln,Chandler,North Carolina,United States,60003,81.7186,-57.1997,-7:00,Mountain Time (US & Canada),sylvia.torres@example.com,1989-06-27T21:08:06.168Z,32,2003-03-27T16:27:25.202Z,18,(194)-239-4548,(444)-587-9345,SSN,676-15-5632,https://randomuser.me/api/portraits/women/32.jpg,https://randomuser.me/api/portraits/med/women/32.jpg,https://randomuser.me/api/portraits/thumb/women/32.jpg,US
female,Mrs,Rosa,Tucker,1865,Cherry St,Provo,California,United States,13267,-31.9976,-124.3020,-9:00,Alaska,rosa.tucker@example.com,1964-04-26T21:33:10.029Z,57,2018-11-07T05:36:17.786Z,3,(955)-134-4189,(403)-268-3454,SSN,312-39-6274,https://randomuser.me/api/portraits/women/51.jpg,https://randomuser.me/api/portraits/med/women/51.jpg,https://randomuser.me/api/portraits/thumb/women/51.jpg,US
female,Mrs,Charlotte,Miller,3329,Lakeshore Rd,Tyler,Rhode Island,United States,96512,-67.3710,109.1677,+3:30,Tehran,charlotte.miller@example.com,1949-01-07T16:54:35.587Z,72,2002-04-28T05:47:47.096Z,19,(875)-456-3401,(848)-949-6864,SSN,030-56-3375,https://randomuser.me/api/portraits/women/37.jpg,https://randomuser.me/api/portraits/med/women/37.jpg,https://randomuser.me/api/portraits/thumb/women/37.jpg,US
male,Mr,Tyrone,Chapman,4730,Hunters Creek Dr,Manchester,Maine,United States,25997,-13.3362,23.7248,+5:45,Kathmandu,tyrone.chapman@example.com,1972-02-19T16:34:34.262Z,49,2003-10-01T14:19:04.650Z,18,(369)-447-4230,(631)-810-6434,SSN,659-19-0132,https://randomuser.me/api/portraits/men/73.jpg,https://randomuser.me/api/portraits/med/men/73.jpg,https://randomuser.me/api/portraits/thumb/men/73.jpg,US
male,Mr,Douglas,Hart,4455,Hillcrest Rd,Akron,Michigan,United States,38783,-14.8290,-43.0734,+3:30,Tehran,douglas.hart@example.com,1949-10-03T16:36:38.947Z,72,2003-02-01T12:13:57.871Z,18,(007)-373-7697,(789)-749-0121,SSN,448-03-8495,https://randomuser.me/api/portraits/men/80.jpg,https://randomuser.me/api/portraits/med/men/80.jpg,https://randomuser.me/api/portraits/thumb/men/80.jpg,US
female,Ms,Samantha,Hunter,4002,Preston Rd,Sioux Falls,Maryland,United States,33660,58.3660,106.1740,+5:45,Kathmandu,samantha.hunter@example.com,1985-05-05T20:21:38.996Z,36,2004-10-23T20:04:34.309Z,17,(286)-484-0084,(538)-218-1061,SSN,208-02-1158,https://randomuser.me/api/portraits/women/67.jpg,https://randomuser.me/api/portraits/med/women/67.jpg,https://randomuser.me/api/portraits/thumb/women/67.jpg,US
