gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Jeffery,Mitchell,4439,Country Club Rd,Worcester,Washington,United States,83932,62.3468,-98.8477,-10:00,Hawaii,jeffery.mitchell@example.com,1953-07-15T19:15:49.108Z,68,2016-08-05T18:57:41.942Z,5,(850)-240-2778,(927)-834-7836,SSN,557-51-1956,https://randomuser.me/api/portraits/men/50.jpg,https://randomuser.me/api/portraits/med/men/50.jpg,https://randomuser.me/api/portraits/thumb/men/50.jpg,US
female,Mrs,Paula,Roberts,4516,Lone Wolf Trail,Dayton,California,United States,74973,60.3969,-9.4540,+5:45,Kathmandu,paula.roberts@example.com,1967-10-18T22:06:37.707Z,54,2018-03-27T18:29:35.679Z,3,(859)-983-1365,(850)-959-4911,SSN,284-09-8097,https://randomuser.me/api/portraits/women/37.jpg,https://randomuser.me/api/portraits/med/women/37.jpg,https://randomuser.me/api/portraits/thumb/women/37.jpg,US
male,Mr,Cory,Chapman,7836,Bollinger Rd,Kent,North Dakota,United States,72209,3.4965,21.7178,+4:30,Kabul,cory.chapman@example.com,1957-10-10T15:00:21.086Z,64,2011-03-06T16:24:59.669Z,10,(808)-922-7747,(164)-796-8655,SSN,782-80-7135,https://randomuser.me/api/portraits/men/87.jpg,https://randomuser.me/api/portraits/med/men/87.jpg,https://randomuser.me/api/portraits/thumb/men/87.jpg,US
female,Ms,Violet,Ryan,5460,Woodland St,Oakland,North Dakota,United States,25624,11.4317,-114.8346,-3:30,Newfoundland,violet.ryan@example.com,1965-11-06T03:07:49.968Z,56,2016-09-02T13:39:25.471Z,5,(107)-686-0699,(774)-877-9997,SSN,861-38-2777,https://randomuser.me/api/portraits/women/73.jpg,https://randomuser.me/api/portraits/med/women/73.jpg,https://randomuser.me/api/portraits/thumb/women/73.jpg,US
male,Mr,Eugene,Fowler,3322,Oak Ridge Ln,Allen,Connecticut,United States,74558,52.8526,92.9589,-3:30,Newfoundland,eugene.fowler@example.com,1971-07-10T11:01:04.136Z,50,2013-11-29T20:56:52.053Z,8,(210)-310-0008,(663)-893-4393,SSN,333-27-3859,https://randomuser.me/api/portraits/men/77.jpg,https://randomuser.me/api/portraits/med/men/77.jpg,https://randomuser.me/api/portraits/thumb/men/77.jpg,US
male,Mr,Julio,Day,8737,W Belt Line Rd,Dayton,Indiana,United States,28196,51.3267,19.7143,-7:00,Mountain Time (US & Canada),julio.day@example.com,1991-04-22T06:55:33.091Z,30,2005-06-04T05:06:36.809Z,16,(217)-893-7841,(869)-920-8087,SSN,969-82-1781,https://randomuser.me/api/portraits/men/35.jpg,https://randomuser.me/api/portraits/med/men/35.jpg,https://randomuser.me/api/portraits/thumb/men/35.jpg,US
male,Mr,Stanley,Bennett,7742,Fincher Rd,New York,Kansas,United States,99174,88.9270,-3.5053,-10:00,Hawaii,stanley.bennett@example.com,1972-06-30T15:42:04.281Z,49,2007-03-11T09:22:36.998Z,14,(584)-934-2639,(635)-114-2107,SSN,952-87-0640,https://randomuser.me/api/portraits/men/26.jpg,https://randomuser.me/api/portraits/med/men/26.jpg,https://randomuser.me/api/portraits/thumb/men/26.jpg,US
male,Mr,Milton,Reynolds,2125,Blossom Hill Rd,Memphis,Connecticut,United States,12413,88.7185,84.0005,-3:30,Newfoundland,milton.reynolds@example.com,1968-10-13T08:44:58.493Z,53,2012-05-21T06:16:56.310Z,9,(782)-241-3448,(454)-862-5673,SSN,833-36-6918,https://randomuser.me/api/portraits/men/85.jpg,https://randomuser.me/api/portraits/med/men/85.jpg,https://randomuser.me/api/portraits/thumb/men/85.jpg,US
female,Mrs,Taylor,Harvey,7641,Blossom Hill Rd,Indianapolis,Oklahoma,United States,45579,64.2855,56.3111,-8:00,Pacific Time (US & Canada),taylor.harvey@example.com,1969-10-09T03:34:44.464Z,52,2013-09-12T16:49:41.048Z,8,(862)-786-8474,(223)-475-1824,SSN,783-19-3283,https://randomuser.me/api/portraits/women/73.jpg,https://randomuser.me/api/portraits/med/women/73.jpg,https://randomuser.me/api/portraits/thumb/women/73.jpg,US
male,Mr,Jim,Bowman,1559,Oak Lawn Ave,High Point,Alaska,United States,56997,-3.4539,-163.4780,-2:00,Mid-Atlantic,jim.bowman@example.com,1994-07-02T01:42:41.965Z,27,2006-10-30T02:01:30.078Z,15,(864)-500-2586,(246)-622-8625,SSN,146-71-0085,https://randomuser.me/api/portraits/men/38.jpg,https://randomuser.me/api/portraits/med/men/38.jpg,https://randomuser.me/api/portraits/thumb/men/38.jpg,US
