gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Kurt,Garcia,4454,Mcclellan Rd,Chesapeake,Wyoming,United States,32187,42.5781,-166.9844,-3:30,Newfoundland,kurt.garcia@example.com,1977-06-17T02:09:52.207Z,44,2017-04-22T03:23:55.273Z,4,(567)-740-3131,(503)-251-1467,SSN,532-55-6651,https://randomuser.me/api/portraits/men/31.jpg,https://randomuser.me/api/portraits/med/men/31.jpg,https://randomuser.me/api/portraits/thumb/men/31.jpg,US
female,Mrs,Rachel,Cooper,5527,Miller Ave,San Jose,Idaho,United States,84775,-51.7267,21.3851,+3:30,Tehran,rachel.cooper@example.com,1984-08-16T17:01:56.048Z,37,2016-07-02T04:22:59.053Z,5,(524)-790-8206,(996)-671-2967,SSN,250-23-9329,https://randomuser.me/api/portraits/women/63.jpg,https://randomuser.me/api/portraits/med/women/63.jpg,https://randomuser.me/api/portraits/thumb/women/63.jpg,US
female,Ms,Lori,Lane,8651,Adams St,Santa Maria,Alaska,United States,70315,-43.5048,29.0806,+4:30,Kabul,lori.lane@example.com,1990-01-01T00:18:37.012Z,32,2013-05-28T13:12:33.167Z,8,(609)-025-0369,(267)-607-3464,SSN,161-94-4997,https://randomuser.me/api/portraits/women/22.jpg,https://randomuser.me/api/portraits/med/women/22.jpg,https://randomuser.me/api/portraits/thumb/women/22.jpg,US
male,Mr,Marc,Richardson,1476,W Gray St,Palm Bay,Kentucky,United States,52901,-18.7451,135.2197,+4:30,Kabul,marc.richardson@example.com,1982-10-03T20:29:55.200Z,39,2014-02-23T22:13:55.754Z,7,(370)-101-2219,(294)-335-8339,SSN,714-28-1050,https://randomuser.me/api/portraits/men/54.jpg,https://randomuser.me/api/portraits/med/men/54.jpg,https://randomuser.me/api/portraits/thumb/men/54.jpg,US
male,Mr,Harry,Ortiz,7987,College St,Denton,California,United States,92075,-25.6323,113.6891,+4:30,Kabul,harry.ortiz@example.com,1985-11-09T23:19:38.738Z,36,2007-04-26T14:58:09.026Z,14,(053)-482-7764,(435)-655-8477,SSN,713-04-1708,https://randomuser.me/api/portraits/men/77.jpg,https://randomuser.me/api/portraits/med/men/77.jpg,https://randomuser.me/api/portraits/thumb/men/77.jpg,US
female,Ms,Jill,Wheeler,6337,Lone Wolf Trail,Los Angeles,New Hampshire,United States,15689,-72.5298,98.5475,-7:00,Mountain Time (US & Canada),jill.wheeler@example.com,1977-10-04T03:16:32.387Z,44,2015-09-10T15:21:13.357Z,6,(041)-373-3845,(035)-276-8624,SSN,807-24-2488,https://randomuser.me/api/portraits/women/22.jpg,https://randomuser.me/api/portraits/med/women/22.jpg,https://randomuser.me/api/portraits/thumb/women/22.jpg,US
male,Mr,Kelly,Pearson,2867,Washington Ave,Fort Worth,West Virginia,United States,85551,-53.5856,117.2214,+4:30,Kabul,kelly.pearson@example.com,1965-10-30T15:09:45.865Z,56,2005-08-09T13:13:27.564Z,16,(393)-710-6380,(147)-152-3458,SSN,786-87-4239,https://randomuser.me/api/portraits/men/83.jpg,https://randomuser.me/api/portraits/med/men/83.jpg,https://randomuser.me/api/portraits/thumb/men/83.jpg,US
female,Ms,Peyton,Bishop,1497,James St,Philadelphia,Washington,United States,64391,-4.1754,65.8156,-9:00,Alaska,peyton.bishop@example.com,1982-05-17T02:51:29.953Z,39,2008-11-06T20:22:34.281Z,13,(961)-023-2663,(558)-466-9691,SSN,404-59-1514,https://randomuser.me/api/portraits/women/8.jpg,https://randomuser.me/api/portraits/med/women/8.jpg,https://randomuser.me/api/portraits/thumb/women/8.jpg,US
male,Mr,Earl,Black,9449,Woodland St,Corona,Hawaii,United States,64788,16.9894,11.7167,-3:30,Newfoundland,earl.black@example.com,1957-10-04T05:02:37.334Z,64,2009-03-26T16:30:12.067Z,12,(781)-732-1965,(003)-920-9464,SSN,237-12-4180,https://randomuser.me/api/portraits/men/72.jpg,https://randomuser.me/api/portraits/med/men/72.jpg,https://randomuser.me/api/portraits/thumb/men/72.jpg,US
female,Miss,Gina,Barnett,2454,First Street,Denver,New Hampshire,United States,20871,-51.7273,-23.8853,-3:30,Newfoundland,gina.barnett@example.com,1952-04-01T15:04:00.474Z,69,2012-12-08T23:42:33.065Z,9,(637)-065-9070,(481)-947-3017,SSN,654-62-0780,https://randomuser.me/api/portraits/women/34.jpg,https://randomuser.me/api/portraits/med/women/34.jpg,https://randomuser.me/api/portraits/thumb/women/34.jpg,US
male,Mr,Michael,Morgan,1789,Pecan Acres Ln,Irving,Louisiana,United States,89112,79.8253,94.5519,-2:00,Mid-Atlantic,michael.morgan@example.com,1998-08-05T02:20:41.113Z,23,2017-12-12T00:22:18.513Z,4,(888)-446-5083,(477)-730-5611,SSN,079-16-6474,https://randomuser.me/api/portraits/men/30.jpg,https://randomuser.me/api/portraits/med/men/30.jpg,https://randomuser.me/api/portraits/thumb/men/30.jpg,US
female,Mrs,Jenny,Evans,3368,Karen Dr,Little Rock,Hawaii,United States,65244,14.6277,123.6075,+3:30,Tehran,jenny.evans@example.com,1955-02-17T16:50:08.842Z,66,2002-05-14T10:46:04.070Z,19,(920)-330-3570,(431)-610-5831,SSN,850-68-4293,https://randomuser.me/api/portraits/women/35.jpg,https://randomuser.me/api/portraits/med/women/35.jpg,https://randomuser.me/api/portraits/thumb/women/35.jpg,US
