gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Ms,Kenzi,Gordon,3910,Eason Rd,Louisville,Missouri,United States,24668,-76.1343,58.6868,-9:00,Alaska,kenzi.gordon@example.com,1957-03-28T13:35:00.603Z,64,2013-04-13T12:46:53.451Z,8,(337)-552-2685,(027)-466-9361,SSN,146-84-2624,https://randomuser.me/api/portraits/women/57.jpg,https://randomuser.me/api/portraits/med/women/57.jpg,https://randomuser.me/api/portraits/thumb/women/57.jpg,US
male,Mr,Levi,Peck,6717,Saddle Dr,Red Bluff,South Dakota,United States,40694,-62.5028,146.6125,+5:45,Kathmandu,levi.peck@example.com,1947-12-18T21:33:17.845Z,74,2014-06-28T21:04:35.591Z,7,(346)-223-8186,(019)-912-6896,SSN,669-91-3697,https://randomuser.me/api/portraits/men/37.jpg,https://randomuser.me/api/portraits/med/men/37.jpg,https://randomuser.me/api/portraits/thumb/men/37.jpg,US
female,Miss,Peggy,Porter,3023,Hunters Creek Dr,Vallejo,Washington,United States,34121,-84.5163,-101.9780,-8:00,Pacific Time (US & Canada),peggy.porter@example.com,1956-07-06T13:38:51.984Z,65,2009-11-11T05:28:51.364Z,12,(373)-930-1323,(266)-161-3726,SSN,710-37-7666,https://randomuser.me/api/portraits/women/14.jpg,https://randomuser.me/api/portraits/med/women/14.jpg,https://randomuser.me/api/portraits/thumb/women/14.jpg,US
male,Mr,Julio,Prescott,3568,White Oak Dr,Thornton,Virginia,United States,40980,41.9441,-41.0766,-2:00,Mid-Atlantic,julio.prescott@example.com,1969-12-28T10:45:47.292Z,52,2003-01-31T17:14:21.266Z,18,(891)-625-0053,(683)-613-8537,SSN,679-65-1553,https://randomuser.me/api/portraits/men/45.jpg,https://randomuser.me/api/portraits/med/men/45.jpg,https://randomuser.me/api/portraits/thumb/men/45.jpg,US
female,Ms,Lois,Hudson,9504,Wheeler Ridge Dr,Oceanside,Ohio,United States,77045,-79.2056,-172.3419,+3:30,Tehran,lois.hudson@example.com,1980-08-12T15:45:39.901Z,41,2004-10-26T11:55:00.179Z,17,(275)-113-3170,(042)-623-2698,SSN,674-03-1790,https://randomuser.me/api/portraits/women/79.jpg,https://randomuser.me/api/portraits/med/women/79.jpg,https://randomuser.me/api/portraits/thumb/women/79.jpg,US
female,Ms,Lois,Carpenter,114,Depaul Dr,Everett,Utah,United States,53705,-11.3388,12.2271,+3:30,Tehran,lois.carpenter@example.com,1972-05-08T16:45:50.578Z,49,2019-05-19T01:59:09.033Z,2,(072)-833-9692,(530)-340-2832,SSN,098-41-7087,https://randomuser.me/api/portraits/women/21.jpg,https://randomuser.me/api/portraits/med/women/21.jpg,https://randomuser.me/api/portraits/thumb/women/21.jpg,US
female,Ms,Ashley,Hudson,1256,Eason Rd,Lewisville,California,United States,17108,-77.7943,-64.6064,+3:30,Tehran,ashley.hudson@example.com,1970-11-30T03:46:58.866Z,51,2009-10-04T09:52:42.019Z,12,(989)-242-0566,(722)-521-9329,SSN,448-06-2679,https://randomuser.me/api/portraits/women/44.jpg,https://randomuser.me/api/portraits/med/women/44.jpg,https://randomuser.me/api/portraits/thumb/women/44.jpg,US
female,Miss,Penny,Roberts,8979,College St,Shreveport,North Carolina,United States,63377,37.5496,82.8862,-8:00,Pacific Time (US & Canada),penny.roberts@example.com,1947-02-27T05:34:31.660Z,74,2019-04-28T22:53:18.626Z,2,(939)-254-8575,(666)-164-0401,SSN,514-95-8943,https://randomuser.me/api/portraits/women/28.jpg,https://randomuser.me/api/portraits/med/women/28.jpg,https://randomuser.me/api/portraits/thumb/women/28.jpg,US
female,Miss,Crystal,Taylor,8678,Green Rd,Tempe,Ohio,United States,18905,-48.5554,3.1908,-3:30,Newfoundland,crystal.taylor@example.com,1957-12-29T13:57:42.789Z,64,2002-08-18T00:49:45.651Z,19,(545)-489-4379,(991)-824-7154,SSN,742-86-5734,https://randomuser.me/api/portraits/women/54.jpg,https://randomuser.me/api/portraits/med/women/54.jpg,https://randomuser.me/api/portraits/thumb/women/54.jpg,US
male,Mr,Pat,Harvey,5245,Railroad St,Bueblo,California,United States,82298,34.1291,-31.5925,-10:00,Hawaii,pat.harvey@example.com,1973-02-04T22:52:53.145Z,48,2017-05-11T22:51:43.918Z,4,(633)-640-4317,(292)-082-7624,SSN,550-20-1346,https://randomuser.me/api/portraits/men/50.jpg,https://randomuser.me/api/portraits/med/men/50.jpg,https://randomuser.me/api/portraits/thumb/men/50.jpg,US
female,Mrs,Anita,Hale,6323,Frances Ct,Shreveport,New Jersey,United States,38087,-79.7234,35.5427,+3:30,Tehran,anita.hale@example.com,1947-04-21T03:33:17.163Z,74,2014-08-18T22:57:01.400Z,7,(299)-640-6210,(109)-167-3185,SSN,189-93-8872,https://randomuser.me/api/portraits/women/36.jpg,https://randomuser.me/api/portraits/med/women/36.jpg,https://randomuser.me/api/portraits/thumb/women/36.jpg,US
male,Mr,Miguel,Bell,7264,Dogwood Ave,Aubrey,Florida,United States,42606,-71.9931,-87.3114,-2:00,Mid-Atlantic,miguel.bell@example.com,1972-06-17T12:13:50.927Z,49,2003-06-22T18:54:31.430Z,18,(399)-265-8073,(872)-498-4723,SSN,730-57-2481,https://randomuser.me/api/portraits/men/85.jpg,https://randomuser.me/api/portraits/med/men/85.jpg,https://randomuser.me/api/portraits/thumb/men/85.jpg,US
