gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Raul,Willis,4909,Homestead Rd,Fullerton,North Dakota,United States,65807,-7.6933,-167.2801,+4:30,Kabul,raul.willis@example.com,1987-08-03T12:27:14.559Z,34,2013-10-22T08:07:52.259Z,8,(896)-085-9407,(411)-064-5833,SSN,393-91-8505,https://randomuser.me/api/portraits/men/36.jpg,https://randomuser.me/api/portraits/med/men/36.jpg,https://randomuser.me/api/portraits/thumb/men/36.jpg,US
female,Mrs,Norma,Diaz,7507,Mcgowen St,Medford,Kentucky,United States,39579,6.4134,176.6630,-8:00,Pacific Time (US & Canada),norma.diaz@example.com,1961-02-07T01:33:17.150Z,60,2005-03-09T06:30:18.796Z,16,(980)-916-6615,(985)-662-7069,SSN,763-08-5443,https://randomuser.me/api/portraits/women/63.jpg,https://randomuser.me/api/portraits/med/women/63.jpg,https://randomuser.me/api/portraits/thumb/women/63.jpg,US
female,Mrs,Elsie,Reyes,806,W Pecan St,Oklahoma City,Maryland,United States,32969,-32.6568,-38.3623,+3:30,Tehran,elsie.reyes@example.com,1997-03-04T21:46:34.970Z,24,2008-01-24T02:34:03.492Z,13,(390)-997-3996,(974)-959-0769,SSN,013-24-4939,https://randomuser.me/api/portraits/women/11.jpg,https://randomuser.me/api/portraits/med/women/11.jpg,https://randomuser.me/api/portraits/thumb/women/11.jpg,US
female,Miss,Elaine,Stewart,3237,Groveland Terrace,Waxahachie,Nevada,United States,44302,80.6276,-177.4437,-10:00,Hawaii,elaine.stewart@example.com,1996-10-31T13:48:05.174Z,25,2007-10-07T12:33:12.089Z,14,(192)-664-3924,(109)-602-0965,SSN,829-33-6182,https://randomuser.me/api/portraits/women/63.jpg,https://randomuser.me/api/portraits/med/women/63.jpg,https://randomuser.me/api/portraits/thumb/women/63.jpg,US
male,Mr,Landon,Vasquez,5936,Karen Dr,Fort Lauderdale,California,United States,23662,26.3354,-17.4619,-9:00,Alaska,landon.vasquez@example.com,1951-07-10T18:54:56.764Z,70,2011-05-31T21:23:52.720Z,10,(582)-057-7857,(055)-131-9940,SSN,852-51-1526,https://randomuser.me/api/portraits/men/89.jpg,https://randomuser.me/api/portraits/med/men/89.jpg,https://randomuser.me/api/portraits/thumb/men/89.jpg,US
female,Miss,Debbie,Kuhn,7093,Railroad St,Farmers Branch,Montana,United States,68422,5.6480,140.1273,-2:00,Mid-Atlantic,debbie.kuhn@example.com,1964-09-22T06:30:55.726Z,57,2011-12-21T20:13:16.759Z,10,(512)-336-0154,(184)-954-5545,SSN,594-55-5625,https://randomuser.me/api/portraits/women/35.jpg,https://randomuser.me/api/portraits/med/women/35.jpg,https://randomuser.me/api/portraits/thumb/women/35.jpg,US
male,Mr,Alberto,Curtis,6513,Camden Ave,Des Moines,Alaska,United States,67203,-66.6191,-135.1319,-3:30,Newfoundland,alberto.curtis@example.com,1960-11-17T08:26:37.713Z,61,2002-09-03T09:04:18.905Z,19,(754)-984-1615,(484)-215-1840,SSN,443-11-0873,https://randomuser.me/api/portraits/men/32.jpg,https://randomuser.me/api/portraits/med/men/32.jpg,https://randomuser.me/api/portraits/thumb/men/32.jpg,US
female,Miss,Ruby,Cunningham,3199,W Dallas St,Wichita,Nevada,United States,18263,-56.2059,-68.5547,-8:00,Pacific Time (US & Canada),ruby.cunningham@example.com,1949-01-05T09:54:51.709Z,72,2004-05-16T02:16:22.686Z,17,(353)-572-1568,(633)-169-6182,SSN,894-05-4836,https://randomuser.me/api/portraits/women/26.jpg,https://randomuser.me/api/portraits/med/women/26.jpg,https://randomuser.me/api/portraits/thumb/women/26.jpg,US
male,Mr,Ian,Watts,2061,Spring St,Tacoma,New York,United States,41329,-84.6772,-58.0080,-10:00,Hawaii,ian.watts@example.com,1966-02-06T14:32:55.418Z,55,2018-02-08T09:14:39.892Z,3,(687)-806-8307,(064)-376-8302,SSN,301-01-6972,https://randomuser.me/api/portraits/men/80.jpg,https://randomuser.me/api/portraits/med/men/80.jpg,https://randomuser.me/api/portraits/thumb/men/80.jpg,US
male,Mr,Gary,Mcdonalid,3216,Railroad St,South Valley,California,United States,41277,82.3680,-56.3138,-7:00,Mountain Time (US & Canada),gary.mcdonalid@example.com,1958-08-20T15:09:07.032Z,63,2008-12-05T23:38:11.394Z,13,(235)-745-8774,(785)-627-5279,SSN,592-27-2986,https://randomuser.me/api/portraits/men/65.jpg,https://randomuser.me/api/portraits/med/men/65.jpg,https://randomuser.me/api/portraits/thumb/men/65.jpg,US
male,Mr,Douglas,Welch,8743,Saddle Dr,Oakland,Utah,United States,32853,-16.3147,9.3067,-10:00,Hawaii,douglas.welch@example.com,1982-11-08T06:29:53.630Z,39,2010-01-05T18:17:21.519Z,11,(047)-008-7084,(189)-206-1396,SSN,024-93-1926,https://randomuser.me/api/portraits/men/40.jpg,https://randomuser.me/api/portraits/med/men/40.jpg,https://randomuser.me/api/portraits/thumb/men/40.jpg,US
male,Mr,Terry,Richardson,281,Crockett St,York,New Jersey,United States,67837,30.7075,-15.5988,-8:00,Pacific Time (US & Canada),terry.richardson@example.com,1976-10-18T14:08:24.711Z,45,2012-04-16T07:45:09.965Z,9,(252)-728-6064,(401)-332-0409,SSN,307-10-5188,https://randomuser.me/api/portraits/men/75.jpg,https://randomuser.me/api/portraits/med/men/75.jpg,https://randomuser.me/api/portraits/thumb/men/75.jpg,US
male,Mr,Darryl,Wallace,4367,Paddock Way,Palm Bay,Virginia,United States,47039,-24.5445,-110.0032,-9:00,Alaska,darryl.wallace@example.com,1989-03-14T22:33:07.046Z,32,2017-02-26T08:14:56.462Z,4,(726)-466-5832,(590)-149-7290,SSN,935-75-5925,https://randomuser.me/api/portraits/men/40.jpg,https://randomuser.me/api/portraits/med/men/40.jpg,https://randomuser.me/api/portraits/thumb/men/40.jpg,US
male,Mr,Randy,George,6214,First Street,Wichita,Illinois,United States,49843,-52.9727,-58.3003,-8:00,Pacific Time (US & Canada),randy.george@example.com,1957-12-28T22:53:23.435Z,64,2002-06-19T04:27:51.728Z,19,(882)-901-1523,(091)-509-1168,SSN,018-57-4372,https://randomuser.me/api/portraits/men/11.jpg,https://randomuser.me/api/portraits/med/men/11.jpg,https://randomuser.me/api/portraits/thumb/men/11.jpg,US
