gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Manuel,Dunn,7261,Railroad St,Jacksonville,Washington,United States,13180,-77.4156,178.5383,+5:45,Kathmandu,manuel.dunn@example.com,1968-02-07T05:24:01.951Z,53,2019-07-02T21:49:28.341Z,2,(247)-220-6169,(343)-197-9902,SSN,304-36-3092,https://randomuser.me/api/portraits/men/55.jpg,https://randomuser.me/api/portraits/med/men/55.jpg,https://randomuser.me/api/portraits/thumb/men/55.jpg,US
female,Ms,Kathryn,Rodriguez,215,Forest Ln,Midland,Florida,United States,11898,13.8738,-163.6323,+3:30,Tehran,kathryn.rodriguez@example.com,1994-12-03T19:26:49.288Z,27,2003-02-26T08:24:25.032Z,18,(899)-673-9649,(408)-344-4951,SSN,170-00-8368,https://randomuser.me/api/portraits/women/73.jpg,https://randomuser.me/api/portraits/med/women/73.jpg,https://randomuser.me/api/portraits/thumb/women/73.jpg,US
male,Mr,Dave,Andrews,9761,E Sandy Lake Rd,Boston,North Carolina,United States,69855,59.8157,-48.5331,-2:00,Mid-Atlantic,dave.andrews@example.com,1956-12-24T16:46:00.121Z,65,2006-01-08T20:43:53.419Z,15,(680)-624-5161,(162)-548-9040,SSN,466-23-8273,https://randomuser.me/api/portraits/men/86.jpg,https://randomuser.me/api/portraits/med/men/86.jpg,https://randomuser.me/api/portraits/thumb/men/86.jpg,US
female,Ms,Nicole,Adams,2566,Nowlin Rd,Beaumont,Massachusetts,United States,99511,46.0260,138.3092,+5:45,Kathmandu,nicole.adams@example.com,1960-07-22T06:55:40.601Z,61,2015-04-27T00:08:20.356Z,6,(050)-717-5465,(086)-347-5494,SSN,732-41-2163,https://randomuser.me/api/portraits/women/74.jpg,https://randomuser.me/api/portraits/med/women/74.jpg,https://randomuser.me/api/portraits/thumb/women/74.jpg,US
male,Mr,Ronnie,Jennings,9225,Daisy Dr,Elgin,Arizona,United States,43664,34.2370,-102.5980,-7:00,Mountain Time (US & Canada),ronnie.jennings@example.com,1946-04-08T09:19:38.950Z,75,2015-11-04T08:21:22.851Z,6,(806)-606-0943,(866)-921-2781,SSN,113-33-6084,https://randomuser.me/api/portraits/men/38.jpg,https://randomuser.me/api/portraits/med/men/38.jpg,https://randomuser.me/api/portraits/thumb/men/38.jpg,US
female,Mrs,Ramona,Hawkins,948,Country Club Rd,Pompano Beach,South Dakota,United States,39958,72.4397,67.5162,-8:00,Pacific Time (US & Canada),ramona.hawkins@example.com,1997-03-27T13:55:15.595Z,24,2009-12-14T10:45:09.764Z,12,(293)-716-9737,(421)-136-9472,SSN,089-95-4497,https://randomuser.me/api/portraits/women/92.jpg,https://randomuser.me/api/portraits/med/women/92.jpg,https://randomuser.me/api/portraits/thumb/women/92.jpg,US
male,Mr,John,Harris,2461,Sunset St,Detroit,New Mexico,United States,15676,-54.5848,-16.5644,+5:45,Kathmandu,john.harris@example.com,1970-11-07T11:03:45.744Z,51,2009-01-24T07:23:45.486Z,12,(956)-940-9852,(944)-389-6129,SSN,569-46-0838,https://randomuser.me/api/portraits/men/66.jpg,https://randomuser.me/api/portraits/med/men/66.jpg,https://randomuser.me/api/portraits/thumb/men/66.jpg,US
female,Mrs,Elsie,Phillips,4207,Mcclellan Rd,Rialto,West Virginia,United States,55403,-72.9516,-134.4657,-2:00,Mid-Atlantic,elsie.phillips@example.com,1984-06-07T10:27:24.459Z,37,2003-01-21T00:31:10.416Z,18,(497)-039-5314,(587)-129-9609,SSN,756-66-7942,https://randomuser.me/api/portraits/women/77.jpg,https://randomuser.me/api/portraits/med/women/77.jpg,https://randomuser.me/api/portraits/thumb/women/77.jpg,US
female,Ms,Allison,Fowler,117,Dogwood Ave,Portland,New Mexico,United States,16568,-46.4846,-100.6266,-10:00,Hawaii,allison.fowler@example.com,1987-11-28T16:19:59.333Z,34,2002-05-20T20:49:55.414Z,19,(466)-954-1362,(795)-850-2888,SSN,654-41-9708,https://randomuser.me/api/portraits/women/2.jpg,https://randomuser.me/api/portraits/med/women/2.jpg,https://randomuser.me/api/portraits/thumb/women/2.jpg,US
female,Mrs,Daisy,Meyer,5890,Homestead Rd,Lubbock,Iowa,United States,45890,-57.4331,179.5054,-7:00,Mountain Time (US & Canada),daisy.meyer@example.com,1976-08-22T12:47:16.979Z,45,2006-09-11T15:03:09.326Z,15,(546)-521-1885,(620)-831-6466,SSN,953-81-1385,https://randomuser.me/api/portraits/women/37.jpg,https://randomuser.me/api/portraits/med/women/37.jpg,https://randomuser.me/api/portraits/thumb/women/37.jpg,US
