gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Mathew,Palmer,860,Homestead Rd,West Valley City,Delaware,United States,22716,4.8300,-75.1888,-3:30,Newfoundland,mathew.palmer@example.com,1980-09-13T17:51:17.820Z,41,2006-03-10T22:42:10.769Z,15,(576)-276-2050,(995)-170-6657,SSN,311-39-8853,https://randomuser.me/api/portraits/men/9.jpg,https://randomuser.me/api/portraits/med/men/9.jpg,https://randomuser.me/api/portraits/thumb/men/9.jpg,US
female,Miss,Frances,Turner,6602,Edwards Rd,Inglewood,Delaware,United States,60839,0.8064,-19.7151,+4:30,Kabul,frances.turner@example.com,1990-12-15T02:40:35.501Z,31,2017-05-02T15:58:23.136Z,4,(945)-462-1747,(528)-264-6109,SSN,289-78-4068,https://randomuser.me/api/portraits/women/37.jpg,https://randomuser.me/api/portraits/med/women/37.jpg,https://randomuser.me/api/portraits/thumb/women/37.jpg,US
male,Mr,Pedro,Alvarez,3917,Fincher Rd,Atlanta,Virginia,United States,91703,49.1924,33.5311,-9:00,Alaska,pedro.alvarez@example.com,1946-05-05T14:45:47.263Z,75,2004-12-25T11:04:08.303Z,17,(314)-659-2484,(444)-051-9012,SSN,912-47-6932,https://randomuser.me/api/portraits/men/73.jpg,https://randomuser.me/api/portraits/med/men/73.jpg,https://randomuser.me/api/portraits/thumb/men/73.jpg,US
male,Mr,Lucas,Morales,72,Royal Ln,New York,Ohio,United States,12647,-84.0105,-43.4226,-3:30,Newfoundland,lucas.morales@example.com,1982-07-28T20:52:04.792Z,39,2016-07-14T14:14:56.819Z,5,(548)-142-2397,(592)-942-8821,SSN,499-87-1591,https://randomuser.me/api/portraits/men/48.jpg,https://randomuser.me/api/portraits/med/men/48.jpg,https://randomuser.me/api/portraits/thumb/men/48.jpg,US
female,Ms,Sheila,Williams,5319,Taylor St,Pittsburgh,Utah,United States,77642,21.4331,140.6682,+5:45,Kathmandu,sheila.williams@example.com,1989-06-01T22:39:08.155Z,32,2003-03-10T23:45:32.153Z,18,(728)-430-0849,(826)-287-2511,SSN,824-47-8305,https://randomuser.me/api/portraits/women/53.jpg,https://randomuser.me/api/portraits/med/women/53.jpg,https://randomuser.me/api/portraits/thumb/women/53.jpg,US
female,Miss,Amy,Bowman,2057,Woodland St,Bueblo,Nevada,United States,44867,61.1425,172.2926,-10:00,Hawaii,amy.bowman@example.com,1968-12-17T06:18:34.929Z,53,2004-09-18T05:39:52.352Z,17,(009)-462-7209,(706)-400-5094,SSN,735-99-0735,https://randomuser.me/api/portraits/women/49.jpg,https://randomuser.me/api/portraits/med/women/49.jpg,https://randomuser.me/api/portraits/thumb/women/49.jpg,US
female,Ms,Margie,Harvey,6734,Timber Wolf Trail,Denver,Virginia,United States,54349,-80.0044,143.8112,-10:00,Hawaii,margie.harvey@example.com,1969-09-26T15:35:54.157Z,52,2005-02-07T08:13:27.524Z,16,(158)-867-6233,(484)-607-0366,SSN,154-12-7603,https://randomuser.me/api/portraits/women/13.jpg,https://randomuser.me/api/portraits/med/women/13.jpg,https://randomuser.me/api/portraits/thumb/women/13.jpg,US
male,Mr,Carl,Knight,6457,Saddle Dr,South Bend,Nevada,United States,82946,-28.6043,57.7636,-8:00,Pacific Time (US & Canada),carl.knight@example.com,1994-07-07T02:40:24.023Z,27,2018-09-15T19:16:44.183Z,3,(300)-046-9803,(633)-043-3533,SSN,420-07-7023,https://randomuser.me/api/portraits/men/75.jpg,https://randomuser.me/api/portraits/med/men/75.jpg,https://randomuser.me/api/portraits/thumb/men/75.jpg,US
male,Mr,David,Harrison,6990,Daisy Dr,Eugene,Arizona,United States,96483,19.4364,-47.2911,-2:00,Mid-Atlantic,david.harrison@example.com,1958-03-28T04:23:10.420Z,63,2013-02-25T23:45:56.931Z,8,(605)-477-0316,(271)-326-0740,SSN,191-10-7122,https://randomuser.me/api/portraits/men/18.jpg,https://randomuser.me/api/portraits/med/men/18.jpg,https://randomuser.me/api/portraits/thumb/men/18.jpg,US
male,Mr,Nathaniel,Anderson,2970,Groveland Terrace,Pearland,Virginia,United States,42553,-70.6530,73.2232,-7:00,Mountain Time (US & Canada),nathaniel.anderson@example.com,1955-12-21T07:21:35.941Z,66,2009-06-14T07:51:39.790Z,12,(360)-951-1310,(546)-976-1693,SSN,729-89-0555,https://randomuser.me/api/portraits/men/85.jpg,https://randomuser.me/api/portraits/med/men/85.jpg,https://randomuser.me/api/portraits/thumb/men/85.jpg,US
male,Mr,Peter,Marshall,3877,Timber Wolf Trail,Cambridge,Texas,United States,20332,-4.3380,59.2232,-9:00,Alaska,peter.marshall@example.com,1949-01-14T03:39:13.944Z,72,2018-09-07T15:13:05.058Z,3,(785)-027-4582,(573)-906-7867,SSN,302-54-7984,https://randomuser.me/api/portraits/men/95.jpg,https://randomuser.me/api/portraits/med/men/95.jpg,https://randomuser.me/api/portraits/thumb/men/95.jpg,US
male,Mr,Jamie,Rodriguez,1931,Locust Rd,North Charleston,Minnesota,United States,54412,58.0597,-83.5871,+5:45,Kathmandu,jamie.rodriguez@example.com,1959-05-01T02:52:26.398Z,62,2010-04-23T20:51:15.815Z,11,(709)-180-6616,(004)-139-5612,SSN,328-13-1740,https://randomuser.me/api/portraits/men/42.jpg,https://randomuser.me/api/portraits/med/men/42.jpg,https://randomuser.me/api/portraits/thumb/men/42.jpg,US
male,Mr,Alfred,Green,5122,Cherry St,Minneapolis,Oklahoma,United States,45093,-84.9230,-133.9783,+4:30,Kabul,alfred.green@example.com,1973-01-07T01:57:24.420Z,48,2004-11-29T03:36:19.611Z,17,(111)-826-0865,(426)-305-4257,SSN,492-11-0964,https://randomuser.me/api/portraits/men/9.jpg,https://randomuser.me/api/portraits/med/men/9.jpg,https://randomuser.me/api/portraits/thumb/men/9.jpg,US
male,Mr,Louis,Gutierrez,9978,Dane St,Grapevine,South Carolina,United States,43991,-82.3075,-89.5874,-9:00,Alaska,louis.gutierrez@example.com,1945-01-22T23:33:00.608Z,76,2003-10-29T16:52:46.103Z,18,(542)-401-4038,(964)-863-8537,SSN,986-73-6011,https://randomuser.me/api/portraits/men/62.jpg,https://randomuser.me/api/portraits/med/men/62.jpg,https://randomuser.me/api/portraits/thumb/men/62.jpg,US
male,Mr,Maurice,Carr,4146,Fairview St,Stanley,Hawaii,United States,85476,45.4393,-159.8835,+4:30,Kabul,maurice.carr@example.com,1989-01-31T23:53:17.165Z,32,2011-07-18T15:56:11.637Z,10,(638)-005-3914,(953)-583-1839,SSN,804-55-5279,https://randomuser.me/api/portraits/men/28.jpg,https://randomuser.me/api/portraits/med/men/28.jpg,https://randomuser.me/api/portraits/thumb/men/28.jpg,US
female,Miss,Melinda,Gonzalez,1301,Adams St,Great Falls,Nebraska,United States,37773,8.8129,-141.2394,-3:30,Newfoundland,melinda.gonzalez@example.com,1955-05-15T07:34:27.027Z,66,2014-05-02T13:59:02.394Z,7,(081)-000-0477,(016)-783-0672,SSN,194-30-2342,https://randomuser.me/api/portraits/women/44.jpg,https://randomuser.me/api/portraits/med/women/44.jpg,https://randomuser.me/api/portraits/thumb/women/44.jpg,US
