gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Wyatt,Duncan,6252,Sunset St,Wilmington,Illinois,United States,68127,42.5433,-14.8237,-10:00,Hawaii,wyatt.duncan@example.com,1972-08-06T04:54:13.160Z,49,2012-04-21T12:30:11.032Z,9,(688)-601-3196,(663)-590-1500,SSN,697-72-4769,https://randomuser.me/api/portraits/men/10.jpg,https://randomuser.me/api/portraits/med/men/10.jpg,https://randomuser.me/api/portraits/thumb/men/10.jpg,US
female,Miss,Anna,Cruz,1059,Green Rd,Cupertino,Maine,United States,90343,75.0362,-129.8241,+5:45,Kathmandu,anna.cruz@example.com,1996-10-29T08:45:27.276Z,25,2010-02-19T08:31:07.716Z,11,(510)-286-6411,(131)-225-1050,SSN,644-55-8133,https://randomuser.me/api/portraits/women/39.jpg,https://randomuser.me/api/portraits/med/women/39.jpg,https://randomuser.me/api/portraits/thumb/women/39.jpg,US
female,Miss,Becky,Welch,3215,Lone Wolf Trail,Tampa,New York,United States,65691,9.4966,-129.5296,-9:00,Alaska,becky.welch@example.com,1974-05-29T20:04:44.429Z,47,2008-10-09T02:43:53.654Z,13,(734)-817-1581,(576)-157-6544,SSN,421-34-1282,https://randomuser.me/api/portraits/women/36.jpg,https://randomuser.me/api/portraits/med/women/36.jpg,https://randomuser.me/api/portraits/thumb/women/36.jpg,US
male,Mr,Herman,Carlson,1428,Spring Hill Rd,Ventura,Massachusetts,United States,23096,-2.3951,-116.9721,-3:30,Newfoundland,herman.carlson@example.com,1994-02-18T14:21:18.591Z,27,2006-05-24T20:04:22.854Z,15,(928)-756-8238,(881)-340-7097,SSN,625-28-9234,https://randomuser.me/api/portraits/men/57.jpg,https://randomuser.me/api/portraits/med/men/57.jpg,https://randomuser.me/api/portraits/thumb/men/57.jpg,US
female,Mrs,Toni,Andrews,2568,James St,Stamford,Rhode Island,United States,51565,5.6294,-88.6959,-2:00,Mid-Atlantic,toni.andrews@example.com,1963-03-03T12:27:35.097Z,58,2004-07-04T11:05:32.724Z,17,(042)-866-8180,(834)-391-9098,SSN,964-39-4679,https://randomuser.me/api/portraits/women/94.jpg,https://randomuser.me/api/portraits/med/women/94.jpg,https://randomuser.me/api/portraits/thumb/women/94.jpg,US
female,Ms,Ellen,Bradley,3207,E Sandy Lake Rd,The Colony,Arizona,United States,46307,-32.1748,98.7892,-7:00,Mountain Time (US & Canada),ellen.bradley@example.com,1958-01-28T12:09:56.151Z,63,2010-03-22T06:22:54.328Z,11,(530)-968-7662,(847)-661-2372,SSN,065-27-2615,https://randomuser.me/api/portraits/women/43.jpg,https://randomuser.me/api/portraits/med/women/43.jpg,https://randomuser.me/api/portraits/thumb/women/43.jpg,US
male,Mr,Keith,Morrison,5862,Valwood Pkwy,Anna,New Hampshire,United States,26315,-47.9511,137.0746,-10:00,Hawaii,keith.morrison@example.com,1964-07-25T12:55:47.326Z,57,2004-04-09T05:38:42.329Z,17,(727)-390-2088,(986)-219-2286,SSN,096-02-7014,https://randomuser.me/api/portraits/men/73.jpg,https://randomuser.me/api/portraits/med/men/73.jpg,https://randomuser.me/api/portraits/thumb/men/73.jpg,US
male,Mr,Edwin,King,7349,Oak Ridge Ln,South Valley,Illinois,United States,95110,89.1515,-41.8276,-2:00,Mid-Atlantic,edwin.king@example.com,1972-12-25T02:39:34.881Z,49,2010-05-06T19:37:20.530Z,11,(498)-747-2264,(168)-231-2409,SSN,067-68-2497,https://randomuser.me/api/portraits/men/92.jpg,https://randomuser.me/api/portraits/med/men/92.jpg,https://randomuser.me/api/portraits/thumb/men/92.jpg,US
male,Mr,Connor,Simmons,8215,Smokey Ln,Atlanta,Nebraska,United States,33710,-24.9387,137.1820,-8:00,Pacific Time (US & Canada),connor.simmons@example.com,1945-11-26T17:58:38.224Z,76,2009-06-07T18:50:18.675Z,12,(224)-881-0768,(514)-462-8063,SSN,345-14-3134,https://randomuser.me/api/portraits/men/80.jpg,https://randomuser.me/api/portraits/med/men/80.jpg,https://randomuser.me/api/portraits/thumb/men/80.jpg,US
female,Mrs,Katherine,Hill,1571,Railroad St,Minneapolis,Missouri,United States,73820,-5.7262,34.0460,-3:30,Newfoundland,katherine.hill@example.com,1989-01-12T02:17:56.903Z,32,2019-03-29T03:17:07.638Z,2,(420)-334-5634,(899)-773-7606,SSN,401-97-9312,https://randomuser.me/api/portraits/women/58.jpg,https://randomuser.me/api/portraits/med/women/58.jpg,https://randomuser.me/api/portraits/thumb/women/58.jpg,US
