gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Brett,Rodriguez,3501,Pockrus Page Rd,Broken Arrow,Florida,United States,48242,8.6053,-151.4108,+5:45,Kathmandu,brett.rodriguez@example.com,1985-01-12T02:38:25.851Z,36,2004-03-04T20:05:29.503Z,17,(066)-416-5786,(739)-810-7164,SSN,245-39-3597,https://randomuser.me/api/portraits/men/57.jpg,https://randomuser.me/api/portraits/med/men/57.jpg,https://randomuser.me/api/portraits/thumb/men/57.jpg,US
male,Mr,Brennan,Stewart,1247,Robinson Rd,Wilmington,Texas,United States,87428,-85.0068,-68.4675,-10:00,Hawaii,brennan.stewart@example.com,1946-11-19T09:59:28.230Z,75,2015-10-20T13:50:18.664Z,6,(966)-071-3451,(059)-760-3567,SSN,082-19-0061,https://randomuser.me/api/portraits/men/98.jpg,https://randomuser.me/api/portraits/med/men/98.jpg,https://randomuser.me/api/portraits/thumb/men/98.jpg,US
male,Mr,Nathan,Griffin,2176,Pockrus Page Rd,West Jordan,New Mexico,United States,69330,42.6770,-95.5721,-9:00,Alaska,nathan.griffin@example.com,1946-09-07T06:25:52.359Z,75,2007-07-06T00:26:09.132Z,14,(183)-436-6962,(986)-014-7873,SSN,795-90-0198,https://randomuser.me/api/portraits/men/38.jpg,https://randomuser.me/api/portraits/med/men/38.jpg,https://randomuser.me/api/portraits/thumb/men/38.jpg,US
male,Mr,Marcus,Carpenter,9553,Timber Wolf Trail,Cleveland,Kentucky,United States,77535,57.0862,-102.7042,-3:30,Newfoundland,marcus.carpenter@example.com,1966-03-15T12:07:35.273Z,55,2004-09-30T01:38:40.324Z,17,(860)-666-4187,(327)-887-5734,SSN,463-21-6772,https://randomuser.me/api/portraits/men/97.jpg,https://randomuser.me/api/portraits/med/men/97.jpg,https://randomuser.me/api/portraits/thumb/men/97.jpg,US
male,Mr,Judd,Rose,8381,Robinson Rd,Lowell,Mississippi,United States,76933,-75.8141,-65.2016,+4:30,Kabul,judd.rose@example.com,1952-08-04T07:40:00.758Z,69,2005-01-01T14:36:39.770Z,16,(583)-226-3051,(279)-154-0836,SSN,527-63-3008,https://randomuser.me/api/portraits/men/49.jpg,https://randomuser.me/api/portraits/med/men/49.jpg,https://randomuser.me/api/portraits/thumb/men/49.jpg,US
female,Ms,Scarlett,Moore,449,Country Club Rd,Abilene,New Jersey,United States,45178,84.7428,133.7576,+5:45,Kathmandu,scarlett.moore@example.com,1979-01-11T04:09:18.828Z,42,2011-08-12T15:04:18.608Z,10,(670)-381-4177,(779)-392-9141,SSN,277-45-5112,https://randomuser.me/api/portraits/women/60.jpg,https://randomuser.me/api/portraits/med/women/60.jpg,https://randomuser.me/api/portraits/thumb/women/60.jpg,US
female,Mrs,Alicia,Diaz,8145,Prospect Rd,Grand Prairie,New Mexico,United States,85805,30.1728,85.1526,-7:00,Mountain Time (US & Canada),alicia.diaz@example.com,1997-08-23T05:16:58.443Z,24,2014-08-25T10:50:39.852Z,7,(641)-058-4468,(753)-381-3845,SSN,672-38-0649,https://randomuser.me/api/portraits/women/11.jpg,https://randomuser.me/api/portraits/med/women/11.jpg,https://randomuser.me/api/portraits/thumb/women/11.jpg,US
male,Mr,Armando,Porter,2531,Central St,Roanoke,Wyoming,United States,64182,51.2244,-112.5411,+5:45,Kathmandu,armando.porter@example.com,1985-09-15T22:04:38.182Z,36,2009-06-19T12:02:15.742Z,12,(472)-084-0718,(465)-776-1725,SSN,050-80-9367,https://randomuser.me/api/portraits/men/76.jpg,https://randomuser.me/api/portraits/med/men/76.jpg,https://randomuser.me/api/portraits/thumb/men/76.jpg,US
male,Mr,Jamie,Graves,4584,Edwards Rd,Grand Rapids,Wisconsin,United States,36415,89.6805,-176.6846,+4:30,Kabul,jamie.graves@example.com,1993-01-20T15:48:20.763Z,28,2019-09-08T01:10:12.197Z,2,(221)-097-4147,(468)-872-0866,SSN,964-61-1283,https://randomuser.me/api/portraits/men/24.jpg,https://randomuser.me/api/portraits/med/men/24.jpg,https://randomuser.me/api/portraits/thumb/men/24.jpg,US
male,Mr,Rene,Hopkins,2731,Daisy Dr,Memphis,Texas,United States,12176,-36.2842,102.0804,-7:00,Mountain Time (US & Canada),rene.hopkins@example.com,1951-05-21T14:00:32.580Z,70,2009-10-04T09:29:13.015Z,12,(828)-830-7161,(674)-419-0851,SSN,559-60-8337,https://randomuser.me/api/portraits/men/49.jpg,https://randomuser.me/api/portraits/med/men/49.jpg,https://randomuser.me/api/portraits/thumb/men/49.jpg,US
female,Ms,Letitia,Hart,8061,Northaven Rd,Steilacoom,Louisiana,United States,82484,-32.2762,-161.1757,-2:00,Mid-Atlantic,letitia.hart@example.com,1951-07-06T03:54:20.205Z,70,2007-08-27T05:58:26.371Z,14,(750)-086-1262,(638)-389-5837,SSN,798-33-8789,https://randomuser.me/api/portraits/women/69.jpg,https://randomuser.me/api/portraits/med/women/69.jpg,https://randomuser.me/api/portraits/thumb/women/69.jpg,US
