gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Mike,Reed,8816,Homestead Rd,Overland Park,Utah,United States,63989,7.6829,80.4032,+3:30,Tehran,mike.reed@example.com,1972-11-01T06:55:42.859Z,49,2019-06-13T05:49:12.678Z,2,(998)-313-4800,(489)-186-7158,SSN,270-71-5480,https://randomuser.me/api/portraits/men/56.jpg,https://randomuser.me/api/portraits/med/men/56.jpg,https://randomuser.me/api/portraits/thumb/men/56.jpg,US
female,Miss,Becky,Sutton,1363,Prospect Rd,Chicago,Connecticut,United States,74680,-71.2315,-18.3874,-9:00,Alaska,becky.sutton@example.com,1984-03-07T18:38:01.813Z,37,2013-12-24T04:04:28.844Z,8,(741)-113-6501,(595)-943-8204,SSN,002-48-5487,https://randomuser.me/api/portraits/women/18.jpg,https://randomuser.me/api/portraits/med/women/18.jpg,https://randomuser.me/api/portraits/thumb/women/18.jpg,US
male,Mr,Alvin,Carr,8329,Avondale Ave,Elgin,Nebraska,United States,73358,-9.5600,117.6638,+3:30,Tehran,alvin.carr@example.com,1964-01-01T16:31:38.693Z,57,2003-09-19T23:58:51.152Z,18,(077)-600-8602,(768)-371-5429,SSN,744-53-9300,https://randomuser.me/api/portraits/men/62.jpg,https://randomuser.me/api/portraits/med/men/62.jpg,https://randomuser.me/api/portraits/thumb/men/62.jpg,US
male,Mr,Cameron,Prescott,9702,Hunters Creek Dr,Lancaster,Iowa,United States,34843,-87.8435,-138.9639,-10:00,Hawaii,cameron.prescott@example.com,1978-02-09T11:01:58.534Z,43,2011-09-08T08:04:21.548Z,10,(695)-681-0818,(523)-647-3708,SSN,100-07-4295,https://randomuser.me/api/portraits/men/57.jpg,https://randomuser.me/api/portraits/med/men/57.jpg,https://randomuser.me/api/portraits/thumb/men/57.jpg,US
female,Ms,Penny,Kelley,8148,E Center St,Plano,Minnesota,United States,28555,-27.4717,-12.9202,-9:00,Alaska,penny.kelley@example.com,1949-05-09T20:17:39.169Z,72,2008-06-25T22:57:01.283Z,13,(205)-615-0420,(245)-808-3022,SSN,910-02-3000,https://randomuser.me/api/portraits/women/80.jpg,https://randomuser.me/api/portraits/med/women/80.jpg,https://randomuser.me/api/portraits/thumb/women/80.jpg,US
female,Miss,Brianna,Torres,423,Frances Ct,Lakeland,Pennsylvania,United States,61197,78.2058,9.4110,+4:30,Kabul,brianna.torres@example.com,1950-01-28T15:23:14.260Z,71,2002-04-15T20:32:04.483Z,19,(895)-716-5761,(695)-388-8183,SSN,776-00-3417,https://randomuser.me/api/portraits/women/34.jpg,https://randomuser.me/api/portraits/med/women/34.jpg,https://randomuser.me/api/portraits/thumb/women/34.jpg,US
female,Mrs,Olivia,Lane,7298,E Pecan St,Columbus,Vermont,United States,91744,63.9704,107.5998,-9:00,Alaska,olivia.lane@example.com,1991-02-24T01:22:28.531Z,30,2014-06-15T19:11:12.433Z,7,(112)-098-7067,(445)-981-0807,SSN,210-14-0474,https://randomuser.me/api/portraits/women/58.jpg,https://randomuser.me/api/portraits/med/women/58.jpg,https://randomuser.me/api/portraits/thumb/women/58.jpg,US
male,Mr,Gene,Mason,7263,Hillcrest Rd,Ironville,New York,United States,83918,64.7801,40.2191,-7:00,Mountain Time (US & Canada),gene.mason@example.com,1965-04-08T21:29:01.397Z,56,2013-04-11T12:15:23.819Z,8,(553)-319-1296,(711)-264-4250,SSN,871-27-6192,https://randomuser.me/api/portraits/men/45.jpg,https://randomuser.me/api/portraits/med/men/45.jpg,https://randomuser.me/api/portraits/thumb/men/45.jpg,US
female,Ms,Jean,Morrison,2033,White Oak Dr,Ontario,New Jersey,United States,36693,-65.5034,-151.7869,-10:00,Hawaii,jean.morrison@example.com,1988-04-25T02:34:52.573Z,33,2011-04-13T23:55:59.990Z,10,(049)-466-6768,(022)-175-4629,SSN,091-07-7928,https://randomuser.me/api/portraits/women/11.jpg,https://randomuser.me/api/portraits/med/women/11.jpg,https://randomuser.me/api/portraits/thumb/women/11.jpg,US
male,Mr,Samuel,Morgan,9944,James St,Ventura,Idaho,United States,41855,76.1349,-36.8601,-8:00,Pacific Time (US & Canada),samuel.morgan@example.com,1958-08-12T04:29:53.522Z,63,2015-08-29T15:57:25.426Z,6,(899)-685-0001,(073)-109-8440,SSN,894-60-3332,https://randomuser.me/api/portraits/men/67.jpg,https://randomuser.me/api/portraits/med/men/67.jpg,https://randomuser.me/api/portraits/thumb/men/67.jpg,US
female,Ms,Linda,Kim,7828,College St,Colorado Springs,Oklahoma,United States,90047,-53.6696,36.2073,-9:00,Alaska,linda.kim@example.com,1949-04-10T07:31:56.108Z,72,2016-01-01T07:35:29.880Z,5,(553)-460-7141,(919)-710-1523,SSN,498-30-3052,https://randomuser.me/api/portraits/women/69.jpg,https://randomuser.me/api/portraits/med/women/69.jpg,https://randomuser.me/api/portraits/thumb/women/69.jpg,US
