gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Miss,Marie,Gardner,2398,Walnut Hill Ln,Raleigh,Pennsylvania,United States,71984,-45.1442,30.4140,+4:30,Kabul,marie.gardner@example.com,1962-05-03T04:39:08.221Z,59,2009-03-08T09:20:24.451Z,12,(156)-117-6781,(409)-561-3169,SSN,489-69-6236,https://randomuser.me/api/portraits/women/54.jpg,https://randomuser.me/api/portraits/med/women/54.jpg,https://randomuser.me/api/portraits/thumb/women/54.jpg,US
female,Miss,Brianna,Soto,946,Timber Wolf Trail,Spokane,North Carolina,United States,20115,-31.1564,-36.8394,+5:45,Kathmandu,brianna.soto@example.com,1975-01-02T21:05:01.303Z,46,2009-12-08T10:15:32.617Z,12,(781)-994-4302,(119)-626-5875,SSN,369-00-2124,https://randomuser.me/api/portraits/women/8.jpg,https://randomuser.me/api/portraits/med/women/8.jpg,https://randomuser.me/api/portraits/thumb/women/8.jpg,US
male,Mr,Willard,Vargas,4239,First Street,Elizabeth,Ohio,United States,98885,-59.4643,-66.2505,-3:30,Newfoundland,willard.vargas@example.com,1966-12-11T15:39:55.576Z,55,2004-10-01T09:24:00.790Z,17,(816)-627-1284,(339)-489-2201,SSN,759-25-7428,https://randomuser.me/api/portraits/men/91.jpg,https://randomuser.me/api/portraits/med/men/91.jpg,https://randomuser.me/api/portraits/thumb/men/91.jpg,US
male,Mr,Donald,Hunt,7388,Oak Ridge Ln,Utica,North Dakota,United States,82674,-31.7578,64.0881,-7:00,Mountain Time (US & Canada),donald.hunt@example.com,1993-06-05T19:26:43.821Z,28,2013-10-30T02:50:32.681Z,8,(121)-815-6984,(577)-327-8138,SSN,382-20-1436,https://randomuser.me/api/portraits/men/22.jpg,https://randomuser.me/api/portraits/med/men/22.jpg,https://randomuser.me/api/portraits/thumb/men/22.jpg,US
female,Miss,Amy,Kelley,1691,Ranchview Dr,Steilacoom,Iowa,United States,27952,-4.3572,22.1455,+5:45,Kathmandu,amy.kelley@example.com,1984-07-24T16:21:26.774Z,37,2017-06-21T19:52:01.927Z,4,(847)-489-4342,(274)-601-0690,SSN,606-39-5966,https://randomuser.me/api/portraits/women/26.jpg,https://randomuser.me/api/portraits/med/women/26.jpg,https://randomuser.me/api/portraits/thumb/women/26.jpg,US
male,Mr,Lee,Little,4040,Saddle Dr,Jackson,Kansas,United States,85869,-84.3571,58.7888,-10:00,Hawaii,lee.little@example.com,1979-05-19T02:06:17.800Z,42,2008-02-06T15:25:27.856Z,13,(906)-889-1688,(094)-794-5850,SSN,332-51-1612,https://randomuser.me/api/portraits/men/79.jpg,https://randomuser.me/api/portraits/med/men/79.jpg,https://randomuser.me/api/portraits/thumb/men/79.jpg,US
female,Ms,Priscilla,Fowler,4779,Crockett St,Kent,West Virginia,United States,84119,22.1759,-100.6759,+4:30,Kabul,priscilla.fowler@example.com,1994-03-25T16:35:21.367Z,27,2009-07-31T10:28:19.260Z,12,(133)-079-9728,(866)-289-7228,SSN,494-81-0628,https://randomuser.me/api/portraits/women/35.jpg,https://randomuser.me/api/portraits/med/women/35.jpg,https://randomuser.me/api/portraits/thumb/women/35.jpg,US
female,Ms,Savannah,Hansen,5394,Bollinger Rd,Ventura,Mississippi,United States,52884,-4.7262,83.8613,-3:30,Newfoundland,savannah.hansen@example.com,1956-08-19T12:25:06.531Z,65,2013-03-03T00:13:18.977Z,8,(432)-724-0288,(928)-526-6772,SSN,896-03-3418,https://randomuser.me/api/portraits/women/1.jpg,https://randomuser.me/api/portraits/med/women/1.jpg,https://randomuser.me/api/portraits/thumb/women/1.jpg,US
male,Mr,Curtis,Lambert,5240,Nowlin Rd,Fairfield,New Jersey,United States,80317,-37.3309,-145.9075,-9:00,Alaska,curtis.lambert@example.com,1954-02-27T11:52:14.857Z,67,2017-09-28T02:36:35.879Z,4,(635)-067-7609,(246)-368-8363,SSN,250-77-4100,https://randomuser.me/api/portraits/men/77.jpg,https://randomuser.me/api/portraits/med/men/77.jpg,https://randomuser.me/api/portraits/thumb/men/77.jpg,US
male,Mr,Lewis,Knight,5557,Sunset St,Allentown,Ohio,United States,95592,82.7348,-38.7500,-8:00,Pacific Time (US & Canada),lewis.knight@example.com,1983-10-31T18:12:10.912Z,38,2012-03-31T02:45:51.215Z,9,(861)-753-8502,(169)-100-0062,SSN,387-05-7701,https://randomuser.me/api/portraits/men/73.jpg,https://randomuser.me/api/portraits/med/men/73.jpg,https://randomuser.me/api/portraits/thumb/men/73.jpg,US
female,Ms,Paula,Sanders,3043,Brown Terrace,Altoona,North Dakota,United States,64206,-43.2022,136.9399,-10:00,Hawaii,paula.sanders@example.com,1984-05-10T10:19:43.593Z,37,2011-07-31T02:51:30.034Z,10,(931)-985-8093,(364)-568-3096,SSN,635-89-9006,https://randomuser.me/api/portraits/women/86.jpg,https://randomuser.me/api/portraits/med/women/86.jpg,https://randomuser.me/api/portraits/thumb/women/86.jpg,US
female,Miss,Serenity,Turner,5156,Frances Ct,Durham,Michigan,United States,93118,-49.1555,41.8731,-9:00,Alaska,serenity.turner@example.com,1954-02-08T14:15:22.129Z,67,2004-06-22T09:14:59.931Z,17,(872)-855-1883,(944)-857-6137,SSN,446-33-3877,https://randomuser.me/api/portraits/women/11.jpg,https://randomuser.me/api/portraits/med/women/11.jpg,https://randomuser.me/api/portraits/thumb/women/11.jpg,US
male,Mr,Derek,Howard,1087,Pecan Acres Ln,Odessa,Kentucky,United States,87117,49.3654,-104.3319,+3:30,Tehran,derek.howard@example.com,1978-09-29T09:43:30.133Z,43,2019-04-23T12:09:08.983Z,2,(321)-960-2746,(322)-739-7608,SSN,443-67-3327,https://randomuser.me/api/portraits/men/63.jpg,https://randomuser.me/api/portraits/med/men/63.jpg,https://randomuser.me/api/portraits/thumb/men/63.jpg,US
female,Miss,Ann,Woods,4200,Shady Ln Dr,Chesapeake,Mississippi,United States,77537,48.4838,101.9469,+3:30,Tehran,ann.woods@example.com,1988-02-26T17:13:20.528Z,33,2009-01-16T17:46:15.685Z,12,(833)-264-8461,(940)-247-8464,SSN,412-12-3380,https://randomuser.me/api/portraits/women/62.jpg,https://randomuser.me/api/portraits/med/women/62.jpg,https://randomuser.me/api/portraits/thumb/women/62.jpg,US
male,Mr,Ethan,Gonzales,4085,Daisy Dr,Chesapeake,Massachusetts,United States,81589,-63.1083,-76.3068,+5:45,Kathmandu,ethan.gonzales@example.com,1961-07-01T01:06:11.324Z,60,2014-09-01T08:31:14.144Z,7,(089)-529-1010,(917)-240-3708,SSN,976-64-3553,https://randomuser.me/api/portraits/men/54.jpg,https://randomuser.me/api/portraits/med/men/54.jpg,https://randomuser.me/api/portraits/thumb/men/54.jpg,US
female,Miss,Layla,Nguyen,2960,Thornridge Cir,Dallas,Texas,United States,80729,19.0356,-61.5236,-10:00,Hawaii,layla.nguyen@example.com,1973-09-13T01:08:26.165Z,48,2016-10-29T07:54:13.392Z,5,(887)-398-4441,(541)-144-8641,SSN,673-80-8781,https://randomuser.me/api/portraits/women/39.jpg,https://randomuser.me/api/portraits/med/women/39.jpg,https://randomuser.me/api/portraits/thumb/women/39.jpg,US
