gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Wyatt,Griffin,8628,Brown Terrace,Lewisville,Iowa,United States,60064,17.8280,-35.9240,+5:45,Kathmandu,wyatt.griffin@example.com,1988-06-06T20:36:44.447Z,33,2004-11-01T03:53:47.880Z,17,(860)-836-7156,(211)-165-0457,SSN,908-34-5488,https://randomuser.me/api/portraits/men/45.jpg,https://randomuser.me/api/portraits/med/men/45.jpg,https://randomuser.me/api/portraits/thumb/men/45.jpg,US
female,Ms,Marian,Harvey,1870,W 6th St,Miami,Virginia,United States,13653,83.2246,-106.3620,-8:00,Pacific Time (US & Canada),marian.harvey@example.com,1967-12-16T00:20:01.363Z,54,2011-03-10T03:05:14.500Z,10,(216)-263-8956,(770)-327-2383,SSN,995-21-0528,https://randomuser.me/api/portraits/women/31.jpg,https://randomuser.me/api/portraits/med/women/31.jpg,https://randomuser.me/api/portraits/thumb/women/31.jpg,US
male,Mr,Gavin,Fletcher,3367,Karen Dr,Waco,Rhode Island,United States,10477,89.8396,-58.0910,+4:30,Kabul,gavin.fletcher@example.com,1967-01-13T23:39:12.690Z,54,2006-03-05T07:06:14.492Z,15,(529)-275-4134,(313)-115-7079,SSN,235-86-4675,https://randomuser.me/api/portraits/men/40.jpg,https://randomuser.me/api/portraits/med/men/40.jpg,https://randomuser.me/api/portraits/thumb/men/40.jpg,US
male,Mr,Mitchell,Gregory,5340,Homestead Rd,Norfolk,Tennessee,United States,72177,13.9976,5.4594,-9:00,Alaska,mitchell.gregory@example.com,1961-01-15T21:25:39.402Z,60,2011-11-15T16:56:49.294Z,10,(714)-323-7600,(803)-207-1879,SSN,838-47-6979,https://randomuser.me/api/portraits/men/54.jpg,https://randomuser.me/api/portraits/med/men/54.jpg,https://randomuser.me/api/portraits/thumb/men/54.jpg,US
female,Ms,Savannah,Kuhn,9346,Miller Ave,Athens,Connecticut,United States,31117,-38.3891,-125.3204,+5:45,Kathmandu,savannah.kuhn@example.com,1990-08-18T05:58:45.366Z,31,2008-12-06T11:01:07.962Z,13,(470)-835-4343,(969)-780-0383,SSN,389-63-4615,https://randomuser.me/api/portraits/women/1.jpg,https://randomuser.me/api/portraits/med/women/1.jpg,https://randomuser.me/api/portraits/thumb/women/1.jpg,US
female,Mrs,Loretta,Tucker,1996,E Little York Rd,Clearwater,New Hampshire,United States,40962,26.9861,91.7980,+5:45,Kathmandu,loretta.tucker@example.com,1997-03-14T03:24:39.666Z,24,2007-04-28T18:52:02.376Z,14,(865)-300-0303,(439)-314-0493,SSN,903-13-6457,https://randomuser.me/api/portraits/women/19.jpg,https://randomuser.me/api/portraits/med/women/19.jpg,https://randomuser.me/api/portraits/thumb/women/19.jpg,US
female,Miss,Jean,Barrett,2504,James St,Antioch,Louisiana,United States,61470,38.9106,166.6922,+5:45,Kathmandu,jean.barrett@example.com,1996-09-02T14:28:41.762Z,25,2017-02-20T23:52:10.316Z,4,(855)-626-0896,(488)-231-7693,SSN,235-32-0301,https://randomuser.me/api/portraits/women/79.jpg,https://randomuser.me/api/portraits/med/women/79.jpg,https://randomuser.me/api/portraits/thumb/women/79.jpg,US
male,Mr,Ian,Howard,4622,Dogwood Ave,Gresham,New Mexico,United States,36094,4.4466,-94.8360,-8:00,Pacific Time (US & Canada),ian.howard@example.com,1961-01-04T17:31:59.996Z,60,2011-03-12T13:24:18.712Z,10,(149)-415-7572,(937)-098-6674,SSN,573-62-3951,https://randomuser.me/api/portraits/men/10.jpg,https://randomuser.me/api/portraits/med/men/10.jpg,https://randomuser.me/api/portraits/thumb/men/10.jpg,US
male,Mr,Perry,Hernandez,8653,Saddle Dr,Alexandria,Ohio,United States,53308,-53.1684,-171.1502,-8:00,Pacific Time (US & Canada),perry.hernandez@example.com,1982-02-27T23:20:16.834Z,39,2004-04-13T08:22:54.290Z,17,(382)-186-2718,(203)-243-7345,SSN,189-55-2169,https://randomuser.me/api/portraits/men/96.jpg,https://randomuser.me/api/portraits/med/men/96.jpg,https://randomuser.me/api/portraits/thumb/men/96.jpg,US
male,Mr,Howard,Carroll,2017,White Oak Dr,Sterling Heights,Kansas,United States,75504,-15.6279,49.6090,-3:30,Newfoundland,howard.carroll@example.com,1972-11-04T03:04:11.532Z,49,2018-06-02T01:05:37.289Z,3,(588)-878-8002,(590)-894-9489,SSN,993-35-9384,https://randomuser.me/api/portraits/men/48.jpg,https://randomuser.me/api/portraits/med/men/48.jpg,https://randomuser.me/api/portraits/thumb/men/48.jpg,US
