gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Daniel,Wright,8431,Royal Ln,Cary,New Hampshire,United States,83334,-35.5392,35.4838,-2:00,Mid-Atlantic,daniel.wright@example.com,1965-07-20T15:00:16.639Z,56,2015-11-03T21:06:56.963Z,6,(320)-466-1117,(632)-523-0402,SSN,403-94-5004,https://randomuser.me/api/portraits/men/43.jpg,https://randomuser.me/api/portraits/med/men/43.jpg,https://randomuser.me/api/portraits/thumb/men/43.jpg,US
male,Mr,Jack,Pierce,3341,James St,Duncanville,Tennessee,United States,57193,2.6664,69.8779,+4:30,Kabul,jack.pierce@example.com,1979-07-13T12:04:22.733Z,42,2016-07-17T21:25:36.275Z,5,(684)-332-7906,(740)-098-1774,SSN,155-47-3855,https://randomuser.me/api/portraits/men/60.jpg,https://randomuser.me/api/portraits/med/men/60.jpg,https://randomuser.me/api/portraits/thumb/men/60.jpg,US
female,Mrs,Chloe,Harper,1450,Hunters Creek Dr,Thousand Oaks,Texas,United States,52463,-85.3144,-159.2103,-10:00,Hawaii,chloe.harper@example.com,1947-04-09T02:19:57.190Z,74,2015-02-16T00:34:22.086Z,6,(810)-522-4860,(731)-732-6590,SSN,772-83-4346,https://randomuser.me/api/portraits/women/69.jpg,https://randomuser.me/api/portraits/med/women/69.jpg,https://randomuser.me/api/portraits/thumb/women/69.jpg,US
male,Mr,Freddie,Hunter,335,Karen Dr,Riverside,Missouri,United States,98997,-80.0113,68.4617,+3:30,Tehran,freddie.hunter@example.com,1992-09-12T22:31:51.489Z,29,2016-08-18T03:52:42.731Z,5,(686)-573-4537,(906)-721-3723,SSN,964-53-1755,https://randomuser.me/api/portraits/men/0.jpg,https://randomuser.me/api/portraits/med/men/0.jpg,https://randomuser.me/api/portraits/thumb/men/0.jpg,US
female,Miss,Deann,Barnes,9160,Lakeview St,Overland Park,Alaska,United States,99279,-27.3575,14.4085,-3:30,Newfoundland,deann.barnes@example.com,1954-04-19T23:54:16.575Z,67,2017-04-19T20:25:59.618Z,4,(545)-513-5786,(009)-492-8995,SSN,803-98-1002,https://randomuser.me/api/portraits/women/53.jpg,https://randomuser.me/api/portraits/med/women/53.jpg,https://randomuser.me/api/portraits/thumb/women/53.jpg,US
female,Ms,Sally,Reid,9106,Spring St,Burbank,New York,United States,36614,24.4990,-107.5512,-10:00,Hawaii,sally.reid@example.com,1951-06-30T16:30:15.358Z,70,2003-07-18T07:33:07.067Z,18,(257)-963-9744,(998)-239-1966,SSN,432-28-5233,https://randomuser.me/api/portraits/women/15.jpg,https://randomuser.me/api/portraits/med/women/15.jpg,https://randomuser.me/api/portraits/thumb/women/15.jpg,US
male,Mr,Barry,Griffin,248,Avondale Ave,San Mateo,Kentucky,United States,35208,22.7502,126.9169,+3:30,Tehran,barry.griffin@example.com,1987-03-22T12:38:06.436Z,34,2012-09-07T02:39:33.814Z,9,(193)-741-2050,(981)-660-9342,SSN,630-09-0277,https://randomuser.me/api/portraits/men/63.jpg,https://randomuser.me/api/portraits/med/men/63.jpg,https://randomuser.me/api/portraits/thumb/men/63.jpg,US
male,Mr,Andy,Duncan,9087,Mockingbird Ln,Oklahoma City,Ohio,United States,89782,1.3698,177.8590,-10:00,Hawaii,andy.duncan@example.com,1983-07-27T04:34:49.439Z,38,2009-02-09T15:44:21.030Z,12,(372)-402-5282,(451)-747-4187,SSN,801-16-6181,https://randomuser.me/api/portraits/men/58.jpg,https://randomuser.me/api/portraits/med/men/58.jpg,https://randomuser.me/api/portraits/thumb/men/58.jpg,US
male,Mr,Ruben,Williams,3705,Cherry St,Tyler,Mississippi,United States,16349,-12.7093,-59.7803,+3:30,Tehran,ruben.williams@example.com,1963-05-26T19:31:45.132Z,58,2012-04-03T01:35:19.343Z,9,(140)-355-2776,(853)-736-2639,SSN,562-90-2174,https://randomuser.me/api/portraits/men/4.jpg,https://randomuser.me/api/portraits/med/men/4.jpg,https://randomuser.me/api/portraits/thumb/men/4.jpg,US
female,Miss,Anita,Wells,6131,W Sherman Dr,Arlington,New York,United States,51405,14.4950,-7.4565,+3:30,Tehran,anita.wells@example.com,1980-09-09T11:59:27.092Z,41,2002-06-07T09:55:04.098Z,19,(981)-750-2776,(550)-472-4091,SSN,122-34-2394,https://randomuser.me/api/portraits/women/74.jpg,https://randomuser.me/api/portraits/med/women/74.jpg,https://randomuser.me/api/portraits/thumb/women/74.jpg,US
