gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Mrs,Colleen,Lucas,4582,Bruce St,Los Angeles,North Dakota,United States,79434,-52.5585,101.8343,+4:30,Kabul,colleen.lucas@example.com,1956-07-18T23:39:07.671Z,65,2008-04-23T05:46:42.947Z,13,(623)-943-5214,(411)-184-6662,SSN,409-46-4143,https://randomuser.me/api/portraits/women/85.jpg,https://randomuser.me/api/portraits/med/women/85.jpg,https://randomuser.me/api/portraits/thumb/women/85.jpg,US
female,Mrs,Julia,Brooks,4459,W Belt Line Rd,Fayetteville,Oklahoma,United States,12000,-51.1582,-25.0617,-8:00,Pacific Time (US & Canada),julia.brooks@example.com,1970-09-07T13:12:04.365Z,51,2008-01-22T13:09:04.588Z,13,(102)-556-3003,(900)-907-8936,SSN,449-00-4506,https://randomuser.me/api/portraits/women/84.jpg,https://randomuser.me/api/portraits/med/women/84.jpg,https://randomuser.me/api/portraits/thumb/women/84.jpg,US
female,Miss,Wendy,Lucas,4287,Frances Ct,Farmers Branch,Arizona,United States,27227,-16.9247,24.4922,-9:00,Alaska,wendy.lucas@example.com,1980-05-02T16:28:13.729Z,41,2005-04-10T03:50:05.691Z,16,(693)-732-5409,(948)-316-5067,SSN,448-72-2731,https://randomuser.me/api/portraits/women/39.jpg,https://randomuser.me/api/portraits/med/women/39.jpg,https://randomuser.me/api/portraits/thumb/women/39.jpg,US
male,Mr,Gregory,Peck,9665,Sunset St,Killeen,Montana,United States,29616,20.1569,-10.2282,-9:00,Alaska,gregory.peck@example.com,1982-10-22T06:38:12.736Z,39,2008-01-04T12:48:35.704Z,13,(384)-505-7186,(350)-096-2538,SSN,884-68-1454,https://randomuser.me/api/portraits/men/40.jpg,https://randomuser.me/api/portraits/med/men/40.jpg,https://randomuser.me/api/portraits/thumb/men/40.jpg,US
female,Miss,April,Fuller,7635,Country Club Rd,North Valley,Minnesota,United States,66155,34.0373,-155.4680,-7:00,Mountain Time (US & Canada),april.fuller@example.com,1979-09-11T15:15:22.834Z,42,2009-06-21T13:39:08.527Z,12,(608)-197-5123,(945)-726-1951,SSN,184-32-6818,https://randomuser.me/api/portraits/women/57.jpg,https://randomuser.me/api/portraits/med/women/57.jpg,https://randomuser.me/api/portraits/thumb/women/57.jpg,US
female,Ms,Scarlett,Frazier,1872,Paddock Way,Pittsburgh,Pennsylvania,United States,49184,89.7910,167.4499,-7:00,Mountain Time (US & Canada),scarlett.frazier@example.com,1989-01-22T16:07:11.033Z,32,2014-01-27T07:44:36.575Z,7,(405)-579-4308,(873)-971-4059,SSN,724-23-1730,https://randomuser.me/api/portraits/women/84.jpg,https://randomuser.me/api/portraits/med/women/84.jpg,https://randomuser.me/api/portraits/thumb/women/84.jpg,US
male,Mr,Henry,Craig,4060,Prospect Rd,Honolulu,Pennsylvania,United States,98545,-35.5164,113.6682,-10:00,Hawaii,henry.craig@example.com,1993-09-28T23:08:36.420Z,28,2002-06-15T09:37:22.195Z,19,(210)-006-1562,(970)-935-3686,SSN,578-59-3735,https://randomuser.me/api/portraits/men/65.jpg,https://randomuser.me/api/portraits/med/men/65.jpg,https://randomuser.me/api/portraits/thumb/men/65.jpg,US
female,Miss,Marilyn,Lynch,2156,Marsh Ln,Irving,South Carolina,United States,62071,23.4006,-3.1947,-10:00,Hawaii,marilyn.lynch@example.com,1949-06-04T08:50:49.591Z,72,2010-10-04T23:21:25.382Z,11,(068)-890-9306,(353)-972-9302,SSN,751-07-2254,https://randomuser.me/api/portraits/women/51.jpg,https://randomuser.me/api/portraits/med/women/51.jpg,https://randomuser.me/api/portraits/thumb/women/51.jpg,US
male,Mr,Brent,Bryant,1820,Marsh Ln,Fairfield,Tennessee,United States,10402,53.3121,-20.6528,-9:00,Alaska,brent.bryant@example.com,1990-08-24T23:12:47.211Z,31,2019-01-05T11:26:18.758Z,2,(642)-146-0572,(518)-188-2671,SSN,009-71-5781,https://randomuser.me/api/portraits/men/58.jpg,https://randomuser.me/api/portraits/med/men/58.jpg,https://randomuser.me/api/portraits/thumb/men/58.jpg,US
male,Mr,Darrell,May,2894,Homestead Rd,Vancouver,Rhode Island,United States,23796,47.0684,-115.7802,-2:00,Mid-Atlantic,darrell.may@example.com,1993-11-04T15:00:04.464Z,28,2014-09-03T12:26:07.211Z,7,(269)-864-0868,(374)-028-4519,SSN,476-03-8237,https://randomuser.me/api/portraits/men/3.jpg,https://randomuser.me/api/portraits/med/men/3.jpg,https://randomuser.me/api/portraits/thumb/men/3.jpg,US
