gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Miss,Teresa,Duncan,5134,Walnut Hill Ln,Cleveland,Colorado,United States,14449,-7.8596,8.2624,-2:00,Mid-Atlantic,teresa.duncan@example.com,1963-07-07T22:52:36.409Z,58,2014-05-15T05:23:17.674Z,7,(300)-910-3807,(729)-648-6223,SSN,581-89-5481,https://randomuser.me/api/portraits/women/78.jpg,https://randomuser.me/api/portraits/med/women/78.jpg,https://randomuser.me/api/portraits/thumb/women/78.jpg,US
female,Miss,Katrina,Foster,215,Woodland St,Milwaukee,North Dakota,United States,92725,69.4044,-147.0536,+3:30,Tehran,katrina.foster@example.com,1954-11-29T09:00:43.770Z,67,2011-08-13T01:50:26.303Z,10,(528)-254-9746,(890)-454-6649,SSN,935-34-4302,https://randomuser.me/api/portraits/women/50.jpg,https://randomuser.me/api/portraits/med/women/50.jpg,https://randomuser.me/api/portraits/thumb/women/50.jpg,US
male,Mr,Luke,Mills,5114,E Little York Rd,Coppell,Texas,United States,86852,-19.9439,87.0999,-8:00,Pacific Time (US & Canada),luke.mills@example.com,1997-07-16T08:39:08.481Z,24,2007-08-11T22:19:38.766Z,14,(004)-676-6001,(226)-975-5028,SSN,874-27-2528,https://randomuser.me/api/portraits/men/93.jpg,https://randomuser.me/api/portraits/med/men/93.jpg,https://randomuser.me/api/portraits/thumb/men/93.jpg,US
male,Mr,Ryan,Brewer,9262,Fairview St,Fullerton,New Hampshire,United States,79340,85.9775,-69.1643,-3:30,Newfoundland,ryan.brewer@example.com,1952-03-04T21:26:59.811Z,69,2012-05-23T12:42:43.014Z,9,(321)-536-0524,(347)-407-2258,SSN,754-08-0337,https://randomuser.me/api/portraits/men/87.jpg,https://randomuser.me/api/portraits/med/men/87.jpg,https://randomuser.me/api/portraits/thumb/men/87.jpg,US
male,Mr,Norman,Carr,1061,E North St,El Paso,Maryland,United States,12722,36.8205,21.5169,-7:00,Mountain Time (US & Canada),norman.carr@example.com,1969-04-23T01:47:19.584Z,52,2012-08-14T09:47:55.537Z,9,(119)-960-5333,(595)-608-4881,SSN,514-98-0151,https://randomuser.me/api/portraits/men/57.jpg,https://randomuser.me/api/portraits/med/men/57.jpg,https://randomuser.me/api/portraits/thumb/men/57.jpg,US
male,Mr,Marshall,Young,9238,Samaritan Dr,Wichita,Missouri,United States,49978,8.9465,61.3280,-10:00,Hawaii,marshall.young@example.com,1986-08-30T22:25:43.080Z,35,2012-03-29T13:46:23.965Z,9,(128)-092-1810,(547)-325-6642,SSN,435-66-7809,https://randomuser.me/api/portraits/men/88.jpg,https://randomuser.me/api/portraits/med/men/88.jpg,https://randomuser.me/api/portraits/thumb/men/88.jpg,US
male,Mr,Shane,Smith,3043,Hamilton Ave,College Station,Michigan,United States,90489,-56.9629,141.1856,-9:00,Alaska,shane.smith@example.com,1960-04-19T15:41:08.439Z,61,2011-10-22T06:56:28.445Z,10,(962)-553-8257,(043)-455-0003,SSN,690-86-1628,https://randomuser.me/api/portraits/men/15.jpg,https://randomuser.me/api/portraits/med/men/15.jpg,https://randomuser.me/api/portraits/thumb/men/15.jpg,US
female,Miss,Peyton,Howard,1290,Groveland Terrace,Newport News,South Dakota,United States,13319,76.2993,86.1317,-10:00,Hawaii,peyton.howard@example.com,1975-09-24T12:03:19.944Z,46,2014-05-27T15:28:31.705Z,7,(608)-572-8169,(901)-984-1061,SSN,855-28-6656,https://randomuser.me/api/portraits/women/86.jpg,https://randomuser.me/api/portraits/med/women/86.jpg,https://randomuser.me/api/portraits/thumb/women/86.jpg,US
female,Mrs,Scarlett,Lane,8678,Nowlin Rd,Grapevine,Virginia,United States,16106,-58.9184,-150.8449,-8:00,Pacific Time (US & Canada),scarlett.lane@example.com,1970-02-18T22:35:27.845Z,51,2005-08-21T05:55:37.635Z,16,(465)-418-8941,(136)-799-9130,SSN,834-82-0151,https://randomuser.me/api/portraits/women/48.jpg,https://randomuser.me/api/portraits/med/women/48.jpg,https://randomuser.me/api/portraits/thumb/women/48.jpg,US
female,Mrs,Anna,Dixon,5304,Elgin St,Rochester,Maryland,United States,97854,83.6858,-38.7487,+4:30,Kabul,anna.dixon@example.com,1981-06-16T01:04:51.203Z,40,2010-02-20T17:45:30.378Z,11,(239)-023-6773,(263)-025-5355,SSN,526-83-9371,https://randomuser.me/api/portraits/women/60.jpg,https://randomuser.me/api/portraits/med/women/60.jpg,https://randomuser.me/api/portraits/thumb/women/60.jpg,US
male,Mr,Leon,Snyder,176,Westheimer Rd,Colorado Springs,Wyoming,United States,37384,-16.9184,65.6979,-2:00,Mid-Atlantic,leon.snyder@example.com,1974-06-24T20:05:23.662Z,47,2008-05-17T06:08:22.935Z,13,(072)-556-8275,(171)-680-0128,SSN,897-06-3627,https://randomuser.me/api/portraits/men/96.jpg,https://randomuser.me/api/portraits/med/men/96.jpg,https://randomuser.me/api/portraits/thumb/men/96.jpg,US
male,Mr,Jamie,Nguyen,2972,Preston Rd,Portland,Indiana,United States,42451,19.0642,-60.9634,+4:30,Kabul,jamie.nguyen@example.com,1979-02-04T20:55:29.129Z,42,2007-12-31T23:53:26.692Z,14,(398)-515-6233,(595)-141-1182,SSN,947-87-4901,https://randomuser.me/api/portraits/men/61.jpg,https://randomuser.me/api/portraits/med/men/61.jpg,https://randomuser.me/api/portraits/thumb/men/61.jpg,US
male,Mr,Mitchell,Simpson,2115,Poplar Dr,Billings,New Hampshire,United States,66071,-70.3116,-68.2162,-2:00,Mid-Atlantic,mitchell.simpson@example.com,1992-09-22T18:43:18.878Z,29,2007-06-10T19:09:06.714Z,14,(794)-272-3827,(629)-447-6927,SSN,704-26-7953,https://randomuser.me/api/portraits/men/32.jpg,https://randomuser.me/api/portraits/med/men/32.jpg,https://randomuser.me/api/portraits/thumb/men/32.jpg,US
male,Mr,Justin,Rodriquez,2819,Sunset St,Cincinnati,Missouri,United States,99856,34.5989,72.0677,+3:30,Tehran,justin.rodriquez@example.com,1975-04-11T21:27:34.724Z,46,2014-01-03T18:23:55.270Z,7,(823)-311-0032,(205)-790-6234,SSN,906-09-9772,https://randomuser.me/api/portraits/men/27.jpg,https://randomuser.me/api/portraits/med/men/27.jpg,https://randomuser.me/api/portraits/thumb/men/27.jpg,US
female,Mrs,Ethel,Lucas,8954,Sunset St,Hayward,Wyoming,United States,53499,-4.2568,22.6348,-8:00,Pacific Time (US & Canada),ethel.lucas@example.com,1974-03-21T10:57:10.643Z,47,2014-08-01T13:16:21.272Z,7,(348)-193-3816,(565)-674-1785,SSN,044-03-5055,https://randomuser.me/api/portraits/women/3.jpg,https://randomuser.me/api/portraits/med/women/3.jpg,https://randomuser.me/api/portraits/thumb/women/3.jpg,US
