gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Miss,Vanessa,Olson,3224,Camden Ave,Broken Arrow,Idaho,United States,70294,-76.7365,-156.6521,+3:30,Tehran,vanessa.olson@example.com,1944-11-24T10:16:02.126Z,77,2018-02-03T03:22:01.439Z,3,(450)-297-2068,(017)-594-0613,SSN,837-86-3817,https://randomuser.me/api/portraits/women/59.jpg,https://randomuser.me/api/portraits/med/women/59.jpg,https://randomuser.me/api/portraits/thumb/women/59.jpg,US
male,Mr,Terrence,Kennedy,4213,Forest Ln,Denton,Montana,United States,49590,10.1189,155.4476,-9:00,Alaska,terrence.kennedy@example.com,1950-11-14T13:32:42.675Z,71,2010-09-18T09:43:32.837Z,11,(291)-448-8850,(257)-981-2916,SSN,648-26-5711,https://randomuser.me/api/portraits/men/13.jpg,https://randomuser.me/api/portraits/med/men/13.jpg,https://randomuser.me/api/portraits/thumb/men/13.jpg,US
female,Miss,Vanessa,Thomas,3486,Forest Ln,Broken Arrow,Arizona,United States,10813,-7.1476,101.3418,-10:00,Hawaii,vanessa.thomas@example.com,1973-12-28T04:09:38.051Z,48,2007-08-19T22:47:30.958Z,14,(426)-233-6704,(485)-449-5227,SSN,233-95-9788,https://randomuser.me/api/portraits/women/76.jpg,https://randomuser.me/api/portraits/med/women/76.jpg,https://randomuser.me/api/portraits/thumb/women/76.jpg,US
female,Mrs,Alma,Wells,8443,Nowlin Rd,Escondido,Massachusetts,United States,47663,-79.0976,23.1970,+3:30,Tehran,alma.wells@example.com,1986-03-15T17:37:31.327Z,35,2017-05-18T12:01:00.192Z,4,(934)-539-1619,(926)-338-5972,SSN,063-49-8612,https://randomuser.me/api/portraits/women/14.jpg,https://randomuser.me/api/portraits/med/women/14.jpg,https://randomuser.me/api/portraits/thumb/women/14.jpg,US
male,Mr,Todd,Mendoza,7767,Taylor St,Sioux Falls,New York,United States,43487,56.3374,58.5733,-7:00,Mountain Time (US & Canada),todd.mendoza@example.com,1989-11-06T23:19:46.324Z,32,2007-07-29T15:15:54.563Z,14,(434)-065-2095,(501)-530-1421,SSN,815-57-5649,https://randomuser.me/api/portraits/men/54.jpg,https://randomuser.me/api/portraits/med/men/54.jpg,https://randomuser.me/api/portraits/thumb/men/54.jpg,US
male,Mr,Joel,Simmmons,2732,Hickory Creek Dr,Kansas City,New York,United States,41542,-2.6917,-132.5158,-10:00,Hawaii,joel.simmmons@example.com,1995-06-07T18:59:56.449Z,26,2009-03-01T00:21:50.501Z,12,(969)-785-9473,(158)-441-7944,SSN,412-05-3837,https://randomuser.me/api/portraits/men/59.jpg,https://randomuser.me/api/portraits/med/men/59.jpg,https://randomuser.me/api/portraits/thumb/men/59.jpg,US
female,Ms,Wanda,Carroll,3401,Groveland Terrace,Coral Springs,South Carolina,United States,23615,-62.8592,151.4953,+4:30,Kabul,wanda.carroll@example.com,1956-10-30T07:30:26.259Z,65,2009-03-06T06:02:32.741Z,12,(237)-886-4918,(816)-426-6730,SSN,201-14-0513,https://randomuser.me/api/portraits/women/51.jpg,https://randomuser.me/api/portraits/med/women/51.jpg,https://randomuser.me/api/portraits/thumb/women/51.jpg,US
male,Mr,Ralph,West,2225,Plum St,Forney,Texas,United States,63131,-1.5093,44.3196,-8:00,Pacific Time (US & Canada),ralph.west@example.com,1946-09-01T13:03:43.741Z,75,2015-12-20T08:05:59.350Z,6,(721)-916-7598,(398)-010-1715,SSN,937-36-8154,https://randomuser.me/api/portraits/men/32.jpg,https://randomuser.me/api/portraits/med/men/32.jpg,https://randomuser.me/api/portraits/thumb/men/32.jpg,US
male,Mr,Devon,Davidson,1311,W Dallas St,Princeton,Connecticut,United States,19658,12.0120,-112.4526,-2:00,Mid-Atlantic,devon.davidson@example.com,1974-05-14T15:35:08.460Z,47,2016-12-07T21:52:55.378Z,5,(434)-818-1676,(165)-528-9808,SSN,321-70-5445,https://randomuser.me/api/portraits/men/39.jpg,https://randomuser.me/api/portraits/med/men/39.jpg,https://randomuser.me/api/portraits/thumb/men/39.jpg,US
female,Miss,Bessie,Phillips,751,Spring St,Iowa Park,Vermont,United States,27417,-42.2324,61.2748,+5:45,Kathmandu,bessie.phillips@example.com,1948-10-17T06:44:05.733Z,73,2011-11-27T07:43:38.024Z,10,(117)-730-0664,(039)-704-2501,SSN,385-41-4549,https://randomuser.me/api/portraits/women/9.jpg,https://randomuser.me/api/portraits/med/women/9.jpg,https://randomuser.me/api/portraits/thumb/women/9.jpg,US
