gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,John,Watkins,2285,Ranchview Dr,El Monte,Tennessee,United States,48067,-51.3173,-116.7879,-7:00,Mountain Time (US & Canada),john.watkins@example.com,1986-03-30T13:13:18.593Z,35,2018-12-25T01:58:06.179Z,3,(405)-923-4275,(207)-606-5038,SSN,567-24-9102,https://randomuser.me/api/portraits/men/23.jpg,https://randomuser.me/api/portraits/med/men/23.jpg,https://randomuser.me/api/portraits/thumb/men/23.jpg,US
female,Mrs,Sandra,Sullivan,8453,Spring Hill Rd,Nashville,Rhode Island,United States,44376,-41.4641,-86.3767,-8:00,Pacific Time (US & Canada),sandra.sullivan@example.com,1988-12-04T09:20:21.246Z,33,2002-06-07T05:42:56.607Z,19,(651)-049-8488,(194)-725-2080,SSN,676-16-2943,https://randomuser.me/api/portraits/women/85.jpg,https://randomuser.me/api/portraits/med/women/85.jpg,https://randomuser.me/api/portraits/thumb/women/85.jpg,US
female,Mrs,Phyllis,Edwards,516,Plum St,Columbia,Delaware,United States,43149,-13.0886,43.0714,+5:45,Kathmandu,phyllis.edwards@example.com,1973-06-26T13:09:46.340Z,48,2017-05-01T04:00:20.173Z,4,(977)-320-9165,(352)-396-4478,SSN,289-32-6947,https://randomuser.me/api/portraits/women/24.jpg,https://randomuser.me/api/portraits/med/women/24.jpg,https://randomuser.me/api/portraits/thumb/women/24.jpg,US
female,Miss,Colleen,Holmes,4261,Fairview St,Pueblo,Rhode Island,United States,80725,57.3187,-175.6104,-3:30,Newfoundland,colleen.holmes@example.com,1983-11-05T18:38:13.380Z,38,2013-03-23T11:17:09.853Z,8,(575)-028-4162,(998)-712-9262,SSN,175-68-7638,https://randomuser.me/api/portraits/women/25.jpg,https://randomuser.me/api/portraits/med/women/25.jpg,https://randomuser.me/api/portraits/thumb/women/25.jpg,US
female,Miss,Sharlene,Russell,110,Forest Ln,Lansing,Virginia,United States,70716,5.3008,99.1504,-3:30,Newfoundland,sharlene.russell@example.com,1971-10-27T00:40:19.878Z,50,2012-01-27T15:13:01.974Z,9,(597)-655-3357,(418)-169-5323,SSN,179-84-1370,https://randomuser.me/api/portraits/women/1.jpg,https://randomuser.me/api/portraits/med/women/1.jpg,https://randomuser.me/api/portraits/thumb/women/1.jpg,US
female,Ms,Lorraine,Arnold,9856,Preston Rd,Jacksonville,Oklahoma,United States,13739,47.0636,142.6399,-10:00,Hawaii,lorraine.arnold@example.com,1978-12-26T05:06:16.035Z,43,2003-05-13T06:33:53.240Z,18,(616)-484-8555,(099)-669-1318,SSN,942-88-5237,https://randomuser.me/api/portraits/women/35.jpg,https://randomuser.me/api/portraits/med/women/35.jpg,https://randomuser.me/api/portraits/thumb/women/35.jpg,US
female,Miss,Terry,Fisher,1334,Stevens Creek Blvd,Los Angeles,New Jersey,United States,90886,-28.3870,-5.7741,+5:45,Kathmandu,terry.fisher@example.com,1981-07-06T05:10:55.643Z,40,2003-08-13T11:55:05.860Z,18,(572)-463-5602,(323)-876-3015,SSN,846-34-6944,https://randomuser.me/api/portraits/women/54.jpg,https://randomuser.me/api/portraits/med/women/54.jpg,https://randomuser.me/api/portraits/thumb/women/54.jpg,US
male,Mr,Jar,Hughes,2839,Homestead Rd,Milwaukee,Maryland,United States,21149,-5.0113,80.2311,-9:00,Alaska,jar.hughes@example.com,1946-08-17T12:54:20.264Z,75,2019-03-25T08:41:13.906Z,2,(842)-313-3048,(799)-277-7410,SSN,371-82-5829,https://randomuser.me/api/portraits/men/43.jpg,https://randomuser.me/api/portraits/med/men/43.jpg,https://randomuser.me/api/portraits/thumb/men/43.jpg,US
female,Miss,Crystal,Burke,3208,E Pecan St,Seattle,Florida,United States,78386,70.0541,-3.9812,-8:00,Pacific Time (US & Canada),crystal.burke@example.com,1947-10-02T21:12:44.151Z,74,2011-07-04T09:52:00.042Z,10,(192)-988-3568,(361)-705-3105,SSN,472-20-8489,https://randomuser.me/api/portraits/women/73.jpg,https://randomuser.me/api/portraits/med/women/73.jpg,https://randomuser.me/api/portraits/thumb/women/73.jpg,US
female,Ms,Leslie,Phillips,9893,Dogwood Ave,Stanley,Arizona,United States,99121,-0.2640,85.9608,+5:45,Kathmandu,leslie.phillips@example.com,1991-09-10T17:03:50.985Z,30,2016-11-19T12:28:59.912Z,5,(610)-862-9412,(724)-266-5624,SSN,309-65-4718,https://randomuser.me/api/portraits/women/14.jpg,https://randomuser.me/api/portraits/med/women/14.jpg,https://randomuser.me/api/portraits/thumb/women/14.jpg,US
female,Mrs,Melanie,Richards,7499,Spring St,El Paso,Kansas,United States,14798,-85.8089,-127.7138,-9:00,Alaska,melanie.richards@example.com,1985-03-18T17:07:06.827Z,36,2011-12-25T02:43:10.662Z,10,(128)-134-7314,(598)-379-9647,SSN,641-87-7498,https://randomuser.me/api/portraits/women/30.jpg,https://randomuser.me/api/portraits/med/women/30.jpg,https://randomuser.me/api/portraits/thumb/women/30.jpg,US
male,Mr,Tony,Miller,2219,Lovers Ln,Norman,Arkansas,United States,53592,18.9742,116.9145,-3:30,Newfoundland,tony.miller@example.com,1983-07-10T06:32:08.002Z,38,2007-01-20T15:30:59.836Z,14,(436)-401-0348,(843)-665-2107,SSN,805-12-2883,https://randomuser.me/api/portraits/men/41.jpg,https://randomuser.me/api/portraits/med/men/41.jpg,https://randomuser.me/api/portraits/thumb/men/41.jpg,US
male,Mr,Don,Price,999,E Center St,Riverside,New York,United States,70846,-59.6908,113.4704,+4:30,Kabul,don.price@example.com,1985-01-12T00:33:27.260Z,36,2002-04-13T22:06:57.322Z,19,(165)-625-4234,(985)-807-2811,SSN,727-38-4059,https://randomuser.me/api/portraits/men/17.jpg,https://randomuser.me/api/portraits/med/men/17.jpg,https://randomuser.me/api/portraits/thumb/men/17.jpg,US
