gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Dave,Lambert,9159,Eason Rd,Oklahoma City,New Jersey,United States,20776,-33.6711,-19.2251,+3:30,Tehran,dave.lambert@example.com,1984-02-08T10:29:54.796Z,37,2013-08-19T03:29:00.290Z,8,(252)-801-9025,(823)-142-5365,SSN,856-53-4529,https://randomuser.me/api/portraits/men/25.jpg,https://randomuser.me/api/portraits/med/men/25.jpg,https://randomuser.me/api/portraits/thumb/men/25.jpg,US
female,Mrs,Rosa,Allen,7052,Dane St,Warren,Washington,United States,90659,-65.0398,165.9369,-7:00,Mountain Time (US & Canada),rosa.allen@example.com,1987-06-05T01:01:27.896Z,34,2015-03-15T02:44:11.015Z,6,(339)-084-3688,(585)-456-7352,SSN,653-02-6657,https://randomuser.me/api/portraits/women/81.jpg,https://randomuser.me/api/portraits/med/women/81.jpg,https://randomuser.me/api/portraits/thumb/women/81.jpg,US
male,Mr,Gene,Martin,6217,Avondale Ave,Hollywood,Pennsylvania,United States,43253,-79.7520,-75.2321,+3:30,Tehran,gene.martin@example.com,1985-11-19T09:49:11.270Z,36,2015-07-28T18:36:10.115Z,6,(750)-416-6646,(027)-244-4289,SSN,422-31-6704,https://randomuser.me/api/portraits/men/85.jpg,https://randomuser.me/api/portraits/med/men/85.jpg,https://randomuser.me/api/portraits/thumb/men/85.jpg,US
male,Mr,Harry,Fernandez,2330,Robinson Rd,Greensboro,West Virginia,United States,97592,-34.6809,163.8469,-7:00,Mountain Time (US & Canada),harry.fernandez@example.com,1971-04-09T10:07:46.620Z,50,2010-07-22T18:37:23.444Z,11,(542)-450-3253,(439)-008-8572,SSN,209-13-6805,https://randomuser.me/api/portraits/men/66.jpg,https://randomuser.me/api/portraits/med/men/66.jpg,https://randomuser.me/api/portraits/thumb/men/66.jpg,US
female,Miss,Tracy,Johnston,7964,Fairview St,Tucson,New Jersey,United States,77404,-60.9287,126.5805,+5:45,Kathmandu,tracy.johnston@example.com,1989-02-28T01:56:59.469Z,32,2007-05-20T23:05:10.541Z,14,(677)-902-7888,(833)-219-1444,SSN,393-22-6016,https://randomuser.me/api/portraits/women/23.jpg,https://randomuser.me/api/portraits/med/women/23.jpg,https://randomuser.me/api/portraits/thumb/women/23.jpg,US
female,Miss,Alexa,Burns,7284,Valley View Ln,Tulsa,Colorado,United States,73513,-42.0200,-120.0528,-8:00,Pacific Time (US & Canada),alexa.burns@example.com,1969-11-28T20:14:36.636Z,52,2015-07-25T22:11:54.056Z,6,(220)-283-9649,(744)-517-5702,SSN,234-18-0091,https://randomuser.me/api/portraits/women/7.jpg,https://randomuser.me/api/portraits/med/women/7.jpg,https://randomuser.me/api/portraits/thumb/women/7.jpg,US
male,Mr,Hector,Newman,3335,Depaul Dr,Tampa,Nevada,United States,75105,-58.8830,73.8821,-2:00,Mid-Atlantic,hector.newman@example.com,1970-04-13T16:28:58.132Z,51,2003-08-28T04:27:57.020Z,18,(447)-582-3116,(318)-759-7526,SSN,559-68-4579,https://randomuser.me/api/portraits/men/76.jpg,https://randomuser.me/api/portraits/med/men/76.jpg,https://randomuser.me/api/portraits/thumb/men/76.jpg,US
female,Ms,Charlene,Ruiz,9542,Lakeshore Rd,Nashville,Illinois,United States,63186,-21.4625,91.3180,-3:30,Newfoundland,charlene.ruiz@example.com,1975-05-28T13:19:09.020Z,46,2018-07-28T03:50:39.038Z,3,(096)-023-5753,(257)-058-7121,SSN,810-84-0268,https://randomuser.me/api/portraits/women/65.jpg,https://randomuser.me/api/portraits/med/women/65.jpg,https://randomuser.me/api/portraits/thumb/women/65.jpg,US
female,Miss,Phyllis,Chambers,2110,Lakeview St,Sunnyvale,Iowa,United States,27146,-50.6832,-132.7135,-9:00,Alaska,phyllis.chambers@example.com,1986-01-27T22:15:44.372Z,35,2016-01-11T08:37:30.263Z,5,(859)-372-4978,(162)-901-8489,SSN,196-97-1488,https://randomuser.me/api/portraits/women/82.jpg,https://randomuser.me/api/portraits/med/women/82.jpg,https://randomuser.me/api/portraits/thumb/women/82.jpg,US
male,Mr,Austin,Little,9118,Oak Ridge Ln,Nampa,Florida,United States,73522,8.1801,80.4225,+5:45,Kathmandu,austin.little@example.com,1974-08-23T11:23:46.490Z,47,2019-09-16T00:33:47.131Z,2,(270)-294-8686,(750)-648-4828,SSN,683-36-1629,https://randomuser.me/api/portraits/men/66.jpg,https://randomuser.me/api/portraits/med/men/66.jpg,https://randomuser.me/api/portraits/thumb/men/66.jpg,US
