gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Dale,Kelley,4098,W Campbell Ave,Victorville,Colorado,United States,89188,84.3125,-28.4592,-9:00,Alaska,dale.kelley@example.com,1984-12-05T08:31:39.784Z,37,2010-10-20T11:52:59.209Z,11,(166)-091-5080,(852)-175-8143,SSN,728-00-3855,https://randomuser.me/api/portraits/men/88.jpg,https://randomuser.me/api/portraits/med/men/88.jpg,https://randomuser.me/api/portraits/thumb/men/88.jpg,US
male,Mr,Cecil,Marshall,9123,Dogwood Ave,Birmingham,West Virginia,United States,53372,-79.7538,-20.5670,+4:30,Kabul,cecil.marshall@example.com,1986-11-15T07:29:23.387Z,35,2018-01-17T08:31:58.454Z,3,(049)-916-9974,(166)-022-8713,SSN,808-87-3178,https://randomuser.me/api/portraits/men/40.jpg,https://randomuser.me/api/portraits/med/men/40.jpg,https://randomuser.me/api/portraits/thumb/men/40.jpg,US
male,Mr,Cory,Ferguson,4896,Saddle Dr,Stamford,Missouri,United States,11814,28.3269,60.6207,-9:00,Alaska,cory.ferguson@example.com,1990-11-08T12:28:12.272Z,31,2008-01-26T12:52:44.924Z,13,(307)-636-6600,(861)-276-1577,SSN,712-49-7009,https://randomuser.me/api/portraits/men/9.jpg,https://randomuser.me/api/portraits/med/men/9.jpg,https://randomuser.me/api/portraits/thumb/men/9.jpg,US
female,Mrs,Lena,Alexander,6685,Daisy Dr,Lewiston,Nevada,United States,17288,6.6129,63.4122,+5:45,Kathmandu,lena.alexander@example.com,1947-09-03T21:11:02.863Z,74,2016-09-29T21:05:49.317Z,5,(776)-861-7379,(742)-339-9165,SSN,648-95-0965,https://randomuser.me/api/portraits/women/92.jpg,https://randomuser.me/api/portraits/med/women/92.jpg,https://randomuser.me/api/portraits/thumb/women/92.jpg,US
female,Mrs,Amelia,Ward,3606,Bollinger Rd,New York,Minnesota,United States,97144,50.0406,82.3343,-3:30,Newfoundland,amelia.ward@example.com,1957-08-01T04:32:38.354Z,64,2014-11-14T13:31:04.471Z,7,(903)-146-6494,(084)-546-4837,SSN,551-71-0530,https://randomuser.me/api/portraits/women/73.jpg,https://randomuser.me/api/portraits/med/women/73.jpg,https://randomuser.me/api/portraits/thumb/women/73.jpg,US
female,Ms,Marjorie,Gilbert,912,Westheimer Rd,Ontario,Utah,United States,25679,69.1071,97.1857,+3:30,Tehran,marjorie.gilbert@example.com,1955-02-10T20:41:06.584Z,66,2004-11-14T06:40:59.856Z,17,(862)-099-0902,(879)-548-9755,SSN,201-84-9055,https://randomuser.me/api/portraits/women/72.jpg,https://randomuser.me/api/portraits/med/women/72.jpg,https://randomuser.me/api/portraits/thumb/women/72.jpg,US
female,Mrs,Minnie,Howell,1622,Dogwood Ave,Rancho Cucamonga,Wisconsin,United States,81200,-73.3808,106.0793,-3:30,Newfoundland,minnie.howell@example.com,1950-06-24T22:06:09.359Z,71,2017-08-23T20:46:06.843Z,4,(187)-705-1547,(052)-694-2852,SSN,356-71-6961,https://randomuser.me/api/portraits/women/23.jpg,https://randomuser.me/api/portraits/med/women/23.jpg,https://randomuser.me/api/portraits/thumb/women/23.jpg,US
female,Ms,Chloe,Olson,4478,Depaul Dr,Waxahachie,Maine,United States,89799,36.6306,-59.5434,+5:45,Kathmandu,chloe.olson@example.com,1945-01-21T16:48:56.538Z,76,2013-02-13T19:38:26.406Z,8,(452)-475-9154,(830)-526-8598,SSN,127-00-0534,https://randomuser.me/api/portraits/women/82.jpg,https://randomuser.me/api/portraits/med/women/82.jpg,https://randomuser.me/api/portraits/thumb/women/82.jpg,US
female,Miss,Bonnie,Reyes,7547,Mockingbird Hill,Paterson,Florida,United States,22493,-18.4133,86.3403,+4:30,Kabul,bonnie.reyes@example.com,1966-07-19T21:10:28.939Z,55,2017-06-16T22:55:16.261Z,4,(254)-837-7284,(289)-051-5035,SSN,647-21-4783,https://randomuser.me/api/portraits/women/11.jpg,https://randomuser.me/api/portraits/med/women/11.jpg,https://randomuser.me/api/portraits/thumb/women/11.jpg,US
male,Mr,Christopher,Chapman,1193,Hickory Creek Dr,Grapevine,New Jersey,United States,52834,55.3954,-26.1303,+3:30,Tehran,christopher.chapman@example.com,1986-08-21T18:49:26.578Z,35,2003-03-03T20:58:09.171Z,18,(910)-086-8349,(292)-918-7122,SSN,495-89-8959,https://randomuser.me/api/portraits/men/89.jpg,https://randomuser.me/api/portraits/med/men/89.jpg,https://randomuser.me/api/portraits/thumb/men/89.jpg,US
