gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Robert,Carr,5471,Royal Ln,Temecula,West Virginia,United States,87442,68.6206,-77.4348,+5:45,Kathmandu,robert.carr@example.com,1985-08-05T20:20:31.555Z,36,2004-06-28T05:26:50.207Z,17,(474)-756-8407,(052)-514-5858,SSN,537-18-2741,https://randomuser.me/api/portraits/men/42.jpg,https://randomuser.me/api/portraits/med/men/42.jpg,https://randomuser.me/api/portraits/thumb/men/42.jpg,US
female,Ms,Catherine,Carr,2471,Brown Terrace,Lafayette,California,United States,43464,37.0750,70.4435,-7:00,Mountain Time (US & Canada),catherine.carr@example.com,1985-01-19T19:28:14.235Z,36,2004-01-11T09:44:32.663Z,17,(377)-714-6169,(526)-435-3697,SSN,083-91-3229,https://randomuser.me/api/portraits/women/78.jpg,https://randomuser.me/api/portraits/med/women/78.jpg,https://randomuser.me/api/portraits/thumb/women/78.jpg,US
male,Mr,Wyatt,Bates,6434,Royal Ln,Montgomery,Massachusetts,United States,45005,76.1250,-19.4784,-3:30,Newfoundland,wyatt.bates@example.com,1989-03-23T04:01:53.125Z,32,2006-09-18T02:08:32.549Z,15,(539)-317-3478,(725)-919-4110,SSN,069-49-0616,https://randomuser.me/api/portraits/men/35.jpg,https://randomuser.me/api/portraits/med/men/35.jpg,https://randomuser.me/api/portraits/thumb/men/35.jpg,US
female,Ms,Phyllis,Graves,1690,Plum St,Philadelphia,Virginia,United States,68546,12.5647,-141.0143,-8:00,Pacific Time (US & Canada),phyllis.graves@example.com,1946-09-09T02:00:22.572Z,75,2009-03-31T23:11:36.637Z,12,(038)-808-9986,(925)-866-0220,SSN,459-99-3447,https://randomuser.me/api/portraits/women/11.jpg,https://randomuser.me/api/portraits/med/women/11.jpg,https://randomuser.me/api/portraits/thumb/women/11.jpg,US
male,Mr,Pedro,Frazier,9293,Paddock Way,Tallahassee,Rhode Island,United States,89902,-31.0631,-9.5857,-8:00,Pacific Time (US & Canada),pedro.frazier@example.com,1969-06-10T09:43:41.643Z,52,2011-07-19T05:44:21.432Z,10,(963)-755-5037,(083)-021-4311,SSN,769-02-7938,https://randomuser.me/api/portraits/men/2.jpg,https://randomuser.me/api/portraits/med/men/2.jpg,https://randomuser.me/api/portraits/thumb/men/2.jpg,US
female,Miss,Arlene,Jensen,314,Thornridge Cir,Baton Rouge,Alaska,United States,59191,18.4320,-6.7806,+4:30,Kabul,arlene.jensen@example.com,1971-01-14T01:34:15.530Z,50,2019-09-09T17:17:51.944Z,2,(505)-603-5513,(395)-094-9146,SSN,789-12-0714,https://randomuser.me/api/portraits/women/37.jpg,https://randomuser.me/api/portraits/med/women/37.jpg,https://randomuser.me/api/portraits/thumb/women/37.jpg,US
male,Mr,Randall,Gordon,993,Mcgowen St,Aurora,Georgia,United States,27957,69.9631,-145.6962,+4:30,Kabul,randall.gordon@example.com,1990-02-28T10:25:50.524Z,31,2013-09-17T21:12:46.289Z,8,(944)-788-8512,(869)-426-4749,SSN,957-26-2031,https://randomuser.me/api/portraits/men/56.jpg,https://randomuser.me/api/portraits/med/men/56.jpg,https://randomuser.me/api/portraits/thumb/men/56.jpg,US
male,Mr,Luke,Foster,9724,Northaven Rd,Sterling Heights,Arizona,United States,98672,38.1911,8.9633,-7:00,Mountain Time (US & Canada),luke.foster@example.com,1947-10-08T06:47:57.492Z,74,2006-04-14T15:00:54.821Z,15,(281)-153-2791,(781)-347-6333,SSN,580-86-1471,https://randomuser.me/api/portraits/men/36.jpg,https://randomuser.me/api/portraits/med/men/36.jpg,https://randomuser.me/api/portraits/thumb/men/36.jpg,US
female,Mrs,Becky,Hunter,1362,First Street,Wichita Falls,Colorado,United States,15815,-18.2187,-1.6891,+5:45,Kathmandu,becky.hunter@example.com,1994-04-01T11:53:59.147Z,27,2004-02-17T01:37:26.977Z,17,(521)-186-4347,(493)-599-6859,SSN,634-07-4186,https://randomuser.me/api/portraits/women/80.jpg,https://randomuser.me/api/portraits/med/women/80.jpg,https://randomuser.me/api/portraits/thumb/women/80.jpg,US
male,Mr,Lee,Matthews,3762,Spring Hill Rd,Iowa Park,Wisconsin,United States,13148,50.3154,-64.7879,+5:45,Kathmandu,lee.matthews@example.com,1982-09-16T02:46:24.098Z,39,2004-07-23T20:59:21.716Z,17,(384)-984-9333,(325)-323-8349,SSN,988-45-8302,https://randomuser.me/api/portraits/men/24.jpg,https://randomuser.me/api/portraits/med/men/24.jpg,https://randomuser.me/api/portraits/thumb/men/24.jpg,US
