gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Jessie,Stewart,3006,W Sherman Dr,Jackson,Alaska,United States,21301,-33.1943,169.6585,-2:00,Mid-Atlantic,jessie.stewart@example.com,1990-02-01T16:37:30.704Z,31,2011-10-04T02:12:37.041Z,10,(789)-909-4751,(830)-922-3931,SSN,332-81-3344,https://randomuser.me/api/portraits/men/24.jpg,https://randomuser.me/api/portraits/med/men/24.jpg,https://randomuser.me/api/portraits/thumb/men/24.jpg,US
male,Mr,Jeremiah,Silva,533,Royal Ln,Beaumont,Oklahoma,United States,68884,-26.2990,-110.3940,+5:45,Kathmandu,jeremiah.silva@example.com,1952-11-12T00:51:33.031Z,69,2019-03-24T02:35:58.182Z,2,(031)-467-3867,(136)-291-5411,SSN,377-30-5213,https://randomuser.me/api/portraits/men/49.jpg,https://randomuser.me/api/portraits/med/men/49.jpg,https://randomuser.me/api/portraits/thumb/men/49.jpg,US
female,Mrs,Misty,Jordan,2186,Photinia Ave,Medford,Missouri,United States,84313,-34.5690,-66.4947,+4:30,Kabul,misty.jordan@example.com,1947-12-14T21:18:00.647Z,74,2016-04-28T15:48:59.330Z,5,(105)-827-6758,(464)-260-2407,SSN,261-56-7431,https://randomuser.me/api/portraits/women/96.jpg,https://randomuser.me/api/portraits/med/women/96.jpg,https://randomuser.me/api/portraits/thumb/women/96.jpg,US
female,Miss,Cassandra,King,789,Saddle Dr,San Antonio,California,United States,39190,88.1197,-42.2601,+3:30,Tehran,cassandra.king@example.com,1986-08-05T16:23:25.580Z,35,2004-07-19T21:42:07.603Z,17,(642)-879-0173,(043)-565-9984,SSN,351-91-2181,https://randomuser.me/api/portraits/women/1.jpg,https://randomuser.me/api/portraits/med/women/1.jpg,https://randomuser.me/api/portraits/thumb/women/1.jpg,US
female,Mrs,Jessica,Ford,5705,Robinson Rd,Elk Grove,Kansas,United States,27723,76.7899,-122.5576,-7:00,Mountain Time (US & Canada),jessica.ford@example.com,1991-05-12T09:41:58.942Z,30,2017-11-21T22:43:05.515Z,4,(440)-551-3499,(786)-848-9857,SSN,300-54-5119,https://randomuser.me/api/portraits/women/49.jpg,https://randomuser.me/api/portraits/med/women/49.jpg,https://randomuser.me/api/portraits/thumb/women/49.jpg,US
female,Miss,Marsha,Peters,2282,Shady Ln Dr,Garland,New Mexico,United States,89076,0.6374,30.7689,-3:30,Newfoundland,marsha.peters@example.com,1988-08-29T14:31:13.243Z,33,2009-06-28T08:22:21.928Z,12,(893)-140-7035,(195)-867-3270,SSN,572-56-4802,https://randomuser.me/api/portraits/women/71.jpg,https://randomuser.me/api/portraits/med/women/71.jpg,https://randomuser.me/api/portraits/thumb/women/71.jpg,US
female,Ms,Arianna,Lucas,2478,Washington Ave,Lubbock,Illinois,United States,30456,43.2031,-51.3233,-2:00,Mid-Atlantic,arianna.lucas@example.com,1969-08-09T00:05:45.435Z,52,2007-02-14T06:55:47.158Z,14,(858)-413-7390,(653)-621-6702,SSN,007-60-6799,https://randomuser.me/api/portraits/women/15.jpg,https://randomuser.me/api/portraits/med/women/15.jpg,https://randomuser.me/api/portraits/thumb/women/15.jpg,US
male,Mr,Francisco,Sanchez,4796,Ash Dr,Frisco,Alaska,United States,23907,26.1609,-162.8227,+5:45,Kathmandu,francisco.sanchez@example.com,1953-04-02T17:13:22.433Z,68,2012-09-14T18:11:09.152Z,9,(583)-841-3988,(629)-217-7482,SSN,669-28-9873,https://randomuser.me/api/portraits/men/66.jpg,https://randomuser.me/api/portraits/med/men/66.jpg,https://randomuser.me/api/portraits/thumb/men/66.jpg,US
female,Miss,Erika,Ortiz,9112,Frances Ct,Bridgeport,Texas,United States,32528,32.6248,147.9178,+3:30,Tehran,erika.ortiz@example.com,1948-10-06T22:40:27.703Z,73,2006-12-03T14:11:36.934Z,15,(772)-641-5166,(241)-557-7115,SSN,976-20-1095,https://randomuser.me/api/portraits/women/34.jpg,https://randomuser.me/api/portraits/med/women/34.jpg,https://randomuser.me/api/portraits/thumb/women/34.jpg,US
male,Mr,Thomas,Harper,842,E Sandy Lake Rd,Hartford,Maine,United States,79713,-83.3962,50.2835,-9:00,Alaska,thomas.harper@example.com,1960-10-30T10:04:23.540Z,61,2006-03-09T13:46:47.100Z,15,(927)-308-9655,(693)-609-5196,SSN,726-66-8399,https://randomuser.me/api/portraits/men/57.jpg,https://randomuser.me/api/portraits/med/men/57.jpg,https://randomuser.me/api/portraits/thumb/men/57.jpg,US
