gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Byron,Burke,363,Sunset St,Yonkers,Hawaii,United States,91710,36.5821,-132.3323,-2:00,Mid-Atlantic,byron.burke@example.com,1976-02-06T19:59:17.942Z,45,2009-09-26T11:38:43.004Z,12,(095)-241-9005,(375)-144-0476,SSN,489-58-5193,https://randomuser.me/api/portraits/men/90.jpg,https://randomuser.me/api/portraits/med/men/90.jpg,https://randomuser.me/api/portraits/thumb/men/90.jpg,US
male,Mr,Frank,Green,4560,Valley View Ln,Charlotte,Illinois,United States,34005,-76.6733,21.2906,+5:45,Kathmandu,frank.green@example.com,1955-01-08T13:54:09.233Z,66,2005-01-12T13:54:32.008Z,16,(918)-813-7692,(345)-328-2884,SSN,569-38-6391,https://randomuser.me/api/portraits/men/30.jpg,https://randomuser.me/api/portraits/med/men/30.jpg,https://randomuser.me/api/portraits/thumb/men/30.jpg,US
female,Ms,Kristen,Hamilton,2347,Sunset St,Chicago,New Jersey,United States,88581,-27.9155,-83.5025,-3:30,Newfoundland,kristen.hamilton@example.com,1975-04-05T06:00:12.418Z,46,2017-05-02T06:57:47.466Z,4,(624)-109-4314,(527)-505-5991,SSN,940-63-5926,https://randomuser.me/api/portraits/women/89.jpg,https://randomuser.me/api/portraits/med/women/89.jpg,https://randomuser.me/api/portraits/thumb/women/89.jpg,US
female,Ms,Tanya,Duncan,9574,Wycliff Ave,Oxnard,Louisiana,United States,26972,20.1533,88.9648,-3:30,Newfoundland,tanya.duncan@example.com,1950-03-30T21:46:58.597Z,71,2017-02-08T23:15:55.296Z,4,(221)-894-6542,(847)-853-3057,SSN,943-37-4132,https://randomuser.me/api/portraits/women/91.jpg,https://randomuser.me/api/portraits/med/women/91.jpg,https://randomuser.me/api/portraits/thumb/women/91.jpg,US
male,Mr,Angel,Mccoy,367,N Stelling Rd,West Palm Beach,Maine,United States,56813,-5.7893,139.7528,+5:45,Kathmandu,angel.mccoy@example.com,1953-10-09T23:00:55.752Z,68,2010-07-23T19:43:11.403Z,11,(130)-652-7551,(491)-644-3485,SSN,971-72-4378,https://randomuser.me/api/portraits/men/81.jpg,https://randomuser.me/api/portraits/med/men/81.jpg,https://randomuser.me/api/portraits/thumb/men/81.jpg,US
female,Ms,Cassandra,Ray,8067,Stevens Creek Blvd,Pearland,Hawaii,United States,55253,-9.2305,150.3866,+3:30,Tehran,cassandra.ray@example.com,1979-04-16T15:54:45.405Z,42,2013-01-18T06:40:01.488Z,8,(007)-958-6702,(234)-387-0945,SSN,996-80-4768,https://randomuser.me/api/portraits/women/8.jpg,https://randomuser.me/api/portraits/med/women/8.jpg,https://randomuser.me/api/portraits/thumb/women/8.jpg,US
female,Mrs,Jessie,Ross,2618,Homestead Rd,Rio Rancho,New York,United States,22254,76.5854,-7.8268,+3:30,Tehran,jessie.ross@example.com,1996-08-22T22:18:29.110Z,25,2018-06-11T13:15:17.029Z,3,(904)-639-9776,(355)-401-3713,SSN,428-87-0162,https://randomuser.me/api/portraits/women/61.jpg,https://randomuser.me/api/portraits/med/women/61.jpg,https://randomuser.me/api/portraits/thumb/women/61.jpg,US
male,Mr,Angel,Ford,6796,Shady Ln Dr,Savannah,Wisconsin,United States,55995,-71.9561,42.8409,-2:00,Mid-Atlantic,angel.ford@example.com,1965-09-21T21:47:26.787Z,56,2004-07-08T09:59:01.616Z,17,(308)-838-6562,(762)-057-2837,SSN,881-04-5218,https://randomuser.me/api/portraits/men/13.jpg,https://randomuser.me/api/portraits/med/men/13.jpg,https://randomuser.me/api/portraits/thumb/men/13.jpg,US
female,Mrs,Myrtle,Morrison,3461,Hunters Creek Dr,Huntington Beach,Maryland,United States,51607,85.3581,66.9139,-3:30,Newfoundland,myrtle.morrison@example.com,1998-06-02T18:13:59.532Z,23,2010-06-19T01:40:40.474Z,11,(613)-094-5325,(323)-100-4742,SSN,251-50-2710,https://randomuser.me/api/portraits/women/60.jpg,https://randomuser.me/api/portraits/med/women/60.jpg,https://randomuser.me/api/portraits/thumb/women/60.jpg,US
male,Mr,Philip,Byrd,3288,Oak Ridge Ln,Lousville,Ohio,United States,22029,-26.0616,85.1580,-7:00,Mountain Time (US & Canada),philip.byrd@example.com,1972-10-03T23:58:28.555Z,49,2012-01-04T04:51:50.131Z,9,(277)-595-0901,(449)-743-3143,SSN,885-07-4756,https://randomuser.me/api/portraits/men/7.jpg,https://randomuser.me/api/portraits/med/men/7.jpg,https://randomuser.me/api/portraits/thumb/men/7.jpg,US
