gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Miss,Hilda,Montgomery,4514,Cherry St,Lancaster,Tennessee,United States,35411,12.2069,145.6349,+5:45,Kathmandu,hilda.montgomery@example.com,1965-11-15T21:45:57.163Z,56,2017-12-15T16:52:20.662Z,4,(986)-258-0704,(076)-207-4245,SSN,225-03-5419,https://randomuser.me/api/portraits/women/84.jpg,https://randomuser.me/api/portraits/med/women/84.jpg,https://randomuser.me/api/portraits/thumb/women/84.jpg,US
male,Mr,Gerald,Castillo,4624,Westheimer Rd,Fairfield,Vermont,United States,87436,37.2294,-163.1096,+5:45,Kathmandu,gerald.castillo@example.com,1988-02-09T12:06:43.901Z,33,2016-01-23T05:38:05.173Z,5,(064)-120-8337,(696)-516-7702,SSN,090-41-8536,https://randomuser.me/api/portraits/men/97.jpg,https://randomuser.me/api/portraits/med/men/97.jpg,https://randomuser.me/api/portraits/thumb/men/97.jpg,US
female,Ms,Emily,Berry,6492,Sunset St,Miami,Missouri,United States,41102,1.2463,-19.2432,-2:00,Mid-Atlantic,emily.berry@example.com,1976-11-19T09:46:45.941Z,45,2005-06-18T13:06:33.039Z,16,(580)-566-1200,(459)-891-5642,SSN,927-32-1150,https://randomuser.me/api/portraits/women/39.jpg,https://randomuser.me/api/portraits/med/women/39.jpg,https://randomuser.me/api/portraits/thumb/women/39.jpg,US
female,Mrs,Eleanor,Porter,6340,Stevens Creek Blvd,Temecula,Arizona,United States,12543,17.0672,-46.3338,-9:00,Alaska,eleanor.porter@example.com,1958-08-11T04:24:50.886Z,63,2009-04-20T16:05:41.762Z,12,(340)-662-0726,(942)-535-7097,SSN,409-96-8227,https://randomuser.me/api/portraits/women/34.jpg,https://randomuser.me/api/portraits/med/women/34.jpg,https://randomuser.me/api/portraits/thumb/women/34.jpg,US
male,Mr,Alfred,Diaz,859,Bruce St,Edgewood,Texas,United States,37913,59.8168,-12.4006,-7:00,Mountain Time (US & Canada),alfred.diaz@example.com,1992-07-03T23:06:32.137Z,29,2007-11-16T08:42:31.453Z,14,(986)-847-9699,(283)-366-6434,SSN,454-45-3293,https://randomuser.me/api/portraits/men/51.jpg,https://randomuser.me/api/portraits/med/men/51.jpg,https://randomuser.me/api/portraits/thumb/men/51.jpg,US
male,Mr,Victor,Lewis,997,Lakeview St,Hollywood,Pennsylvania,United States,48443,-9.8903,-55.4283,-3:30,Newfoundland,victor.lewis@example.com,1973-10-19T07:31:32.610Z,48,2007-06-25T09:03:02.127Z,14,(119)-665-6311,(600)-642-9433,SSN,834-14-4560,https://randomuser.me/api/portraits/men/33.jpg,https://randomuser.me/api/portraits/med/men/33.jpg,https://randomuser.me/api/portraits/thumb/men/33.jpg,US
male,Mr,Steve,Jimenez,4599,W Campbell Ave,Lubbock,New Jersey,United States,25856,66.1114,-85.4980,-9:00,Alaska,steve.jimenez@example.com,1959-11-03T18:26:04.794Z,62,2017-05-31T10:10:24.013Z,4,(406)-276-8786,(927)-467-4942,SSN,744-83-9123,https://randomuser.me/api/portraits/men/57.jpg,https://randomuser.me/api/portraits/med/men/57.jpg,https://randomuser.me/api/portraits/thumb/men/57.jpg,US
female,Miss,Ashley,Schmidt,1139,Hamilton Ave,Cape Coral,Nebraska,United States,27914,-50.2178,121.8332,+4:30,Kabul,ashley.schmidt@example.com,1956-01-26T16:28:53.306Z,65,2004-06-11T02:36:25.569Z,17,(924)-700-5816,(872)-489-2151,SSN,168-47-7827,https://randomuser.me/api/portraits/women/45.jpg,https://randomuser.me/api/portraits/med/women/45.jpg,https://randomuser.me/api/portraits/thumb/women/45.jpg,US
male,Mr,Karl,Hunter,5996,Shady Ln Dr,Oxnard,Kentucky,United States,29827,-80.1349,160.4777,-8:00,Pacific Time (US & Canada),karl.hunter@example.com,1965-06-02T02:22:08.665Z,56,2018-03-22T03:31:56.434Z,3,(791)-232-6599,(516)-266-6828,SSN,418-28-8366,https://randomuser.me/api/portraits/men/61.jpg,https://randomuser.me/api/portraits/med/men/61.jpg,https://randomuser.me/api/portraits/thumb/men/61.jpg,US
female,Ms,Shelly,Young,8108,Bollinger Rd,Abilene,Vermont,United States,80271,-29.2758,99.3062,-7:00,Mountain Time (US & Canada),shelly.young@example.com,1978-06-03T11:27:41.794Z,43,2010-10-24T21:53:28.302Z,11,(548)-777-4956,(408)-149-0509,SSN,834-92-9910,https://randomuser.me/api/portraits/women/94.jpg,https://randomuser.me/api/portraits/med/women/94.jpg,https://randomuser.me/api/portraits/thumb/women/94.jpg,US
male,Mr,Bruce,Gonzales,8509,Frances Ct,Los Angeles,Florida,United States,25418,-42.0164,-69.3165,+3:30,Tehran,bruce.gonzales@example.com,1987-12-05T22:49:19.885Z,34,2016-12-28T02:21:11.199Z,5,(659)-995-1321,(555)-829-0009,SSN,188-40-0513,https://randomuser.me/api/portraits/men/36.jpg,https://randomuser.me/api/portraits/med/men/36.jpg,https://randomuser.me/api/portraits/thumb/men/36.jpg,US
female,Mrs,Jamie,Frazier,228,Brown Terrace,Sioux Falls,Wisconsin,United States,18243,0.8466,178.3430,-2:00,Mid-Atlantic,jamie.frazier@example.com,1957-04-17T23:54:52.846Z,64,2004-12-17T15:49:37.978Z,17,(612)-392-3379,(545)-768-4495,SSN,265-69-8260,https://randomuser.me/api/portraits/women/70.jpg,https://randomuser.me/api/portraits/med/women/70.jpg,https://randomuser.me/api/portraits/thumb/women/70.jpg,US
female,Mrs,Sharlene,Matthews,6997,Plum St,Forney,Vermont,United States,62352,-83.5364,-136.1867,-3:30,Newfoundland,sharlene.matthews@example.com,1978-11-12T11:49:01.087Z,43,2012-11-19T15:24:15.714Z,9,(625)-933-5789,(147)-871-9626,SSN,047-92-6937,https://randomuser.me/api/portraits/women/86.jpg,https://randomuser.me/api/portraits/med/women/86.jpg,https://randomuser.me/api/portraits/thumb/women/86.jpg,US
male,Mr,Larry,Torres,5878,Bruce St,Allentown,Kentucky,United States,24780,-63.2572,119.5528,-3:30,Newfoundland,larry.torres@example.com,1962-11-15T05:42:30.240Z,59,2007-10-18T13:25:32.905Z,14,(057)-954-5843,(181)-032-4899,SSN,551-06-3323,https://randomuser.me/api/portraits/men/76.jpg,https://randomuser.me/api/portraits/med/men/76.jpg,https://randomuser.me/api/portraits/thumb/men/76.jpg,US
female,Mrs,Kylie,Reynolds,7495,W Sherman Dr,Boston,Washington,United States,45318,38.6787,128.4452,-3:30,Newfoundland,kylie.reynolds@example.com,1961-05-01T14:21:40.459Z,60,2008-03-22T22:54:34.951Z,13,(938)-405-9750,(401)-966-0441,SSN,029-54-4901,https://randomuser.me/api/portraits/women/34.jpg,https://randomuser.me/api/portraits/med/women/34.jpg,https://randomuser.me/api/portraits/thumb/women/34.jpg,US
