gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Miss,Erica,Reid,2600,Smokey Ln,Addison,California,United States,85106,-14.2496,23.2516,+4:30,Kabul,erica.reid@example.com,1972-06-06T11:27:09.000Z,49,2010-10-02T08:09:47.047Z,11,(371)-204-4424,(412)-294-4196,SSN,965-40-8320,https://randomuser.me/api/portraits/women/13.jpg,https://randomuser.me/api/portraits/med/women/13.jpg,https://randomuser.me/api/portraits/thumb/women/13.jpg,US
female,Ms,Joan,Vasquez,5441,Forest Ln,Iowa Park,Alaska,United States,94488,-89.0861,-72.6766,-3:30,Newfoundland,joan.vasquez@example.com,1965-12-13T18:40:48.377Z,56,2019-07-27T02:08:27.019Z,2,(387)-242-3208,(743)-130-0818,SSN,282-47-0913,https://randomuser.me/api/portraits/women/58.jpg,https://randomuser.me/api/portraits/med/women/58.jpg,https://randomuser.me/api/portraits/thumb/women/58.jpg,US
female,Miss,Martha,Alvarez,317,Hogan St,Moscow,Virginia,United States,55956,-75.0655,-38.2526,-8:00,Pacific Time (US & Canada),martha.alvarez@example.com,1962-01-07T19:48:40.679Z,59,2016-05-03T05:37:53.524Z,5,(895)-597-7449,(074)-016-0926,SSN,904-43-4167,https://randomuser.me/api/portraits/women/67.jpg,https://randomuser.me/api/portraits/med/women/67.jpg,https://randomuser.me/api/portraits/thumb/women/67.jpg,US
male,Mr,Ben,Fernandez,5448,Miller Ave,Aurora,Rhode Island,United States,14353,0.0246,158.3747,+5:45,Kathmandu,ben.fernandez@example.com,1975-11-08T07:36:27.498Z,46,2010-08-10T16:11:01.002Z,11,(150)-078-8117,(766)-184-0958,SSN,023-57-5007,https://randomuser.me/api/portraits/men/99.jpg,https://randomuser.me/api/portraits/med/men/99.jpg,https://randomuser.me/api/portraits/thumb/men/99.jpg,US
male,Mr,Roland,Holt,5078,Hillcrest Rd,West Jordan,Nebraska,United States,16150,-51.9673,-2.8859,+5:45,Kathmandu,roland.holt@example.com,1987-03-03T07:06:34.960Z,34,2002-10-01T18:56:49.742Z,19,(840)-512-0579,(438)-046-9604,SSN,251-15-7886,https://randomuser.me/api/portraits/men/57.jpg,https://randomuser.me/api/portraits/med/men/57.jpg,https://randomuser.me/api/portraits/thumb/men/57.jpg,US
female,Miss,Debra,Palmer,246,Wheeler Ridge Dr,North Las Vegas,Michigan,United States,43028,26.1184,-175.9871,-8:00,Pacific Time (US & Canada),debra.palmer@example.com,1961-02-04T10:40:34.692Z,60,2016-07-01T20:44:23.573Z,5,(969)-774-4941,(430)-677-1947,SSN,262-04-2453,https://randomuser.me/api/portraits/women/75.jpg,https://randomuser.me/api/portraits/med/women/75.jpg,https://randomuser.me/api/portraits/thumb/women/75.jpg,US
female,Mrs,Monica,Hernandez,7114,Ranchview Dr,Coppell,North Dakota,United States,41154,42.7295,140.5997,+5:45,Kathmandu,monica.hernandez@example.com,1995-11-22T10:06:52.142Z,26,2007-10-31T00:42:21.516Z,14,(388)-565-2826,(018)-512-2530,SSN,249-82-7387,https://randomuser.me/api/portraits/women/30.jpg,https://randomuser.me/api/portraits/med/women/30.jpg,https://randomuser.me/api/portraits/thumb/women/30.jpg,US
male,Mr,Jacob,Ruiz,6897,Mcgowen St,Atlanta,West Virginia,United States,62039,-84.4790,-30.1488,-8:00,Pacific Time (US & Canada),jacob.ruiz@example.com,1998-07-04T05:19:02.678Z,23,2011-03-08T21:50:44.068Z,10,(983)-813-8433,(027)-258-5558,SSN,801-13-0117,https://randomuser.me/api/portraits/men/37.jpg,https://randomuser.me/api/portraits/med/men/37.jpg,https://randomuser.me/api/portraits/thumb/men/37.jpg,US
male,Mr,Nathan,Craig,2795,Taylor St,Huntington Beach,Texas,United States,20519,40.0564,75.6488,-7:00,Mountain Time (US & Canada),nathan.craig@example.com,1963-01-16T11:25:52.838Z,58,2019-06-20T02:27:50.509Z,2,(071)-767-4523,(376)-968-6938,SSN,452-08-7888,https://randomuser.me/api/portraits/men/22.jpg,https://randomuser.me/api/portraits/med/men/22.jpg,https://randomuser.me/api/portraits/thumb/men/22.jpg,US
male,Mr,Carlos,Patterson,2853,W 6th St,Mcallen,Maine,United States,79343,34.0794,-107.5071,+5:45,Kathmandu,carlos.patterson@example.com,1998-09-05T04:51:53.581Z,23,2005-12-16T11:16:41.592Z,16,(975)-371-2954,(013)-019-5641,SSN,189-38-6480,https://randomuser.me/api/portraits/men/88.jpg,https://randomuser.me/api/portraits/med/men/88.jpg,https://randomuser.me/api/portraits/thumb/men/88.jpg,US
