gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Miss,Tina,Thomas,5869,Locust Rd,Carrollton,Connecticut,United States,68082,-39.9289,25.6577,-9:00,Alaska,tina.thomas@example.com,1957-02-09T17:17:26.013Z,64,2017-12-10T21:35:05.117Z,4,(354)-097-9106,(347)-703-0104,SSN,440-34-0804,https://randomuser.me/api/portraits/women/13.jpg,https://randomuser.me/api/portraits/med/women/13.jpg,https://randomuser.me/api/portraits/thumb/women/13.jpg,US
male,Mr,Arnold,Owens,9653,Karen Dr,Brownsville,North Dakota,United States,54550,13.7084,87.7909,+4:30,Kabul,arnold.owens@example.com,1964-12-23T19:07:47.549Z,57,2012-03-31T04:09:11.327Z,9,(116)-958-6765,(001)-678-1091,SSN,458-03-1040,https://randomuser.me/api/portraits/men/14.jpg,https://randomuser.me/api/portraits/med/men/14.jpg,https://randomuser.me/api/portraits/thumb/men/14.jpg,US
female,Miss,Olivia,Sims,9103,Thornridge Cir,Sterling Heights,Wisconsin,United States,35678,61.3847,153.0681,-10:00,Hawaii,olivia.sims@example.com,1954-12-22T12:44:43.433Z,67,2010-03-03T09:55:00.900Z,11,(664)-084-6434,(067)-768-9433,SSN,191-97-5607,https://randomuser.me/api/portraits/women/60.jpg,https://randomuser.me/api/portraits/med/women/60.jpg,https://randomuser.me/api/portraits/thumb/women/60.jpg,US
female,Ms,Stephanie,Martin,8813,Eason Rd,Lousville,Idaho,United States,53080,78.0362,-127.0686,+3:30,Tehran,stephanie.martin@example.com,1964-01-05T23:47:06.104Z,57,2006-06-20T00:40:06.741Z,15,(594)-758-7027,(755)-069-1848,SSN,027-02-4929,https://randomuser.me/api/portraits/women/76.jpg,https://randomuser.me/api/portraits/med/women/76.jpg,https://randomuser.me/api/portraits/thumb/women/76.jpg,US
male,Mr,Arron,Robinson,7260,Hunters Creek Dr,St. Louis,Minnesota,United States,28949,76.6143,-38.9490,+3:30,Tehran,arron.robinson@example.com,1997-01-01T06:37:19.434Z,24,2006-03-26T17:50:28.248Z,15,(890)-946-1175,(143)-626-7981,SSN,252-42-5555,https://randomuser.me/api/portraits/men/22.jpg,https://randomuser.me/api/portraits/med/men/22.jpg,https://randomuser.me/api/portraits/thumb/men/22.jpg,US
female,Miss,Dana,Banks,1059,Blossom Hill Rd,Lansing,Ohio,United States,70826,74.3653,69.8429,-10:00,Hawaii,dana.banks@example.com,1953-06-13T18:28:52.142Z,68,2014-03-22T20:21:17.756Z,7,(833)-199-9594,(139)-962-7126,SSN,944-95-4668,https://randomuser.me/api/portraits/women/50.jpg,https://randomuser.me/api/portraits/med/women/50.jpg,https://randomuser.me/api/portraits/thumb/women/50.jpg,US
male,Mr,Marshall,Torres,5900,Dane St,York,Oregon,United States,76162,41.2803,120.5848,+3:30,Tehran,marshall.torres@example.com,1985-04-21T04:31:39.278Z,36,2016-11-17T01:19:14.398Z,5,(153)-970-0735,(417)-388-7157,SSN,791-11-4240,https://randomuser.me/api/portraits/men/55.jpg,https://randomuser.me/api/portraits/med/men/55.jpg,https://randomuser.me/api/portraits/thumb/men/55.jpg,US
female,Ms,Alyssa,Bryant,4434,Hickory Creek Dr,Grants Pass,Wisconsin,United States,60926,80.3836,-2.4734,+5:45,Kathmandu,alyssa.bryant@example.com,1972-05-25T02:22:59.630Z,49,2018-04-21T04:18:16.659Z,3,(747)-593-1684,(922)-350-8691,SSN,716-43-9268,https://randomuser.me/api/portraits/women/25.jpg,https://randomuser.me/api/portraits/med/women/25.jpg,https://randomuser.me/api/portraits/thumb/women/25.jpg,US
male,Mr,Luke,Gibson,6656,Fairview St,Syracuse,Louisiana,United States,27331,82.7007,49.9150,-7:00,Mountain Time (US & Canada),luke.gibson@example.com,1974-06-18T08:15:11.376Z,47,2003-03-21T03:52:24.905Z,18,(297)-598-4135,(633)-685-9555,SSN,464-71-9182,https://randomuser.me/api/portraits/men/83.jpg,https://randomuser.me/api/portraits/med/men/83.jpg,https://randomuser.me/api/portraits/thumb/men/83.jpg,US
female,Ms,Myrtle,Barnett,1948,Lakeshore Rd,Belen,Utah,United States,11685,18.9592,-76.8438,+4:30,Kabul,myrtle.barnett@example.com,1961-04-01T06:37:49.537Z,60,2010-01-18T02:52:40.588Z,11,(863)-801-5207,(550)-630-1517,SSN,489-91-4792,https://randomuser.me/api/portraits/women/66.jpg,https://randomuser.me/api/portraits/med/women/66.jpg,https://randomuser.me/api/portraits/thumb/women/66.jpg,US
