gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Dwayne,Jordan,2318,Ranchview Dr,Pompano Beach,New Mexico,United States,58769,-44.4834,119.3338,-8:00,Pacific Time (US & Canada),dwayne.jordan@example.com,1985-10-12T17:08:32.930Z,36,2009-12-18T16:33:22.100Z,12,(567)-052-7930,(934)-782-9864,SSN,893-19-0971,https://randomuser.me/api/portraits/men/48.jpg,https://randomuser.me/api/portraits/med/men/48.jpg,https://randomuser.me/api/portraits/thumb/men/48.jpg,US
female,Ms,Georgia,James,4613,Samaritan Dr,Shelby,New Jersey,United States,71548,31.8532,-26.7667,-7:00,Mountain Time (US & Canada),georgia.james@example.com,1968-09-12T18:53:28.239Z,53,2004-02-18T10:09:08.386Z,17,(010)-082-2418,(297)-910-8066,SSN,071-12-2908,https://randomuser.me/api/portraits/women/67.jpg,https://randomuser.me/api/portraits/med/women/67.jpg,https://randomuser.me/api/portraits/thumb/women/67.jpg,US
female,Mrs,Margie,Mitchell,3742,Ash Dr,Simi Valley,New Hampshire,United States,34094,-57.7308,-137.6673,-10:00,Hawaii,margie.mitchell@example.com,1973-05-21T16:00:18.674Z,48,2013-04-01T08:03:39.819Z,8,(935)-192-4995,(237)-664-5488,SSN,275-23-6231,https://randomuser.me/api/portraits/women/13.jpg,https://randomuser.me/api/portraits/med/women/13.jpg,https://randomuser.me/api/portraits/thumb/women/13.jpg,US
female,Mrs,Stacy,Carter,8757,Rolling Green Rd,Carrollton,Louisiana,United States,56308,60.2368,26.8370,-2:00,Mid-Atlantic,stacy.carter@example.com,1947-08-07T21:11:40.594Z,74,2019-09-11T12:35:56.620Z,2,(969)-897-5606,(413)-474-6164,SSN,517-64-9085,https://randomuser.me/api/portraits/women/84.jpg,https://randomuser.me/api/portraits/med/women/84.jpg,https://randomuser.me/api/portraits/thumb/women/84.jpg,US
female,Ms,Shelly,Rogers,5085,Locust Rd,South Bend,Kansas,United States,88360,81.0218,116.5476,-2:00,Mid-Atlantic,shelly.rogers@example.com,1959-09-26T17:30:20.665Z,62,2010-04-14T22:01:21.628Z,11,(324)-339-6449,(092)-160-9737,SSN,129-25-8535,https://randomuser.me/api/portraits/women/51.jpg,https://randomuser.me/api/portraits/med/women/51.jpg,https://randomuser.me/api/portraits/thumb/women/51.jpg,US
male,Mr,Michael,Hansen,8331,Fincher Rd,Madison,Rhode Island,United States,65684,68.4853,-43.4644,-7:00,Mountain Time (US & Canada),michael.hansen@example.com,1958-08-13T22:30:59.963Z,63,2005-10-04T22:18:59.610Z,16,(705)-156-6933,(650)-679-7159,SSN,156-10-8737,https://randomuser.me/api/portraits/men/96.jpg,https://randomuser.me/api/portraits/med/men/96.jpg,https://randomuser.me/api/portraits/thumb/men/96.jpg,US
female,Ms,Denise,Little,4923,College St,Scottsdale,Nevada,United States,34215,38.8958,59.4193,-10:00,Hawaii,denise.little@example.com,1952-09-22T14:07:33.461Z,69,2019-05-24T06:17:09.899Z,2,(088)-492-5698,(121)-962-0165,SSN,442-52-8247,https://randomuser.me/api/portraits/women/49.jpg,https://randomuser.me/api/portraits/med/women/49.jpg,https://randomuser.me/api/portraits/thumb/women/49.jpg,US
male,Mr,William,Carroll,9547,First Street,Aurora,South Dakota,United States,86295,-39.8057,-14.1890,+3:30,Tehran,william.carroll@example.com,1953-08-01T19:03:23.957Z,68,2003-04-19T14:58:23.159Z,18,(333)-266-1653,(946)-317-7759,SSN,116-44-1533,https://randomuser.me/api/portraits/men/72.jpg,https://randomuser.me/api/portraits/med/men/72.jpg,https://randomuser.me/api/portraits/thumb/men/72.jpg,US
female,Miss,Brooklyn,Steward,9953,Lone Wolf Trail,Oceanside,Connecticut,United States,60238,24.8944,15.2363,-2:00,Mid-Atlantic,brooklyn.steward@example.com,1966-03-12T22:44:42.341Z,55,2016-02-20T03:44:54.839Z,5,(041)-702-7438,(401)-628-3021,SSN,844-98-3592,https://randomuser.me/api/portraits/women/48.jpg,https://randomuser.me/api/portraits/med/women/48.jpg,https://randomuser.me/api/portraits/thumb/women/48.jpg,US
female,Ms,Holly,Spencer,3082,Ash Dr,Gresham,Illinois,United States,85148,42.1544,-59.6867,-10:00,Hawaii,holly.spencer@example.com,1948-04-30T21:14:12.290Z,73,2008-11-16T05:05:00.344Z,13,(691)-014-4331,(173)-494-3686,SSN,102-76-9737,https://randomuser.me/api/portraits/women/38.jpg,https://randomuser.me/api/portraits/med/women/38.jpg,https://randomuser.me/api/portraits/thumb/women/38.jpg,US
