gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Thomas,Hart,6768,Rolling Green Rd,Moscow,New York,United States,72524,-36.3455,-142.9912,+4:30,Kabul,thomas.hart@example.com,1986-09-23T17:38:46.313Z,35,2004-05-08T10:12:01.203Z,17,(413)-232-0035,(493)-640-3344,SSN,191-13-2694,https://randomuser.me/api/portraits/men/31.jpg,https://randomuser.me/api/portraits/med/men/31.jpg,https://randomuser.me/api/portraits/thumb/men/31.jpg,US
female,Mrs,Christy,Curtis,6438,Lakeview St,Philadelphia,Tennessee,United States,51048,-26.8164,13.2413,-2:00,Mid-Atlantic,christy.curtis@example.com,1947-01-31T23:45:45.283Z,74,2017-10-12T11:35:53.745Z,4,(848)-234-4229,(693)-740-7754,SSN,679-37-4983,https://randomuser.me/api/portraits/women/93.jpg,https://randomuser.me/api/portraits/med/women/93.jpg,https://randomuser.me/api/portraits/thumb/women/93.jpg,US
female,Ms,Becky,Black,5652,E Little York Rd,Vernon,Georgia,United States,40634,-77.7726,171.4480,+4:30,Kabul,becky.black@example.com,1961-12-02T02:10:25.147Z,60,2015-10-05T08:07:37.831Z,6,(160)-041-5384,(894)-684-1145,SSN,080-10-1986,https://randomuser.me/api/portraits/women/30.jpg,https://randomuser.me/api/portraits/med/women/30.jpg,https://randomuser.me/api/portraits/thumb/women/30.jpg,US
male,Mr,Ryan,Lawson,2907,Central St,Madison,Maine,United States,75909,33.2597,146.1982,-7:00,Mountain Time (US & Canada),ryan.lawson@example.com,1980-06-23T11:12:18.135Z,41,2012-10-02T06:43:13.801Z,9,(618)-471-3788,(388)-332-3463,SSN,391-97-6395,https://randomuser.me/api/portraits/men/63.jpg,https://randomuser.me/api/portraits/med/men/63.jpg,https://randomuser.me/api/portraits/thumb/men/63.jpg,US
female,Miss,Aubrey,Phillips,585,Green Rd,Bozeman,North Dakota,United States,40040,11.0490,122.7857,-3:30,Newfoundland,aubrey.phillips@example.com,1986-03-21T19:29:30.939Z,35,2011-02-27T16:15:22.807Z,10,(753)-382-1760,(077)-543-5107,SSN,130-39-1640,https://randomuser.me/api/portraits/women/40.jpg,https://randomuser.me/api/portraits/med/women/40.jpg,https://randomuser.me/api/portraits/thumb/women/40.jpg,US
male,Mr,Sebastian,Crawford,8204,Green Rd,Gresham,Colorado,United States,66297,-32.9029,-137.6182,+5:45,Kathmandu,sebastian.crawford@example.com,1969-07-30T05:12:12.095Z,52,2015-11-19T01:32:51.506Z,6,(952)-372-5607,(171)-127-7193,SSN,735-14-4897,https://randomuser.me/api/portraits/men/57.jpg,https://randomuser.me/api/portraits/med/men/57.jpg,https://randomuser.me/api/portraits/thumb/men/57.jpg,US
female,Mrs,Kelly,Ward,9723,Mockingbird Hill,El Monte,Minnesota,United States,93022,36.6469,57.7970,+5:45,Kathmandu,kelly.ward@example.com,1996-03-11T15:48:27.781Z,25,2007-03-27T15:36:45.952Z,14,(862)-940-6911,(038)-190-8428,SSN,079-39-5838,https://randomuser.me/api/portraits/women/83.jpg,https://randomuser.me/api/portraits/med/women/83.jpg,https://randomuser.me/api/portraits/thumb/women/83.jpg,US
female,Mrs,Leslie,Ramos,295,Adams St,Princeton,Idaho,United States,79648,39.7658,-33.5503,-9:00,Alaska,leslie.ramos@example.com,1995-11-12T10:06:25.219Z,26,2018-01-14T14:53:47.998Z,3,(096)-644-9327,(754)-282-5982,SSN,249-49-1711,https://randomuser.me/api/portraits/women/35.jpg,https://randomuser.me/api/portraits/med/women/35.jpg,https://randomuser.me/api/portraits/thumb/women/35.jpg,US
female,Miss,Lorraine,Howell,6773,Brown Terrace,Tyler,Alabama,United States,81197,-63.0405,165.3607,+3:30,Tehran,lorraine.howell@example.com,1963-02-18T02:18:55.645Z,58,2008-08-01T18:44:19.128Z,13,(938)-028-1502,(451)-864-4446,SSN,157-96-3784,https://randomuser.me/api/portraits/women/90.jpg,https://randomuser.me/api/portraits/med/women/90.jpg,https://randomuser.me/api/portraits/thumb/women/90.jpg,US
male,Mr,Leroy,Butler,4517,Valley View Ln,Albuquerque,Nebraska,United States,46480,44.1066,115.3727,-7:00,Mountain Time (US & Canada),leroy.butler@example.com,1963-11-11T16:16:10.548Z,58,2019-01-08T14:42:36.484Z,2,(256)-559-9614,(963)-635-5078,SSN,685-30-5195,https://randomuser.me/api/portraits/men/27.jpg,https://randomuser.me/api/portraits/med/men/27.jpg,https://randomuser.me/api/portraits/thumb/men/27.jpg,US
male,Mr,Tom,Lopez,6186,Karen Dr,Antioch,Wisconsin,United States,75457,-59.5810,-116.7885,+4:30,Kabul,tom.lopez@example.com,1964-07-05T20:12:20.339Z,57,2014-03-28T14:01:25.874Z,7,(653)-405-7865,(985)-511-7449,SSN,265-48-9989,https://randomuser.me/api/portraits/men/72.jpg,https://randomuser.me/api/portraits/med/men/72.jpg,https://randomuser.me/api/portraits/thumb/men/72.jpg,US
female,Miss,Kristin,Knight,7108,Green Rd,Austin,New York,United States,83334,-85.5290,-104.1071,-9:00,Alaska,kristin.knight@example.com,1976-05-21T06:12:32.438Z,45,2014-11-10T03:01:34.200Z,7,(900)-997-3678,(252)-571-4032,SSN,821-26-8629,https://randomuser.me/api/portraits/women/13.jpg,https://randomuser.me/api/portraits/med/women/13.jpg,https://randomuser.me/api/portraits/thumb/women/13.jpg,US
