gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Miss,Lucille,Holland,8473,Hillcrest Rd,South Bend,Tennessee,United States,11341,-72.9084,94.8307,-9:00,Alaska,lucille.holland@example.com,1992-11-10T09:08:17.919Z,29,2015-02-06T06:42:29.338Z,6,(854)-620-7954,(905)-554-2801,SSN,010-61-5716,https://randomuser.me/api/portraits/women/73.jpg,https://randomuser.me/api/portraits/med/women/73.jpg,https://randomuser.me/api/portraits/thumb/women/73.jpg,US
female,Mrs,Bobbie,Hayes,417,Samaritan Dr,Pearland,Connecticut,United States,18915,-13.3630,65.5935,+5:45,Kathmandu,bobbie.hayes@example.com,1970-04-20T01:34:31.277Z,51,2009-02-06T11:48:19.013Z,12,(031)-314-8452,(654)-793-0220,SSN,257-37-2755,https://randomuser.me/api/portraits/women/88.jpg,https://randomuser.me/api/portraits/med/women/88.jpg,https://randomuser.me/api/portraits/thumb/women/88.jpg,US
male,Mr,Ramon,Byrd,4713,Stevens Creek Blvd,Burbank,Illinois,United States,90246,-17.5576,-149.7933,-8:00,Pacific Time (US & Canada),ramon.byrd@example.com,1948-10-20T14:23:46.605Z,73,2009-12-23T08:12:43.557Z,12,(496)-023-3354,(286)-842-3573,SSN,500-46-6356,https://randomuser.me/api/portraits/men/76.jpg,https://randomuser.me/api/portraits/med/men/76.jpg,https://randomuser.me/api/portraits/thumb/men/76.jpg,US
male,Mr,Claude,Simmmons,2309,Paddock Way,Port St. Lucie,Kansas,United States,53634,69.4032,88.1041,+4:30,Kabul,claude.simmmons@example.com,1953-05-04T18:13:25.231Z,68,2017-05-07T21:24:03.577Z,4,(887)-263-9633,(030)-093-0825,SSN,464-33-4364,https://randomuser.me/api/portraits/men/41.jpg,https://randomuser.me/api/portraits/med/men/41.jpg,https://randomuser.me/api/portraits/thumb/men/41.jpg,US
female,Ms,Alice,Duncan,659,Washington Ave,South Bend,Ohio,United States,92813,-12.1978,-101.8105,+3:30,Tehran,alice.duncan@example.com,1988-08-04T18:04:25.037Z,33,2005-03-04T11:43:19.076Z,16,(957)-825-4743,(211)-543-6704,SSN,170-38-6579,https://randomuser.me/api/portraits/women/9.jpg,https://randomuser.me/api/portraits/med/women/9.jpg,https://randomuser.me/api/portraits/thumb/women/9.jpg,US
male,Mr,Freddie,Jackson,3419,Mockingbird Hill,Berkeley,California,United States,55670,38.4793,103.4472,-3:30,Newfoundland,freddie.jackson@example.com,1959-11-05T06:17:01.254Z,62,2013-04-06T07:36:12.429Z,8,(436)-621-7615,(083)-105-3480,SSN,546-80-2257,https://randomuser.me/api/portraits/men/83.jpg,https://randomuser.me/api/portraits/med/men/83.jpg,https://randomuser.me/api/portraits/thumb/men/83.jpg,US
male,Mr,Jerry,Barnett,6499,W Dallas St,New Orleans,Colorado,United States,37358,-21.8122,149.7575,-7:00,Mountain Time (US & Canada),jerry.barnett@example.com,1987-12-16T10:36:47.409Z,34,2011-12-30T13:45:16.621Z,10,(105)-645-5179,(338)-378-0937,SSN,419-95-6965,https://randomuser.me/api/portraits/men/47.jpg,https://randomuser.me/api/portraits/med/men/47.jpg,https://randomuser.me/api/portraits/thumb/men/47.jpg,US
male,Mr,Calvin,Hernandez,6086,Westheimer Rd,Dumas,Maryland,United States,17525,-15.9685,105.1354,+4:30,Kabul,calvin.hernandez@example.com,1951-07-12T23:01:11.253Z,70,2012-12-02T19:00:27.577Z,9,(588)-604-9649,(534)-649-9744,SSN,210-16-4288,https://randomuser.me/api/portraits/men/70.jpg,https://randomuser.me/api/portraits/med/men/70.jpg,https://randomuser.me/api/portraits/thumb/men/70.jpg,US
male,Mr,Joseph,Long,9079,Miller Ave,Eureka,Illinois,United States,56323,19.9539,21.2528,-2:00,Mid-Atlantic,joseph.long@example.com,1981-11-30T04:46:28.859Z,40,2007-07-21T00:56:39.527Z,14,(490)-548-3527,(992)-089-3808,SSN,681-23-9289,https://randomuser.me/api/portraits/men/7.jpg,https://randomuser.me/api/portraits/med/men/7.jpg,https://randomuser.me/api/portraits/thumb/men/7.jpg,US
male,Mr,Tyler,Carroll,4221,Spring Hill Rd,El Paso,Colorado,United States,59633,-3.0929,155.0655,-3:30,Newfoundland,tyler.carroll@example.com,1954-12-15T16:23:58.418Z,67,2019-06-28T17:42:31.790Z,2,(681)-451-6997,(896)-705-9357,SSN,836-95-2070,https://randomuser.me/api/portraits/men/32.jpg,https://randomuser.me/api/portraits/med/men/32.jpg,https://randomuser.me/api/portraits/thumb/men/32.jpg,US
