gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Ms,Tanya,Ford,9616,W 6th St,Tucson,New Jersey,United States,50343,29.5396,-167.4920,-2:00,Mid-Atlantic,tanya.ford@example.com,1986-01-16T22:56:44.775Z,35,2003-12-25T20:25:33.705Z,18,(888)-533-1101,(080)-266-6699,SSN,568-12-7818,https://randomuser.me/api/portraits/women/41.jpg,https://randomuser.me/api/portraits/med/women/41.jpg,https://randomuser.me/api/portraits/thumb/women/41.jpg,US
male,Mr,Leroy,Beck,2325,Stevens Creek Blvd,Nashville,North Carolina,United States,31392,-81.2151,-74.4166,+3:30,Tehran,leroy.beck@example.com,1945-08-16T11:42:40.814Z,76,2015-12-15T05:58:54.313Z,6,(852)-821-9119,(773)-240-8385,SSN,567-62-7102,https://randomuser.me/api/portraits/men/26.jpg,https://randomuser.me/api/portraits/med/men/26.jpg,https://randomuser.me/api/portraits/thumb/men/26.jpg,US
female,Mrs,Riley,Barnes,329,Hamilton Ave,Garden Grove,Mississippi,United States,20834,14.5287,52.8273,-10:00,Hawaii,riley.barnes@example.com,1947-08-21T16:29:54.768Z,74,2004-05-15T06:15:12.014Z,17,(438)-110-6862,(324)-592-2207,SSN,228-97-2474,https://randomuser.me/api/portraits/women/27.jpg,https://randomuser.me/api/portraits/med/women/27.jpg,https://randomuser.me/api/portraits/thumb/women/27.jpg,US
male,Mr,Micheal,Walker,6520,Paddock Way,Denver,Kansas,United States,99999,-47.5024,104.6432,-10:00,Hawaii,micheal.walker@example.com,1959-06-20T20:58:08.411Z,62,2006-02-20T14:00:56.942Z,15,(879)-513-3622,(477)-735-1625,SSN,225-97-3187,https://randomuser.me/api/portraits/men/30.jpg,https://randomuser.me/api/portraits/med/men/30.jpg,https://randomuser.me/api/portraits/thumb/men/30.jpg,US
male,Mr,Larry,Warren,4177,Ash Dr,Fort Collins,Colorado,United States,14352,77.0154,-176.0213,-9:00,Alaska,larry.warren@example.com,1956-06-26T19:43:25.797Z,65,2012-07-04T07:47:42.223Z,9,(500)-579-1135,(479)-624-4593,SSN,521-16-7691,https://randomuser.me/api/portraits/men/78.jpg,https://randomuser.me/api/portraits/med/men/78.jpg,https://randomuser.me/api/portraits/thumb/men/78.jpg,US
female,Mrs,Mae,Stone,1377,First Street,Green Bay,Missouri,United States,57142,-15.2224,-118.5823,-8:00,Pacific Time (US & Canada),mae.stone@example.com,1992-11-26T07:05:59.901Z,29,2012-09-18T12:09:04.641Z,9,(965)-429-4283,(119)-218-1498,SSN,112-00-9789,https://randomuser.me/api/portraits/women/7.jpg,https://randomuser.me/api/portraits/med/women/7.jpg,https://randomuser.me/api/portraits/thumb/women/7.jpg,US
male,Mr,Joshua,Graves,1453,Robinson Rd,Garden Grove,Massachusetts,United States,83381,-32.0304,-143.9721,-2:00,Mid-Atlantic,joshua.graves@example.com,1967-07-15T19:18:40.836Z,54,2003-12-07T14:11:28.291Z,18,(807)-467-4813,(789)-207-3101,SSN,051-38-9877,https://randomuser.me/api/portraits/men/19.jpg,https://randomuser.me/api/portraits/med/men/19.jpg,https://randomuser.me/api/portraits/thumb/men/19.jpg,US
female,Miss,Chloe,Prescott,8761,Walnut Hill Ln,Fargo,Utah,United States,63400,-72.7930,-153.8074,-2:00,Mid-Atlantic,chloe.prescott@example.com,1971-10-25T02:13:17.516Z,50,2016-07-23T06:47:20.890Z,5,(657)-815-5931,(901)-824-5849,SSN,641-32-9135,https://randomuser.me/api/portraits/women/15.jpg,https://randomuser.me/api/portraits/med/women/15.jpg,https://randomuser.me/api/portraits/thumb/women/15.jpg,US
female,Mrs,Leslie,Lee,5073,Pockrus Page Rd,Santa Ana,Iowa,United States,26922,-40.6331,123.8152,-3:30,Newfoundland,leslie.lee@example.com,1964-07-02T11:57:59.020Z,57,2006-12-10T20:19:40.931Z,15,(123)-585-2768,(597)-845-5925,SSN,305-08-0618,https://randomuser.me/api/portraits/women/89.jpg,https://randomuser.me/api/portraits/med/women/89.jpg,https://randomuser.me/api/portraits/thumb/women/89.jpg,US
female,Miss,Lena,Olson,9140,W Belt Line Rd,Yakima,California,United States,27000,59.8969,-62.7467,+3:30,Tehran,lena.olson@example.com,1964-05-30T04:07:46.861Z,57,2018-12-26T03:49:07.386Z,3,(988)-681-9388,(733)-772-0109,SSN,143-42-9173,https://randomuser.me/api/portraits/women/87.jpg,https://randomuser.me/api/portraits/med/women/87.jpg,https://randomuser.me/api/portraits/thumb/women/87.jpg,US
