gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Noah,Dean,4441,Thornridge Cir,Fort Worth,Hawaii,United States,12515,-59.7057,179.0695,-2:00,Mid-Atlantic,noah.dean@example.com,1992-03-10T12:40:48.733Z,29,2017-12-28T17:55:08.437Z,4,(937)-997-5074,(443)-010-0438,SSN,486-22-6221,https://randomuser.me/api/portraits/men/50.jpg,https://randomuser.me/api/portraits/med/men/50.jpg,https://randomuser.me/api/portraits/thumb/men/50.jpg,US
female,Mrs,Gina,Harrison,729,W 6th St,Fayetteville,Kansas,United States,16632,-14.6449,-169.2340,-9:00,Alaska,gina.harrison@example.com,1984-02-09T14:02:03.272Z,37,2016-09-30T03:25:17.580Z,5,(410)-316-4130,(172)-910-5316,SSN,263-59-8132,https://randomuser.me/api/portraits/women/74.jpg,https://randomuser.me/api/portraits/med/women/74.jpg,https://randomuser.me/api/portraits/thumb/women/74.jpg,US
male,Mr,Luis,Rivera,7251,Mockingbird Ln,Albuquerque,Idaho,United States,73920,-1.4890,-25.4817,+3:30,Tehran,luis.rivera@example.com,1947-12-20T12:22:31.077Z,74,2006-11-21T11:14:48.737Z,15,(336)-625-3994,(052)-297-7610,SSN,559-45-4309,https://randomuser.me/api/portraits/men/2.jpg,https://randomuser.me/api/portraits/med/men/2.jpg,https://randomuser.me/api/portraits/thumb/men/2.jpg,US
male,Mr,Edward,Craig,9208,Harrison Ct,Minneapolis,Wisconsin,United States,72906,18.4806,-66.1023,-9:00,Alaska,edward.craig@example.com,1957-12-20T10:59:15.143Z,64,2014-11-05T10:16:29.513Z,7,(205)-718-9144,(557)-561-7614,SSN,060-21-6199,https://randomuser.me/api/portraits/men/70.jpg,https://randomuser.me/api/portraits/med/men/70.jpg,https://randomuser.me/api/portraits/thumb/men/70.jpg,US
male,Mr,Douglas,Caldwell,1594,Hickory Creek Dr,San Jose,Alabama,United States,54514,-76.1766,-30.6445,+5:45,Kathmandu,douglas.caldwell@example.com,1957-06-14T14:39:27.399Z,64,2016-06-22T00:10:58.966Z,5,(896)-887-9901,(333)-484-4283,SSN,603-95-9931,https://randomuser.me/api/portraits/men/8.jpg,https://randomuser.me/api/portraits/med/men/8.jpg,https://randomuser.me/api/portraits/thumb/men/8.jpg,US
male,Mr,Tyler,Fletcher,4549,Locust Rd,Princeton,South Dakota,United States,50943,38.9881,-110.5684,+5:45,Kathmandu,tyler.fletcher@example.com,1957-11-27T14:43:59.259Z,64,2009-07-23T09:50:18.704Z,12,(358)-850-2672,(575)-511-5778,SSN,273-74-4580,https://randomuser.me/api/portraits/men/12.jpg,https://randomuser.me/api/portraits/med/men/12.jpg,https://randomuser.me/api/portraits/thumb/men/12.jpg,US
female,Ms,Tonya,Barrett,1169,Timber Wolf Trail,Green Bay,Wisconsin,United States,22619,81.8298,14.5834,-9:00,Alaska,tonya.barrett@example.com,1980-10-06T20:54:33.733Z,41,2008-02-05T02:34:27.684Z,13,(593)-547-6824,(152)-375-0057,SSN,333-17-0071,https://randomuser.me/api/portraits/women/13.jpg,https://randomuser.me/api/portraits/med/women/13.jpg,https://randomuser.me/api/portraits/thumb/women/13.jpg,US
male,Mr,Karl,Cooper,2091,Adams St,Roseburg,Georgia,United States,41307,39.9378,87.6487,+3:30,Tehran,karl.cooper@example.com,1966-12-02T15:47:02.335Z,55,2019-02-10T00:19:11.081Z,2,(142)-120-2702,(972)-486-0312,SSN,559-01-1128,https://randomuser.me/api/portraits/men/89.jpg,https://randomuser.me/api/portraits/med/men/89.jpg,https://randomuser.me/api/portraits/thumb/men/89.jpg,US
female,Mrs,Kitty,Olson,9171,Stevens Creek Blvd,York,Mississippi,United States,23478,30.5220,130.2362,-7:00,Mountain Time (US & Canada),kitty.olson@example.com,1984-02-10T08:53:32.850Z,37,2017-05-11T03:24:54.243Z,4,(090)-439-5417,(029)-041-9744,SSN,496-17-5504,https://randomuser.me/api/portraits/women/67.jpg,https://randomuser.me/api/portraits/med/women/67.jpg,https://randomuser.me/api/portraits/thumb/women/67.jpg,US
male,Mr,Joseph,Castillo,4444,Locust Rd,Lewiston,Wisconsin,United States,60755,15.1568,-176.5970,+3:30,Tehran,joseph.castillo@example.com,1968-06-13T07:33:49.274Z,53,2009-05-12T16:11:02.924Z,12,(366)-416-9416,(963)-342-0318,SSN,735-49-3798,https://randomuser.me/api/portraits/men/79.jpg,https://randomuser.me/api/portraits/med/men/79.jpg,https://randomuser.me/api/portraits/thumb/men/79.jpg,US
