gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Hugh,Frazier,1003,E North St,Baton Rouge,Arkansas,United States,40924,9.5149,-176.0446,+5:45,Kathmandu,hugh.frazier@example.com,1980-11-26T19:11:57.468Z,41,2008-07-22T05:30:43.911Z,13,(665)-691-9695,(771)-860-1885,SSN,105-29-0359,https://randomuser.me/api/portraits/men/76.jpg,https://randomuser.me/api/portraits/med/men/76.jpg,https://randomuser.me/api/portraits/thumb/men/76.jpg,US
male,Mr,Bruce,Alvarez,698,Edwards Rd,West Covina,South Dakota,United States,48027,-67.3570,-50.7604,-7:00,Mountain Time (US & Canada),bruce.alvarez@example.com,1986-02-14T06:44:45.419Z,35,2002-04-08T18:22:00.361Z,19,(609)-963-9707,(126)-173-8936,SSN,991-77-8601,https://randomuser.me/api/portraits/men/94.jpg,https://randomuser.me/api/portraits/med/men/94.jpg,https://randomuser.me/api/portraits/thumb/men/94.jpg,US
male,Mr,Clarence,Johnston,9902,Elgin St,Portland,Florida,United States,59464,46.6235,-129.3432,+5:45,Kathmandu,clarence.johnston@example.com,1974-07-31T09:43:52.553Z,47,2017-03-15T08:53:06.249Z,4,(686)-976-5252,(106)-715-9695,SSN,855-34-6587,https://randomuser.me/api/portraits/men/4.jpg,https://randomuser.me/api/portraits/med/men/4.jpg,https://randomuser.me/api/portraits/thumb/men/4.jpg,US
male,Mr,Leslie,Collins,7354,W Dallas St,Forney,Connecticut,United States,34680,36.2830,26.6722,+4:30,Kabul,leslie.collins@example.com,1955-07-16T07:29:42.481Z,66,2012-02-16T05:06:59.927Z,9,(140)-262-5722,(231)-818-1528,SSN,231-26-2619,https://randomuser.me/api/portraits/men/92.jpg,https://randomuser.me/api/portraits/med/men/92.jpg,https://randomuser.me/api/portraits/thumb/men/92.jpg,US
female,Mrs,Miriam,Cox,492,E Sandy Lake Rd,Aurora,Kentucky,United States,77852,-89.0517,123.4150,-7:00,Mountain Time (US & Canada),miriam.cox@example.com,1945-10-08T04:48:46.934Z,76,2015-07-02T02:22:20.912Z,6,(978)-983-6315,(594)-308-5591,SSN,898-57-0088,https://randomuser.me/api/portraits/women/37.jpg,https://randomuser.me/api/portraits/med/women/37.jpg,https://randomuser.me/api/portraits/thumb/women/37.jpg,US
female,Mrs,Ava,Stone,5342,Lovers Ln,Huntsville,Louisiana,United States,85295,-31.1783,-163.9861,-7:00,Mountain Time (US & Canada),ava.stone@example.com,1984-02-18T04:36:52.610Z,37,2006-07-23T05:59:29.053Z,15,(913)-735-0863,(624)-106-8136,SSN,488-07-2986,https://randomuser.me/api/portraits/women/18.jpg,https://randomuser.me/api/portraits/med/women/18.jpg,https://randomuser.me/api/portraits/thumb/women/18.jpg,US
female,Miss,Brooklyn,Silva,3681,Harrison Ct,Portland,Wyoming,United States,70289,27.0484,12.5694,-10:00,Hawaii,brooklyn.silva@example.com,1993-05-01T09:56:59.919Z,28,2009-02-05T16:39:50.750Z,12,(581)-589-7292,(059)-390-8781,SSN,850-01-6993,https://randomuser.me/api/portraits/women/81.jpg,https://randomuser.me/api/portraits/med/women/81.jpg,https://randomuser.me/api/portraits/thumb/women/81.jpg,US
female,Mrs,Rosa,Miller,9237,Hunters Creek Dr,Cape Fear,Florida,United States,85431,35.0931,96.6647,-8:00,Pacific Time (US & Canada),rosa.miller@example.com,1989-07-01T03:04:25.846Z,32,2006-12-12T02:32:33.153Z,15,(396)-889-7737,(072)-749-3754,SSN,446-52-3906,https://randomuser.me/api/portraits/women/17.jpg,https://randomuser.me/api/portraits/med/women/17.jpg,https://randomuser.me/api/portraits/thumb/women/17.jpg,US
female,Ms,Margie,Cole,1885,Forest Ln,Stamford,Tennessee,United States,32689,-28.3230,-101.6469,-7:00,Mountain Time (US & Canada),margie.cole@example.com,1985-06-07T09:10:35.681Z,36,2002-10-13T05:34:26.270Z,19,(054)-932-2462,(425)-437-4070,SSN,238-78-8641,https://randomuser.me/api/portraits/women/25.jpg,https://randomuser.me/api/portraits/med/women/25.jpg,https://randomuser.me/api/portraits/thumb/women/25.jpg,US
female,Miss,Genesis,Phillips,3992,Marsh Ln,Desoto,California,United States,85979,41.6442,-146.0554,-2:00,Mid-Atlantic,genesis.phillips@example.com,1962-05-02T09:49:58.160Z,59,2003-08-07T17:57:59.856Z,18,(961)-884-7912,(601)-460-5201,SSN,743-43-5232,https://randomuser.me/api/portraits/women/26.jpg,https://randomuser.me/api/portraits/med/women/26.jpg,https://randomuser.me/api/portraits/thumb/women/26.jpg,US
male,Mr,Tom,Romero,4045,Hamilton Ave,West Jordan,Vermont,United States,68757,-1.4366,8.8086,+3:30,Tehran,tom.romero@example.com,1958-07-02T05:30:35.178Z,63,2018-07-27T17:13:49.514Z,3,(653)-294-0985,(872)-546-7530,SSN,814-58-9339,https://randomuser.me/api/portraits/men/74.jpg,https://randomuser.me/api/portraits/med/men/74.jpg,https://randomuser.me/api/portraits/thumb/men/74.jpg,US
female,Miss,Aubree,Steeves ,5771,Country Club Rd,Altoona,Mississippi,United States,72584,-16.1396,-5.9030,+5:45,Kathmandu,aubree.steeves@example.com,1971-08-05T01:38:21.874Z,50,2016-11-20T03:57:07.370Z,5,(415)-468-9750,(594)-574-0855,SSN,162-55-8714,https://randomuser.me/api/portraits/women/32.jpg,https://randomuser.me/api/portraits/med/women/32.jpg,https://randomuser.me/api/portraits/thumb/women/32.jpg,US
female,Ms,Alyssa,Chavez,9163,Lakeshore Rd,Medford,New Mexico,United States,83893,-63.4746,10.3622,+4:30,Kabul,alyssa.chavez@example.com,1992-10-28T02:51:21.766Z,29,2007-05-16T01:01:11.427Z,14,(905)-730-9416,(416)-762-8818,SSN,086-72-5036,https://randomuser.me/api/portraits/women/11.jpg,https://randomuser.me/api/portraits/med/women/11.jpg,https://randomuser.me/api/portraits/thumb/women/11.jpg,US
