gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Warren,West,4858,Homestead Rd,Visalia,Kansas,United States,97643,71.8002,-63.5903,+4:30,Kabul,warren.west@example.com,1980-04-27T21:15:32.791Z,41,2003-07-24T15:50:16.759Z,18,(620)-962-7207,(771)-377-9837,SSN,546-54-2348,https://randomuser.me/api/portraits/men/22.jpg,https://randomuser.me/api/portraits/med/men/22.jpg,https://randomuser.me/api/portraits/thumb/men/22.jpg,US
female,Ms,Julie,Olson,5184,Karen Dr,Grapevine,Illinois,United States,26660,-74.7271,67.5218,-9:00,Alaska,julie.olson@example.com,1988-07-05T03:41:03.665Z,33,2016-05-31T07:11:51.849Z,5,(882)-045-3382,(519)-108-1029,SSN,824-90-0781,https://randomuser.me/api/portraits/women/12.jpg,https://randomuser.me/api/portraits/med/women/12.jpg,https://randomuser.me/api/portraits/thumb/women/12.jpg,US
female,Mrs,Vicki,Phillips,3791,Oak Lawn Ave,Charleston,New York,United States,14486,80.2464,-0.2976,-7:00,Mountain Time (US & Canada),vicki.phillips@example.com,1957-07-05T20:46:38.048Z,64,2016-12-30T22:23:48.421Z,5,(866)-956-6313,(552)-339-1271,SSN,592-45-4354,https://randomuser.me/api/portraits/women/13.jpg,https://randomuser.me/api/portraits/med/women/13.jpg,https://randomuser.me/api/portraits/thumb/women/13.jpg,US
female,Miss,Bessie,Fox,5586,Frances Ct,Arlington,Mississippi,United States,23329,-47.2107,123.7866,-2:00,Mid-Atlantic,bessie.fox@example.com,1967-12-06T06:35:35.005Z,54,2008-06-04T16:09:32.241Z,13,(852)-740-9178,(331)-727-2192,SSN,203-44-6575,https://randomuser.me/api/portraits/women/50.jpg,https://randomuser.me/api/portraits/med/women/50.jpg,https://randomuser.me/api/portraits/thumb/women/50.jpg,US
male,Mr,Floyd,Fisher,2870,E Pecan St,Oklahoma City,Rhode Island,United States,97058,33.1909,146.3891,+4:30,Kabul,floyd.fisher@example.com,1998-09-23T17:57:00.840Z,23,2013-12-19T19:15:10.394Z,8,(186)-683-5125,(224)-446-6143,SSN,709-32-8279,https://randomuser.me/api/portraits/men/62.jpg,https://randomuser.me/api/portraits/med/men/62.jpg,https://randomuser.me/api/portraits/thumb/men/62.jpg,US
male,Mr,Dean,Johnston,9959,Miller Ave,Newport News,New Mexico,United States,57399,45.5441,-141.1463,+4:30,Kabul,dean.johnston@example.com,1975-05-03T09:16:36.892Z,46,2006-04-20T00:18:05.691Z,15,(885)-508-0390,(521)-939-9783,SSN,937-81-2284,https://randomuser.me/api/portraits/men/46.jpg,https://randomuser.me/api/portraits/med/men/46.jpg,https://randomuser.me/api/portraits/thumb/men/46.jpg,US
female,Mrs,Clara,Craig,7253,Cackson St,Lowell,Washington,United States,42969,44.6845,123.7449,+3:30,Tehran,clara.craig@example.com,1979-01-26T20:08:54.255Z,42,2010-12-03T13:22:03.578Z,11,(025)-062-0404,(762)-845-4228,SSN,431-06-7119,https://randomuser.me/api/portraits/women/36.jpg,https://randomuser.me/api/portraits/med/women/36.jpg,https://randomuser.me/api/portraits/thumb/women/36.jpg,US
male,Mr,Benjamin,Day,3827,W Campbell Ave,Cape Fear,Delaware,United States,47864,78.8840,-102.8732,+3:30,Tehran,benjamin.day@example.com,1964-07-25T19:58:27.788Z,57,2013-09-09T09:08:03.812Z,8,(270)-399-2011,(159)-726-4367,SSN,793-23-0574,https://randomuser.me/api/portraits/men/47.jpg,https://randomuser.me/api/portraits/med/men/47.jpg,https://randomuser.me/api/portraits/thumb/men/47.jpg,US
female,Ms,Erika,Wilson,8227,E Pecan St,Fremont,North Dakota,United States,13866,47.5128,155.9890,-8:00,Pacific Time (US & Canada),erika.wilson@example.com,1978-04-22T04:18:31.527Z,43,2014-06-03T22:34:25.317Z,7,(561)-700-6803,(513)-623-4393,SSN,179-72-6263,https://randomuser.me/api/portraits/women/37.jpg,https://randomuser.me/api/portraits/med/women/37.jpg,https://randomuser.me/api/portraits/thumb/women/37.jpg,US
male,Mr,Arthur,Mitchelle,9190,Preston Rd,Chattanooga,West Virginia,United States,86552,-44.4926,-62.0961,-8:00,Pacific Time (US & Canada),arthur.mitchelle@example.com,1971-06-08T20:09:46.414Z,50,2017-06-22T20:28:07.395Z,4,(558)-744-5609,(884)-746-3819,SSN,294-61-1551,https://randomuser.me/api/portraits/men/7.jpg,https://randomuser.me/api/portraits/med/men/7.jpg,https://randomuser.me/api/portraits/thumb/men/7.jpg,US
female,Miss,Zoey,Austin,5,Rolling Green Rd,West Covina,Maine,United States,47384,-52.9128,-173.2592,-7:00,Mountain Time (US & Canada),zoey.austin@example.com,1946-01-13T21:13:25.100Z,75,2017-03-14T04:54:10.809Z,4,(168)-891-6953,(406)-087-2410,SSN,502-58-9725,https://randomuser.me/api/portraits/women/57.jpg,https://randomuser.me/api/portraits/med/women/57.jpg,https://randomuser.me/api/portraits/thumb/women/57.jpg,US
male,Mr,Clarence,Burns,1108,W Pecan St,Fresno,Idaho,United States,17645,-2.6779,28.3508,+3:30,Tehran,clarence.burns@example.com,1959-03-30T20:48:54.075Z,62,2017-12-26T23:58:29.588Z,4,(769)-847-4094,(401)-014-4111,SSN,957-54-8755,https://randomuser.me/api/portraits/men/19.jpg,https://randomuser.me/api/portraits/med/men/19.jpg,https://randomuser.me/api/portraits/thumb/men/19.jpg,US
