gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Mrs,Marsha,Morales,7524,W Pecan St,Costa Mesa,North Dakota,United States,75687,18.2869,92.7757,-7:00,Mountain Time (US & Canada),marsha.morales@example.com,1981-09-11T01:27:35.961Z,40,2005-01-02T12:34:23.597Z,16,(092)-129-1488,(737)-525-5013,SSN,629-26-5896,https://randomuser.me/api/portraits/women/75.jpg,https://randomuser.me/api/portraits/med/women/75.jpg,https://randomuser.me/api/portraits/thumb/women/75.jpg,US
male,Mr,John,Silva,92,Westheimer Rd,Lewisville,Delaware,United States,15812,-53.9272,150.8108,+4:30,Kabul,john.silva@example.com,1994-03-16T13:28:04.665Z,27,2009-10-10T04:27:10.100Z,12,(270)-351-5404,(939)-266-6854,SSN,245-54-5379,https://randomuser.me/api/portraits/men/30.jpg,https://randomuser.me/api/portraits/med/men/30.jpg,https://randomuser.me/api/portraits/thumb/men/30.jpg,US
male,Mr,Raymond,Russell,9835,Hamilton Ave,Fort Collins,New Jersey,United States,23183,-87.0780,171.4910,+5:45,Kathmandu,raymond.russell@example.com,1957-05-02T01:49:00.443Z,64,2012-05-18T03:44:24.443Z,9,(580)-632-0105,(180)-977-2229,SSN,911-18-4880,https://randomuser.me/api/portraits/men/58.jpg,https://randomuser.me/api/portraits/med/men/58.jpg,https://randomuser.me/api/portraits/thumb/men/58.jpg,US
female,Mrs,Tamara,Harris,5556,Prospect Rd,Kent,Alaska,United States,10320,-40.3613,129.3917,-3:30,Newfoundland,tamara.harris@example.com,1946-08-02T11:52:48.168Z,75,2011-03-02T13:38:04.646Z,10,(611)-743-8327,(418)-797-7951,SSN,582-62-9994,https://randomuser.me/api/portraits/women/4.jpg,https://randomuser.me/api/portraits/med/women/4.jpg,https://randomuser.me/api/portraits/thumb/women/4.jpg,US
male,Mr,Allen,Harper,8190,Hillcrest Rd,Oceanside,Nebraska,United States,44197,-50.7442,15.1275,-10:00,Hawaii,allen.harper@example.com,1964-01-28T14:38:59.060Z,57,2018-01-09T08:35:14.466Z,3,(503)-691-3824,(357)-749-3923,SSN,746-07-1194,https://randomuser.me/api/portraits/men/35.jpg,https://randomuser.me/api/portraits/med/men/35.jpg,https://randomuser.me/api/portraits/thumb/men/35.jpg,US
female,Ms,Jeanne,Richardson,1114,Camden Ave,Palmdale,Ohio,United States,58983,52.9842,142.3693,-8:00,Pacific Time (US & Canada),jeanne.richardson@example.com,1960-07-17T05:40:22.420Z,61,2005-01-11T20:21:49.156Z,16,(580)-592-0968,(184)-187-2361,SSN,904-33-3702,https://randomuser.me/api/portraits/women/4.jpg,https://randomuser.me/api/portraits/med/women/4.jpg,https://randomuser.me/api/portraits/thumb/women/4.jpg,US
male,Mr,Tomothy,Collins,3664,Karen Dr,Burkburnett,Pennsylvania,United States,46062,-9.5297,-37.7603,+5:45,Kathmandu,tomothy.collins@example.com,1984-11-01T11:52:57.946Z,37,2009-04-13T04:49:52.962Z,12,(411)-190-3188,(071)-599-0734,SSN,225-90-7916,https://randomuser.me/api/portraits/men/20.jpg,https://randomuser.me/api/portraits/med/men/20.jpg,https://randomuser.me/api/portraits/thumb/men/20.jpg,US
male,Mr,Vernon,Young,6164,Spring Hill Rd,Colorado Springs,Nebraska,United States,30717,-88.1088,-106.2915,-10:00,Hawaii,vernon.young@example.com,1967-07-11T00:58:29.983Z,54,2009-05-20T21:47:21.490Z,12,(624)-361-7204,(039)-752-4465,SSN,137-93-9231,https://randomuser.me/api/portraits/men/11.jpg,https://randomuser.me/api/portraits/med/men/11.jpg,https://randomuser.me/api/portraits/thumb/men/11.jpg,US
male,Mr,Mason,Jackson,7005,Eason Rd,Rio Rancho,California,United States,14368,65.8381,-24.6749,-8:00,Pacific Time (US & Canada),mason.jackson@example.com,1951-04-10T22:55:29.929Z,70,2005-01-12T22:13:11.856Z,16,(972)-279-6589,(121)-412-7744,SSN,084-41-3020,https://randomuser.me/api/portraits/men/38.jpg,https://randomuser.me/api/portraits/med/men/38.jpg,https://randomuser.me/api/portraits/thumb/men/38.jpg,US
female,Mrs,Candice,Simmmons,8905,Samaritan Dr,Anchorage,Michigan,United States,96914,-84.6231,54.8100,-3:30,Newfoundland,candice.simmmons@example.com,1981-02-28T03:40:17.717Z,40,2013-05-25T12:57:52.830Z,8,(433)-252-9138,(416)-703-8382,SSN,418-57-1826,https://randomuser.me/api/portraits/women/85.jpg,https://randomuser.me/api/portraits/med/women/85.jpg,https://randomuser.me/api/portraits/thumb/women/85.jpg,US
