gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Miss,Terry,Henry,4557,Spring St,Albany,Virginia,United States,38273,-8.0256,31.6916,-7:00,Mountain Time (US & Canada),terry.henry@example.com,1965-07-26T09:22:01.448Z,56,2004-05-13T13:35:04.526Z,17,(508)-000-3886,(442)-261-2718,SSN,730-73-3201,https://randomuser.me/api/portraits/women/57.jpg,https://randomuser.me/api/portraits/med/women/57.jpg,https://randomuser.me/api/portraits/thumb/women/57.jpg,US
male,Mr,Andy,Peck,3137,Spring St,San Mateo,North Carolina,United States,80973,35.0297,-134.1577,-8:00,Pacific Time (US & Canada),andy.peck@example.com,1950-05-21T14:50:38.691Z,71,2009-02-07T18:30:15.630Z,12,(752)-249-3179,(744)-097-1306,SSN,307-98-5140,https://randomuser.me/api/portraits/men/88.jpg,https://randomuser.me/api/portraits/med/men/88.jpg,https://randomuser.me/api/portraits/thumb/men/88.jpg,US
female,Miss,June,Peters,7341,Railroad St,Sacramento,North Carolina,United States,67977,32.4883,-140.8386,-10:00,Hawaii,june.peters@example.com,1997-07-28T16:42:53.565Z,24,2018-06-13T18:10:40.071Z,3,(738)-418-0643,(381)-779-2173,SSN,220-42-6523,https://randomuser.me/api/portraits/women/54.jpg,https://randomuser.me/api/portraits/med/women/54.jpg,https://randomuser.me/api/portraits/thumb/women/54.jpg,US
female,Miss,Kathy,Carr,5669,Oak Ridge Ln,Coppell,Idaho,United States,31900,9.5976,-51.5240,-3:30,Newfoundland,kathy.carr@example.com,1964-04-28T00:24:44.294Z,57,2002-05-29T03:17:50.880Z,19,(435)-747-2446,(423)-297-8158,SSN,111-86-5985,https://randomuser.me/api/portraits/women/58.jpg,https://randomuser.me/api/portraits/med/women/58.jpg,https://randomuser.me/api/portraits/thumb/women/58.jpg,US
male,Mr,Ralph,Chapman,4991,Taylor St,Shelby,Oklahoma,United States,82846,35.6207,65.2223,-10:00,Hawaii,ralph.chapman@example.com,1955-01-25T20:21:25.662Z,66,2007-01-27T23:46:45.970Z,14,(083)-909-3250,(714)-493-2484,SSN,139-38-2018,https://randomuser.me/api/portraits/men/11.jpg,https://randomuser.me/api/portraits/med/men/11.jpg,https://randomuser.me/api/portraits/thumb/men/11.jpg,US
female,Mrs,Madison,Mills,4775,Photinia Ave,Chandler,Rhode Island,United States,37621,28.8601,-158.9318,-7:00,Mountain Time (US & Canada),madison.mills@example.com,1981-04-26T04:02:25.828Z,40,2017-12-18T14:33:20.180Z,4,(633)-781-9480,(212)-207-1961,SSN,093-29-1425,https://randomuser.me/api/portraits/women/20.jpg,https://randomuser.me/api/portraits/med/women/20.jpg,https://randomuser.me/api/portraits/thumb/women/20.jpg,US
female,Ms,Marie,Rice,7627,Cherry St,Mesa,Rhode Island,United States,13746,-85.6593,-112.9965,+5:45,Kathmandu,marie.rice@example.com,1995-09-20T05:48:56.977Z,26,2016-12-08T22:08:33.052Z,5,(286)-090-4396,(142)-730-0586,SSN,019-16-3231,https://randomuser.me/api/portraits/women/2.jpg,https://randomuser.me/api/portraits/med/women/2.jpg,https://randomuser.me/api/portraits/thumb/women/2.jpg,US
female,Ms,Camila,Griffin,67,Elgin St,Forney,Wyoming,United States,79997,-83.2722,-68.7752,-9:00,Alaska,camila.griffin@example.com,1977-09-15T00:17:39.806Z,44,2017-03-02T08:12:58.186Z,4,(460)-333-4810,(492)-252-2553,SSN,862-53-2397,https://randomuser.me/api/portraits/women/80.jpg,https://randomuser.me/api/portraits/med/women/80.jpg,https://randomuser.me/api/portraits/thumb/women/80.jpg,US
female,Mrs,Marilyn,Wagner,9551,Homestead Rd,High Point,Illinois,United States,12860,-0.8961,157.9407,-7:00,Mountain Time (US & Canada),marilyn.wagner@example.com,1949-10-31T18:46:56.501Z,72,2017-02-16T07:11:22.128Z,4,(115)-449-4258,(056)-461-4776,SSN,496-18-3135,https://randomuser.me/api/portraits/women/15.jpg,https://randomuser.me/api/portraits/med/women/15.jpg,https://randomuser.me/api/portraits/thumb/women/15.jpg,US
female,Miss,Serenity,Sutton,3698,Harrison Ct,Fairfield,Indiana,United States,86028,75.2990,-25.7916,-10:00,Hawaii,serenity.sutton@example.com,1978-05-07T11:02:04.682Z,43,2015-04-18T03:18:53.043Z,6,(206)-992-7056,(929)-613-4975,SSN,167-66-8815,https://randomuser.me/api/portraits/women/56.jpg,https://randomuser.me/api/portraits/med/women/56.jpg,https://randomuser.me/api/portraits/thumb/women/56.jpg,US
