gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,David,Wright,8802,Eason Rd,Elko,Montana,United States,35349,-23.0513,93.7707,-9:00,Alaska,david.wright@example.com,1948-03-23T03:50:38.086Z,73,2008-03-18T03:03:19.774Z,13,(253)-956-2771,(024)-596-9692,SSN,342-16-1919,https://randomuser.me/api/portraits/men/99.jpg,https://randomuser.me/api/portraits/med/men/99.jpg,https://randomuser.me/api/portraits/thumb/men/99.jpg,US
male,Mr,Billy,Lopez,4943,Sunset St,Lakeland,Maine,United States,53080,-76.0194,-40.3326,-2:00,Mid-Atlantic,billy.lopez@example.com,1958-03-19T13:27:05.944Z,63,2010-11-09T20:34:11.041Z,11,(410)-621-0906,(007)-374-5421,SSN,955-13-7090,https://randomuser.me/api/portraits/men/20.jpg,https://randomuser.me/api/portraits/med/men/20.jpg,https://randomuser.me/api/portraits/thumb/men/20.jpg,US
female,Mrs,Alice,Ellis,4157,Hunters Creek Dr,Anchorage,Kansas,United States,80655,64.9974,-48.1116,-2:00,Mid-Atlantic,alice.ellis@example.com,1965-01-12T21:43:37.024Z,56,2015-08-20T20:29:27.028Z,6,(513)-663-9702,(349)-274-5544,SSN,856-95-8719,https://randomuser.me/api/portraits/women/66.jpg,https://randomuser.me/api/portraits/med/women/66.jpg,https://randomuser.me/api/portraits/thumb/women/66.jpg,US
female,Mrs,Marcia,Brown,6364,Rolling Green Rd,Desoto,Florida,United States,20801,-2.9922,-34.6145,-2:00,Mid-Atlantic,marcia.brown@example.com,1990-12-23T05:05:56.756Z,31,2014-05-29T20:34:31.295Z,7,(238)-952-7927,(893)-815-2547,SSN,842-19-0754,https://randomuser.me/api/portraits/women/88.jpg,https://randomuser.me/api/portraits/med/women/88.jpg,https://randomuser.me/api/portraits/thumb/women/88.jpg,US
male,Mr,Leo,Hudson,225,Plum St,Surprise,West Virginia,United States,58342,-8.4629,-46.6562,-2:00,Mid-Atlantic,leo.hudson@example.com,1949-10-09T04:55:04.379Z,72,2007-06-25T03:14:44.128Z,14,(581)-394-1801,(871)-196-1481,SSN,898-92-8034,https://randomuser.me/api/portraits/men/15.jpg,https://randomuser.me/api/portraits/med/men/15.jpg,https://randomuser.me/api/portraits/thumb/men/15.jpg,US
male,Mr,Roberto,Alexander,2639,W Gray St,Tucson,Virginia,United States,32710,-11.7247,168.1232,-3:30,Newfoundland,roberto.alexander@example.com,1965-01-13T11:07:34.053Z,56,2011-08-11T13:00:50.558Z,10,(378)-983-1083,(370)-197-3557,SSN,159-93-9491,https://randomuser.me/api/portraits/men/1.jpg,https://randomuser.me/api/portraits/med/men/1.jpg,https://randomuser.me/api/portraits/thumb/men/1.jpg,US
female,Miss,Crystal,Wells,3096,Camden Ave,Columbus,Florida,United States,39640,-45.0195,122.1077,-3:30,Newfoundland,crystal.wells@example.com,1953-06-13T09:05:02.027Z,68,2004-04-15T12:17:21.230Z,17,(784)-193-6116,(703)-439-7083,SSN,051-41-5657,https://randomuser.me/api/portraits/women/58.jpg,https://randomuser.me/api/portraits/med/women/58.jpg,https://randomuser.me/api/portraits/thumb/women/58.jpg,US
male,Mr,Victor,Boyd,2187,Marsh Ln,Altoona,New York,United States,83719,76.4001,123.0175,-8:00,Pacific Time (US & Canada),victor.boyd@example.com,1944-11-03T06:17:52.932Z,77,2018-10-04T17:54:06.825Z,3,(078)-790-4578,(502)-729-5376,SSN,460-39-0689,https://randomuser.me/api/portraits/men/1.jpg,https://randomuser.me/api/portraits/med/men/1.jpg,https://randomuser.me/api/portraits/thumb/men/1.jpg,US
male,Mr,Erik,Watkins,9081,White Oak Dr,Kent,Illinois,United States,74261,25.1464,-145.4572,-7:00,Mountain Time (US & Canada),erik.watkins@example.com,1994-02-04T14:31:58.059Z,27,2004-10-08T10:28:08.297Z,17,(585)-027-1266,(297)-187-3256,SSN,711-63-3915,https://randomuser.me/api/portraits/men/6.jpg,https://randomuser.me/api/portraits/med/men/6.jpg,https://randomuser.me/api/portraits/thumb/men/6.jpg,US
female,Mrs,Gabriella,Mills,2500,Photinia Ave,Alexandria,Utah,United States,91749,24.2961,168.2156,-7:00,Mountain Time (US & Canada),gabriella.mills@example.com,1981-05-29T14:03:11.660Z,40,2018-09-05T02:12:43.916Z,3,(031)-411-3535,(848)-880-2987,SSN,393-44-9844,https://randomuser.me/api/portraits/women/3.jpg,https://randomuser.me/api/portraits/med/women/3.jpg,https://randomuser.me/api/portraits/thumb/women/3.jpg,US
