gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Mrs,Lorraine,Watson,1513,Oak Ridge Ln,Akron,Maryland,United States,13034,60.4207,99.9390,-7:00,Mountain Time (US & Canada),lorraine.watson@example.com,1985-04-02T13:21:48.931Z,36,2012-05-12T05:08:40.477Z,9,(490)-730-4780,(989)-996-2619,SSN,474-90-4416,https://randomuser.me/api/portraits/women/92.jpg,https://randomuser.me/api/portraits/med/women/92.jpg,https://randomuser.me/api/portraits/thumb/women/92.jpg,US
male,Mr,Rafael,Vargas,9642,W Campbell Ave,Los Angeles,Oregon,United States,98476,-60.9468,-81.7659,-10:00,Hawaii,rafael.vargas@example.com,1955-03-09T03:36:09.420Z,66,2014-01-14T21:17:27.490Z,7,(090)-896-8305,(728)-010-1912,SSN,303-78-6651,https://randomuser.me/api/portraits/men/7.jpg,https://randomuser.me/api/portraits/med/men/7.jpg,https://randomuser.me/api/portraits/thumb/men/7.jpg,US
male,Mr,Rodney,Lee,6258,W Gray St,Redding,Nevada,United States,12954,-28.5036,165.6727,-3:30,Newfoundland,rodney.lee@example.com,1972-04-17T08:45:59.073Z,49,2002-04-14T17:32:17.937Z,19,(150)-788-3631,(852)-936-7026,SSN,832-08-6687,https://randomuser.me/api/portraits/men/75.jpg,https://randomuser.me/api/portraits/med/men/75.jpg,https://randomuser.me/api/portraits/thumb/men/75.jpg,US
male,Mr,Gene,Warren,6880,Adams St,Surprise,Louisiana,United States,57175,82.4671,-138.4823,+3:30,Tehran,gene.warren@example.com,1981-07-28T19:37:41.329Z,40,2016-11-07T04:17:50.646Z,5,(610)-965-5522,(582)-148-1604,SSN,853-59-4111,https://randomuser.me/api/portraits/men/1.jpg,https://randomuser.me/api/portraits/med/men/1.jpg,https://randomuser.me/api/portraits/thumb/men/1.jpg,US
female,Mrs,Olivia,Barnett,1061,Valwood Pkwy,Eugene,Kansas,United States,26260,-63.9707,109.4321,-8:00,Pacific Time (US & Canada),olivia.barnett@example.com,1957-10-15T23:30:45.812Z,64,2008-03-21T08:55:18.396Z,13,(090)-987-3846,(366)-621-4224,SSN,096-21-6550,https://randomuser.me/api/portraits/women/57.jpg,https://randomuser.me/api/portraits/med/women/57.jpg,https://randomuser.me/api/portraits/thumb/women/57.jpg,US
male,Mr,Walter,Lambert,273,Camden Ave,San Diego,Maryland,United States,59924,23.6056,42.2329,+4:30,Kabul,walter.lambert@example.com,1955-04-25T00:49:28.068Z,66,2012-01-07T15:56:19.784Z,9,(897)-770-4086,(261)-722-4203,SSN,193-77-3651,https://randomuser.me/api/portraits/men/99.jpg,https://randomuser.me/api/portraits/med/men/99.jpg,https://randomuser.me/api/portraits/thumb/men/99.jpg,US
female,Ms,Arianna,Phillips,2629,Woodland St,Sioux Falls,Utah,United States,86191,69.1915,129.5355,+3:30,Tehran,arianna.phillips@example.com,1991-07-26T06:49:49.046Z,30,2003-06-10T10:47:05.972Z,18,(898)-408-3493,(600)-105-0965,SSN,383-08-9896,https://randomuser.me/api/portraits/women/50.jpg,https://randomuser.me/api/portraits/med/women/50.jpg,https://randomuser.me/api/portraits/thumb/women/50.jpg,US
female,Miss,Amanda,Allen,3363,James St,San Francisco,Wyoming,United States,56688,-17.5837,-136.9229,+5:45,Kathmandu,amanda.allen@example.com,1983-12-02T02:04:10.096Z,38,2002-11-20T02:05:46.544Z,19,(752)-211-6878,(240)-666-6909,SSN,778-01-2714,https://randomuser.me/api/portraits/women/0.jpg,https://randomuser.me/api/portraits/med/women/0.jpg,https://randomuser.me/api/portraits/thumb/women/0.jpg,US
male,Mr,Tom,King,6621,Country Club Rd,Irvine,New Hampshire,United States,39411,55.3046,174.8719,-7:00,Mountain Time (US & Canada),tom.king@example.com,1962-09-27T14:32:39.417Z,59,2009-07-16T06:37:50.322Z,12,(136)-484-9789,(771)-947-1108,SSN,634-92-6142,https://randomuser.me/api/portraits/men/49.jpg,https://randomuser.me/api/portraits/med/men/49.jpg,https://randomuser.me/api/portraits/thumb/men/49.jpg,US
male,Mr,Marvin,Diaz,1881,Poplar Dr,Yonkers,Maine,United States,57598,-83.5524,97.9928,-7:00,Mountain Time (US & Canada),marvin.diaz@example.com,1953-07-07T19:07:23.511Z,68,2011-03-06T15:35:34.814Z,10,(636)-054-2341,(155)-145-9640,SSN,076-14-4070,https://randomuser.me/api/portraits/men/36.jpg,https://randomuser.me/api/portraits/med/men/36.jpg,https://randomuser.me/api/portraits/thumb/men/36.jpg,US
male,Mr,Terry,Lawson,2692,Ash Dr,Palmdale,Minnesota,United States,63540,-31.2194,132.1990,+3:30,Tehran,terry.lawson@example.com,1947-10-17T12:31:40.848Z,74,2010-10-03T08:34:47.524Z,11,(255)-152-9483,(099)-004-9716,SSN,740-71-7544,https://randomuser.me/api/portraits/men/22.jpg,https://randomuser.me/api/portraits/med/men/22.jpg,https://randomuser.me/api/portraits/thumb/men/22.jpg,US
male,Mr,Nathaniel,Chambers,1063,Wycliff Ave,Roanoke,Kentucky,United States,71076,-1.1485,-142.5526,+4:30,Kabul,nathaniel.chambers@example.com,1984-07-24T01:39:25.759Z,37,2009-01-08T19:56:25.700Z,12,(928)-143-7048,(798)-862-6709,SSN,018-64-4863,https://randomuser.me/api/portraits/men/80.jpg,https://randomuser.me/api/portraits/med/men/80.jpg,https://randomuser.me/api/portraits/thumb/men/80.jpg,US
female,Miss,Shannon,Mcdonalid,362,Sunset St,Akron,Iowa,United States,91815,-52.7564,-110.2128,-7:00,Mountain Time (US & Canada),shannon.mcdonalid@example.com,1990-12-30T07:20:22.805Z,31,2002-09-07T14:23:42.032Z,19,(236)-942-6094,(306)-277-5778,SSN,899-90-6840,https://randomuser.me/api/portraits/women/73.jpg,https://randomuser.me/api/portraits/med/women/73.jpg,https://randomuser.me/api/portraits/thumb/women/73.jpg,US
male,Mr,Dean,Jordan,840,W Pecan St,Richardson,California,United States,95912,5.5671,14.0651,+5:45,Kathmandu,dean.jordan@example.com,1960-10-28T06:48:40.684Z,61,2009-09-16T11:25:17.283Z,12,(302)-593-4961,(464)-264-5211,SSN,010-58-4839,https://randomuser.me/api/portraits/men/23.jpg,https://randomuser.me/api/portraits/med/men/23.jpg,https://randomuser.me/api/portraits/thumb/men/23.jpg,US
female,Miss,Lynn,Garcia,9211,Wycliff Ave,Oxnard,Arkansas,United States,25193,53.5038,104.4471,-10:00,Hawaii,lynn.garcia@example.com,1973-02-13T22:00:45.463Z,48,2017-06-05T17:27:15.603Z,4,(216)-646-2514,(251)-703-5578,SSN,129-39-3973,https://randomuser.me/api/portraits/women/25.jpg,https://randomuser.me/api/portraits/med/women/25.jpg,https://randomuser.me/api/portraits/thumb/women/25.jpg,US
female,Mrs,Isobel,May,2966,Hamilton Ave,Boston,North Carolina,United States,25467,49.0581,93.3832,-7:00,Mountain Time (US & Canada),isobel.may@example.com,1965-06-18T04:57:53.174Z,56,2005-07-19T19:42:02.454Z,16,(293)-288-3570,(547)-156-6937,SSN,809-66-2449,https://randomuser.me/api/portraits/women/10.jpg,https://randomuser.me/api/portraits/med/women/10.jpg,https://randomuser.me/api/portraits/thumb/women/10.jpg,US
male,Mr,John,Weaver,1913,Groveland Terrace,Minneapolis,Rhode Island,United States,92182,48.6152,-112.0393,+5:45,Kathmandu,john.weaver@example.com,1953-07-04T06:21:16.085Z,68,2004-07-12T13:13:18.847Z,17,(626)-998-9881,(100)-895-3017,SSN,108-21-3310,https://randomuser.me/api/portraits/men/47.jpg,https://randomuser.me/api/portraits/med/men/47.jpg,https://randomuser.me/api/portraits/thumb/men/47.jpg,US
