gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Mrs,Joan,Russell,767,Spring St,Fountain Valley,Indiana,United States,38143,75.4636,86.6814,-7:00,Mountain Time (US & Canada),joan.russell@example.com,1977-06-11T14:36:20.146Z,44,2013-05-18T10:27:06.241Z,8,(651)-203-8101,(101)-308-7833,SSN,258-38-9994,https://randomuser.me/api/portraits/women/49.jpg,https://randomuser.me/api/portraits/med/women/49.jpg,https://randomuser.me/api/portraits/thumb/women/49.jpg,US
female,Ms,Jennie,Hansen,5009,Frances Ct,Fort Collins,Illinois,United States,23435,-84.9001,97.4867,+3:30,Tehran,jennie.hansen@example.com,1980-09-29T20:10:32.586Z,41,2018-05-17T08:24:44.052Z,3,(887)-475-2791,(608)-641-6464,SSN,015-72-6220,https://randomuser.me/api/portraits/women/59.jpg,https://randomuser.me/api/portraits/med/women/59.jpg,https://randomuser.me/api/portraits/thumb/women/59.jpg,US
female,Mrs,Gloria,Howell,9466,Paddock Way,Cincinnati,Arizona,United States,49659,-83.7849,178.6759,-2:00,Mid-Atlantic,gloria.howell@example.com,1977-06-19T15:44:48.566Z,44,2009-12-10T09:15:37.840Z,12,(672)-489-6994,(728)-805-5405,SSN,369-43-5678,https://randomuser.me/api/portraits/women/14.jpg,https://randomuser.me/api/portraits/med/women/14.jpg,https://randomuser.me/api/portraits/thumb/women/14.jpg,US
female,Ms,Melinda,Ward,7840,Dogwood Ave,Elk Grove,Oklahoma,United States,50589,-48.0033,124.4372,-7:00,Mountain Time (US & Canada),melinda.ward@example.com,1977-01-21T14:57:50.541Z,44,2008-04-26T07:14:57.941Z,13,(545)-959-0542,(255)-791-3854,SSN,212-90-4556,https://randomuser.me/api/portraits/women/51.jpg,https://randomuser.me/api/portraits/med/women/51.jpg,https://randomuser.me/api/portraits/thumb/women/51.jpg,US
male,Mr,John,Cruz,6270,Fairview St,Providence,Minnesota,United States,27662,17.8747,0.3063,-9:00,Alaska,john.cruz@example.com,1981-02-26T04:27:27.925Z,40,2007-05-05T07:41:07.843Z,14,(257)-926-2377,(632)-333-7558,SSN,246-37-6755,https://randomuser.me/api/portraits/men/16.jpg,https://randomuser.me/api/portraits/med/men/16.jpg,https://randomuser.me/api/portraits/thumb/men/16.jpg,US
male,Mr,Alan,Sutton,2016,Ash Dr,Worcester,Montana,United States,65081,-70.4084,-74.7965,-2:00,Mid-Atlantic,alan.sutton@example.com,1958-09-23T22:54:08.504Z,63,2017-10-03T09:41:28.810Z,4,(484)-310-8683,(468)-813-6898,SSN,583-35-3369,https://randomuser.me/api/portraits/men/93.jpg,https://randomuser.me/api/portraits/med/men/93.jpg,https://randomuser.me/api/portraits/thumb/men/93.jpg,US
female,Ms,Rita,Carr,5129,Saddle Dr,Daly City,Minnesota,United States,37505,84.9269,87.5701,-3:30,Newfoundland,rita.carr@example.com,1961-03-23T11:44:18.334Z,60,2016-12-04T09:58:40.407Z,5,(041)-702-5330,(525)-124-9746,SSN,671-56-8321,https://randomuser.me/api/portraits/women/72.jpg,https://randomuser.me/api/portraits/med/women/72.jpg,https://randomuser.me/api/portraits/thumb/women/72.jpg,US
female,Miss,Melanie,Spencer,8467,Poplar Dr,Sioux Falls,New Hampshire,United States,33337,31.0499,30.6930,-9:00,Alaska,melanie.spencer@example.com,1950-10-01T01:06:56.210Z,71,2013-08-06T18:28:19.863Z,8,(138)-788-3091,(537)-894-9030,SSN,992-86-4611,https://randomuser.me/api/portraits/women/65.jpg,https://randomuser.me/api/portraits/med/women/65.jpg,https://randomuser.me/api/portraits/thumb/women/65.jpg,US
female,Miss,Stacey,Hamilton,3672,Depaul Dr,Independence,Illinois,United States,45704,-19.3004,-48.3804,-10:00,Hawaii,stacey.hamilton@example.com,1981-07-31T04:20:34.475Z,40,2009-04-19T12:33:14.604Z,12,(309)-467-1171,(915)-002-5591,SSN,872-94-2338,https://randomuser.me/api/portraits/women/81.jpg,https://randomuser.me/api/portraits/med/women/81.jpg,https://randomuser.me/api/portraits/thumb/women/81.jpg,US
male,Mr,Thomas,Holmes,513,Adams St,Des Moines,Indiana,United States,96898,1.6049,-174.6982,+5:45,Kathmandu,thomas.holmes@example.com,1990-02-20T09:53:43.116Z,31,2013-09-10T18:27:15.791Z,8,(295)-991-9240,(931)-215-3788,SSN,543-81-6045,https://randomuser.me/api/portraits/men/25.jpg,https://randomuser.me/api/portraits/med/men/25.jpg,https://randomuser.me/api/portraits/thumb/men/25.jpg,US
