gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Miss,Meghan,Matthews,6007,Lakeview St,Victorville,Kansas,United States,29266,77.5874,127.8080,+3:30,Tehran,meghan.matthews@example.com,1974-01-20T16:56:38.130Z,47,2010-12-01T11:35:44.643Z,11,(991)-862-0193,(109)-865-6880,SSN,096-68-5285,https://randomuser.me/api/portraits/women/74.jpg,https://randomuser.me/api/portraits/med/women/74.jpg,https://randomuser.me/api/portraits/thumb/women/74.jpg,US
male,Mr,Joshua,Wagner,5318,E Little York Rd,Beaumont,Illinois,United States,48231,4.6668,104.2093,-9:00,Alaska,joshua.wagner@example.com,1963-05-05T17:17:15.814Z,58,2008-12-16T17:53:19.472Z,13,(173)-925-1697,(741)-222-9465,SSN,672-50-7827,https://randomuser.me/api/portraits/men/78.jpg,https://randomuser.me/api/portraits/med/men/78.jpg,https://randomuser.me/api/portraits/thumb/men/78.jpg,US
female,Miss,Kitty,Knight,4410,Frances Ct,Daly City,Wisconsin,United States,31268,8.4386,-132.6087,-9:00,Alaska,kitty.knight@example.com,1977-06-20T22:08:38.313Z,44,2009-07-07T12:54:33.499Z,12,(558)-636-0065,(274)-262-6208,SSN,591-17-9017,https://randomuser.me/api/portraits/women/60.jpg,https://randomuser.me/api/portraits/med/women/60.jpg,https://randomuser.me/api/portraits/thumb/women/60.jpg,US
female,Miss,Beverly,Garcia,178,Timber Wolf Trail,Aurora,Michigan,United States,30457,67.3144,24.4701,+4:30,Kabul,beverly.garcia@example.com,1946-06-30T01:13:42.079Z,75,2019-02-10T21:58:19.596Z,2,(937)-271-0317,(029)-298-1472,SSN,053-96-5841,https://randomuser.me/api/portraits/women/70.jpg,https://randomuser.me/api/portraits/med/women/70.jpg,https://randomuser.me/api/portraits/thumb/women/70.jpg,US
male,Mr,Bernard,Hicks,5532,Daisy Dr,New Orleans,New Mexico,United States,14353,-70.1077,135.7301,-10:00,Hawaii,bernard.hicks@example.com,1954-10-06T23:54:30.264Z,67,2017-04-23T07:52:11.197Z,4,(171)-456-7238,(826)-411-9002,SSN,888-00-8736,https://randomuser.me/api/portraits/men/17.jpg,https://randomuser.me/api/portraits/med/men/17.jpg,https://randomuser.me/api/portraits/thumb/men/17.jpg,US
male,Mr,Gene,Garza,1950,Hillcrest Rd,Las Vegas,Minnesota,United States,78965,76.6348,-112.2518,-2:00,Mid-Atlantic,gene.garza@example.com,1993-01-30T01:39:55.298Z,28,2014-07-22T05:14:13.123Z,7,(763)-263-6077,(746)-358-8471,SSN,884-39-1018,https://randomuser.me/api/portraits/men/21.jpg,https://randomuser.me/api/portraits/med/men/21.jpg,https://randomuser.me/api/portraits/thumb/men/21.jpg,US
female,Ms,Emily,Harris,7580,Miller Ave,Edison,Nevada,United States,53616,-47.6290,13.1123,-7:00,Mountain Time (US & Canada),emily.harris@example.com,1979-07-23T11:30:10.401Z,42,2012-06-16T12:03:42.216Z,9,(547)-988-2418,(465)-808-2921,SSN,827-15-8492,https://randomuser.me/api/portraits/women/73.jpg,https://randomuser.me/api/portraits/med/women/73.jpg,https://randomuser.me/api/portraits/thumb/women/73.jpg,US
female,Miss,Noelle,Butler,414,Hunters Creek Dr,Woodbridge,Nevada,United States,95742,20.0937,1.4443,-3:30,Newfoundland,noelle.butler@example.com,1947-10-17T16:02:45.179Z,74,2010-07-25T18:02:59.647Z,11,(671)-314-9553,(526)-951-2720,SSN,410-31-3718,https://randomuser.me/api/portraits/women/35.jpg,https://randomuser.me/api/portraits/med/women/35.jpg,https://randomuser.me/api/portraits/thumb/women/35.jpg,US
female,Mrs,Cassandra,Byrd,2230,Crockett St,Van Alstyne,Utah,United States,70243,-11.1763,-98.1707,+5:45,Kathmandu,cassandra.byrd@example.com,1984-02-18T18:33:59.061Z,37,2010-09-22T09:00:55.186Z,11,(192)-151-2953,(289)-057-7655,SSN,795-00-6856,https://randomuser.me/api/portraits/women/19.jpg,https://randomuser.me/api/portraits/med/women/19.jpg,https://randomuser.me/api/portraits/thumb/women/19.jpg,US
female,Miss,Terri,Freeman,1480,Photinia Ave,Everett,Nebraska,United States,41327,59.3297,163.4548,-8:00,Pacific Time (US & Canada),terri.freeman@example.com,1951-05-05T00:12:58.124Z,70,2009-11-06T22:42:59.710Z,12,(372)-137-5823,(355)-089-0016,SSN,433-09-3031,https://randomuser.me/api/portraits/women/16.jpg,https://randomuser.me/api/portraits/med/women/16.jpg,https://randomuser.me/api/portraits/thumb/women/16.jpg,US
