gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Ms,Camila,Lewis,2628,Mockingbird Hill,Dumas,Nevada,United States,99849,79.0721,-143.4409,-9:00,Alaska,camila.lewis@example.com,1953-02-07T12:24:14.452Z,68,2017-11-13T02:50:47.019Z,4,(202)-766-7782,(293)-821-1293,SSN,077-51-4465,https://randomuser.me/api/portraits/women/27.jpg,https://randomuser.me/api/portraits/med/women/27.jpg,https://randomuser.me/api/portraits/thumb/women/27.jpg,US
female,Mrs,Brittany,Payne,9491,Country Club Rd,Bridgeport,Kansas,United States,90622,-42.5708,-87.5880,-10:00,Hawaii,brittany.payne@example.com,1953-03-29T17:59:33.118Z,68,2003-08-11T20:48:13.077Z,18,(452)-490-2242,(728)-746-6942,SSN,755-00-1176,https://randomuser.me/api/portraits/women/90.jpg,https://randomuser.me/api/portraits/med/women/90.jpg,https://randomuser.me/api/portraits/thumb/women/90.jpg,US
female,Ms,Tracey,Taylor,3394,Bruce St,Inglewood,Arizona,United States,45832,-83.8061,124.3557,-2:00,Mid-Atlantic,tracey.taylor@example.com,1965-08-26T02:12:47.699Z,56,2014-10-28T17:57:03.014Z,7,(853)-087-1312,(792)-175-3930,SSN,490-90-8174,https://randomuser.me/api/portraits/women/12.jpg,https://randomuser.me/api/portraits/med/women/12.jpg,https://randomuser.me/api/portraits/thumb/women/12.jpg,US
male,Mr,Daryl,Gregory,9617,Westheimer Rd,Long Beach,Vermont,United States,70159,-48.0439,-91.8027,-10:00,Hawaii,daryl.gregory@example.com,1974-02-04T07:50:55.380Z,47,2003-01-23T03:15:00.434Z,18,(906)-537-2373,(728)-949-3948,SSN,800-79-7038,https://randomuser.me/api/portraits/men/76.jpg,https://randomuser.me/api/portraits/med/men/76.jpg,https://randomuser.me/api/portraits/thumb/men/76.jpg,US
male,Mr,Clinton,Lambert,2296,White Oak Dr,Yonkers,Massachusetts,United States,27115,38.5271,-88.3596,+4:30,Kabul,clinton.lambert@example.com,1978-04-12T00:11:37.692Z,43,2010-12-14T07:33:34.153Z,11,(612)-430-2360,(459)-587-8749,SSN,485-12-7979,https://randomuser.me/api/portraits/men/44.jpg,https://randomuser.me/api/portraits/med/men/44.jpg,https://randomuser.me/api/portraits/thumb/men/44.jpg,US
male,Mr,Roger,Wheeler,5218,Washington Ave,Houston,Montana,United States,46153,69.2887,12.1510,-3:30,Newfoundland,roger.wheeler@example.com,1969-08-27T11:27:50.578Z,52,2006-06-29T13:57:50.381Z,15,(095)-232-5095,(437)-852-8972,SSN,791-65-6299,https://randomuser.me/api/portraits/men/57.jpg,https://randomuser.me/api/portraits/med/men/57.jpg,https://randomuser.me/api/portraits/thumb/men/57.jpg,US
male,Mr,Tim,Cox,707,Royal Ln,Aurora,North Carolina,United States,80502,47.6711,-85.0827,-7:00,Mountain Time (US & Canada),tim.cox@example.com,1960-06-01T16:07:08.197Z,61,2002-08-17T21:57:32.996Z,19,(803)-568-7920,(253)-925-9051,SSN,270-57-6594,https://randomuser.me/api/portraits/men/26.jpg,https://randomuser.me/api/portraits/med/men/26.jpg,https://randomuser.me/api/portraits/thumb/men/26.jpg,US
female,Miss,Esther,Bishop,2251,Paddock Way,High Point,Massachusetts,United States,13109,-16.2466,32.7259,+4:30,Kabul,esther.bishop@example.com,1987-10-25T17:30:10.037Z,34,2004-11-15T03:13:56.699Z,17,(790)-637-8364,(159)-384-3312,SSN,656-35-6099,https://randomuser.me/api/portraits/women/35.jpg,https://randomuser.me/api/portraits/med/women/35.jpg,https://randomuser.me/api/portraits/thumb/women/35.jpg,US
male,Mr,Jordan,Johnston,4424,Cackson St,Hialeah,Washington,United States,91041,-86.0129,-102.3115,+3:30,Tehran,jordan.johnston@example.com,1982-08-10T06:01:01.149Z,39,2002-04-17T16:40:11.080Z,19,(260)-722-1792,(278)-007-6710,SSN,110-21-6358,https://randomuser.me/api/portraits/men/41.jpg,https://randomuser.me/api/portraits/med/men/41.jpg,https://randomuser.me/api/portraits/thumb/men/41.jpg,US
male,Mr,Kevin,Bennett,7488,W Sherman Dr,Moreno Valley,Mississippi,United States,87306,84.3938,-154.6846,+4:30,Kabul,kevin.bennett@example.com,1997-10-06T15:20:59.085Z,24,2015-07-15T19:40:09.006Z,6,(073)-347-1720,(063)-281-2121,SSN,487-64-9376,https://randomuser.me/api/portraits/men/51.jpg,https://randomuser.me/api/portraits/med/men/51.jpg,https://randomuser.me/api/portraits/thumb/men/51.jpg,US
female,Miss,Marion,Burton,2985,Lone Wolf Trail,Waxahachie,Oklahoma,United States,22787,-88.3373,-18.8256,-9:00,Alaska,marion.burton@example.com,1981-06-09T15:11:56.026Z,40,2007-05-26T11:00:57.725Z,14,(051)-890-3154,(753)-199-1703,SSN,703-95-5926,https://randomuser.me/api/portraits/women/76.jpg,https://randomuser.me/api/portraits/med/women/76.jpg,https://randomuser.me/api/portraits/thumb/women/76.jpg,US
male,Mr,Jackson,Moore,1391,Country Club Rd,Van Alstyne,Oklahoma,United States,70546,-34.9074,11.4808,+4:30,Kabul,jackson.moore@example.com,1971-03-28T22:45:11.510Z,50,2012-02-18T18:13:18.597Z,9,(198)-347-5575,(852)-673-9992,SSN,070-53-5410,https://randomuser.me/api/portraits/men/70.jpg,https://randomuser.me/api/portraits/med/men/70.jpg,https://randomuser.me/api/portraits/thumb/men/70.jpg,US
female,Miss,Margie,Kuhn,7397,Robinson Rd,Laredo,Idaho,United States,68359,-83.7806,-150.5649,-2:00,Mid-Atlantic,margie.kuhn@example.com,1988-12-23T14:45:06.092Z,33,2017-08-19T10:59:54.890Z,4,(984)-520-8430,(133)-068-7103,SSN,976-54-1025,https://randomuser.me/api/portraits/women/64.jpg,https://randomuser.me/api/portraits/med/women/64.jpg,https://randomuser.me/api/portraits/thumb/women/64.jpg,US
female,Mrs,Suzanne,Lawrence,2732,Frances Ct,Princeton,Missouri,United States,54565,-35.1236,-114.5597,-8:00,Pacific Time (US & Canada),suzanne.lawrence@example.com,1961-09-04T11:21:48.298Z,60,2007-12-12T01:18:52.807Z,14,(457)-713-0805,(244)-078-7746,SSN,493-46-9198,https://randomuser.me/api/portraits/women/84.jpg,https://randomuser.me/api/portraits/med/women/84.jpg,https://randomuser.me/api/portraits/thumb/women/84.jpg,US
female,Ms,Sally,Hernandez,6637,Taylor St,Seymour,Wyoming,United States,19825,-48.6114,137.7608,+4:30,Kabul,sally.hernandez@example.com,1989-05-18T18:55:29.304Z,32,2011-07-23T00:57:14.461Z,10,(565)-877-4441,(896)-379-6691,SSN,010-36-2970,https://randomuser.me/api/portraits/women/25.jpg,https://randomuser.me/api/portraits/med/women/25.jpg,https://randomuser.me/api/portraits/thumb/women/25.jpg,US
female,Mrs,Ashley,Allen,874,Eason Rd,Lakeland,Mississippi,United States,49416,11.5020,-24.6945,-8:00,Pacific Time (US & Canada),ashley.allen@example.com,1973-01-12T02:37:09.288Z,48,2010-03-27T01:51:37.257Z,11,(292)-531-1930,(569)-883-3746,SSN,083-40-0097,https://randomuser.me/api/portraits/women/49.jpg,https://randomuser.me/api/portraits/med/women/49.jpg,https://randomuser.me/api/portraits/thumb/women/49.jpg,US
female,Mrs,Abigail,Jenkins,7923,Groveland Terrace,Gainesville,Delaware,United States,50263,-37.8086,156.3991,-3:30,Newfoundland,abigail.jenkins@example.com,1957-05-14T09:25:05.225Z,64,2013-03-13T22:26:53.313Z,8,(955)-877-5639,(845)-601-7149,SSN,068-06-2274,https://randomuser.me/api/portraits/women/42.jpg,https://randomuser.me/api/portraits/med/women/42.jpg,https://randomuser.me/api/portraits/thumb/women/42.jpg,US
male,Mr,Juan,Sanders,7868,E Center St,Hollywood,Oregon,United States,37344,-74.5401,88.3276,-7:00,Mountain Time (US & Canada),juan.sanders@example.com,1956-06-10T18:14:25.174Z,65,2009-03-07T21:56:34.859Z,12,(809)-063-2914,(259)-682-5073,SSN,813-19-6475,https://randomuser.me/api/portraits/men/73.jpg,https://randomuser.me/api/portraits/med/men/73.jpg,https://randomuser.me/api/portraits/thumb/men/73.jpg,US
female,Ms,Maxine,Tucker,4206,Elgin St,Riverside,Nevada,United States,42606,77.1937,-92.5713,-3:30,Newfoundland,maxine.tucker@example.com,1948-08-28T01:48:22.847Z,73,2007-01-04T12:04:33.268Z,14,(439)-977-5028,(614)-501-9413,SSN,533-49-9588,https://randomuser.me/api/portraits/women/20.jpg,https://randomuser.me/api/portraits/med/women/20.jpg,https://randomuser.me/api/portraits/thumb/women/20.jpg,US
female,Miss,Martha,Hall,1772,Frances Ct,Orlando,Wyoming,United States,82330,5.9577,-9.5789,-3:30,Newfoundland,martha.hall@example.com,1964-05-03T17:41:36.513Z,57,2005-02-10T02:09:25.544Z,16,(634)-436-9597,(948)-424-0695,SSN,159-85-9816,https://randomuser.me/api/portraits/women/0.jpg,https://randomuser.me/api/portraits/med/women/0.jpg,https://randomuser.me/api/portraits/thumb/women/0.jpg,US
