gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Ronnie,Austin,1957,Oak Ridge Ln,Sterling Heights,Hawaii,United States,39555,73.4630,-15.9897,-9:00,Alaska,ronnie.austin@example.com,1949-02-15T11:44:18.711Z,72,2010-03-23T14:49:32.906Z,11,(781)-236-1321,(107)-339-4208,SSN,879-88-3725,https://randomuser.me/api/portraits/men/94.jpg,https://randomuser.me/api/portraits/med/men/94.jpg,https://randomuser.me/api/portraits/thumb/men/94.jpg,US
male,Mr,Mitchell,Cunningham,5128,Crockett St,Lancaster,Colorado,United States,21880,-69.3187,120.6698,+5:45,Kathmandu,mitchell.cunningham@example.com,1982-10-09T12:09:42.645Z,39,2010-06-17T10:16:52.121Z,11,(663)-874-1516,(193)-875-0357,SSN,099-09-6351,https://randomuser.me/api/portraits/men/12.jpg,https://randomuser.me/api/portraits/med/men/12.jpg,https://randomuser.me/api/portraits/thumb/men/12.jpg,US
male,Mr,Antonio,Sutton,4940,Dogwood Ave,Belen,Arkansas,United States,50766,-48.9463,-113.0196,-9:00,Alaska,antonio.sutton@example.com,1994-01-29T12:28:31.987Z,27,2004-08-19T19:41:06.260Z,17,(022)-198-7330,(169)-111-7223,SSN,085-89-9520,https://randomuser.me/api/portraits/men/45.jpg,https://randomuser.me/api/portraits/med/men/45.jpg,https://randomuser.me/api/portraits/thumb/men/45.jpg,US
male,Mr,Pat,Kelley,2024,Groveland Terrace,Daly City,Minnesota,United States,97616,65.7622,156.1675,+5:45,Kathmandu,pat.kelley@example.com,1991-05-01T10:57:31.046Z,30,2004-03-31T16:50:35.743Z,17,(131)-923-0622,(096)-039-4674,SSN,371-67-1138,https://randomuser.me/api/portraits/men/20.jpg,https://randomuser.me/api/portraits/med/men/20.jpg,https://randomuser.me/api/portraits/thumb/men/20.jpg,US
female,Mrs,Carrie,Hall,4378,E North St,Athens,New Mexico,United States,35900,58.9678,127.4042,+4:30,Kabul,carrie.hall@example.com,1956-02-02T02:43:06.403Z,65,2003-05-14T09:34:25.089Z,18,(332)-595-2715,(115)-075-1384,SSN,272-17-2456,https://randomuser.me/api/portraits/women/77.jpg,https://randomuser.me/api/portraits/med/women/77.jpg,https://randomuser.me/api/portraits/thumb/women/77.jpg,US
female,Miss,Violet,Hall,6524,Mcgowen St,Vancouver,Pennsylvania,United States,40555,-69.2057,-69.9421,-10:00,Hawaii,violet.hall@example.com,1944-11-30T10:00:53.963Z,77,2004-11-19T09:11:40.332Z,17,(012)-751-9162,(707)-190-3281,SSN,104-47-8133,https://randomuser.me/api/portraits/women/60.jpg,https://randomuser.me/api/portraits/med/women/60.jpg,https://randomuser.me/api/portraits/thumb/women/60.jpg,US
female,Miss,Marie,Marshall,2865,Harrison Ct,Olathe,Nevada,United States,56933,84.7332,-167.8099,+4:30,Kabul,marie.marshall@example.com,1978-03-30T11:46:12.668Z,43,2003-06-27T07:57:35.441Z,18,(266)-006-0156,(706)-243-1991,SSN,774-78-0338,https://randomuser.me/api/portraits/women/35.jpg,https://randomuser.me/api/portraits/med/women/35.jpg,https://randomuser.me/api/portraits/thumb/women/35.jpg,US
female,Mrs,Joanne,Kelley,7682,Smokey Ln,Temecula,Kansas,United States,25543,48.9182,-153.0339,-9:00,Alaska,joanne.kelley@example.com,1988-04-15T06:21:18.386Z,33,2014-07-27T04:34:26.610Z,7,(529)-198-9505,(126)-123-7402,SSN,255-43-0490,https://randomuser.me/api/portraits/women/60.jpg,https://randomuser.me/api/portraits/med/women/60.jpg,https://randomuser.me/api/portraits/thumb/women/60.jpg,US
female,Miss,Sherry,Ruiz,4319,Valley View Ln,Thornton,West Virginia,United States,47410,72.1053,148.1724,-8:00,Pacific Time (US & Canada),sherry.ruiz@example.com,1957-10-04T13:51:27.922Z,64,2008-03-29T18:57:08.954Z,13,(521)-905-4637,(808)-685-1204,SSN,965-92-8070,https://randomuser.me/api/portraits/women/49.jpg,https://randomuser.me/api/portraits/med/women/49.jpg,https://randomuser.me/api/portraits/thumb/women/49.jpg,US
female,Miss,Margie,Baker,4616,N Stelling Rd,Gilbert,Nevada,United States,70334,5.4921,44.0466,-2:00,Mid-Atlantic,margie.baker@example.com,1998-09-20T00:47:36.487Z,23,2002-07-21T19:01:08.710Z,19,(827)-876-4983,(507)-492-7085,SSN,819-98-1411,https://randomuser.me/api/portraits/women/7.jpg,https://randomuser.me/api/portraits/med/women/7.jpg,https://randomuser.me/api/portraits/thumb/women/7.jpg,US
female,Miss,Anna,Burton,6447,Prospect Rd,Celina,Hawaii,United States,84091,-52.9677,98.1124,-7:00,Mountain Time (US & Canada),anna.burton@example.com,1956-07-07T01:30:03.798Z,65,2019-05-20T05:59:02.388Z,2,(336)-749-6360,(089)-490-4319,SSN,306-82-1452,https://randomuser.me/api/portraits/women/39.jpg,https://randomuser.me/api/portraits/med/women/39.jpg,https://randomuser.me/api/portraits/thumb/women/39.jpg,US
female,Ms,Tanya,Sanders,5014,Pockrus Page Rd,Victorville,Hawaii,United States,65023,-39.0198,-85.2876,-10:00,Hawaii,tanya.sanders@example.com,1947-07-13T23:58:18.850Z,74,2016-02-12T22:59:14.069Z,5,(134)-120-6410,(367)-920-0673,SSN,063-47-6418,https://randomuser.me/api/portraits/women/12.jpg,https://randomuser.me/api/portraits/med/women/12.jpg,https://randomuser.me/api/portraits/thumb/women/12.jpg,US
female,Ms,Lesa,Holmes,9445,Elgin St,Richmond,Colorado,United States,26864,-9.9992,-144.9201,-2:00,Mid-Atlantic,lesa.holmes@example.com,1997-07-13T21:34:08.841Z,24,2018-12-11T06:07:15.748Z,3,(997)-445-1489,(559)-193-5252,SSN,932-14-4932,https://randomuser.me/api/portraits/women/32.jpg,https://randomuser.me/api/portraits/med/women/32.jpg,https://randomuser.me/api/portraits/thumb/women/32.jpg,US
