gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Miss,Denise,Ramos,1957,Eason Rd,Salinas,West Virginia,United States,15591,53.3779,-97.6092,+5:45,Kathmandu,denise.ramos@example.com,1950-04-05T15:28:14.363Z,71,2012-10-01T00:32:29.378Z,9,(580)-321-9475,(444)-274-7272,SSN,645-51-6089,https://randomuser.me/api/portraits/women/16.jpg,https://randomuser.me/api/portraits/med/women/16.jpg,https://randomuser.me/api/portraits/thumb/women/16.jpg,US
female,Mrs,Kelly,Gomez,3003,Poplar Dr,Cupertino,Oklahoma,United States,59149,-71.3352,36.4601,+5:45,Kathmandu,kelly.gomez@example.com,1973-04-14T12:45:18.722Z,48,2007-01-02T18:23:13.205Z,14,(287)-867-6644,(302)-048-4320,SSN,600-15-9199,https://randomuser.me/api/portraits/women/58.jpg,https://randomuser.me/api/portraits/med/women/58.jpg,https://randomuser.me/api/portraits/thumb/women/58.jpg,US
male,Mr,Clifton,Rivera,654,Mockingbird Hill,Arvada,Idaho,United States,32911,-26.1016,-29.7825,-9:00,Alaska,clifton.rivera@example.com,1948-03-11T02:46:33.402Z,73,2007-08-07T03:41:49.752Z,14,(544)-179-3776,(883)-948-1022,SSN,808-06-0785,https://randomuser.me/api/portraits/men/59.jpg,https://randomuser.me/api/portraits/med/men/59.jpg,https://randomuser.me/api/portraits/thumb/men/59.jpg,US
male,Mr,Daryl,Collins,1436,Avondale Ave,Birmingham,Arkansas,United States,98591,-41.9159,19.9879,-3:30,Newfoundland,daryl.collins@example.com,1967-04-21T18:24:54.148Z,54,2018-11-23T00:09:24.976Z,3,(514)-006-8982,(061)-524-3528,SSN,214-22-7617,https://randomuser.me/api/portraits/men/1.jpg,https://randomuser.me/api/portraits/med/men/1.jpg,https://randomuser.me/api/portraits/thumb/men/1.jpg,US
male,Mr,Jackson,Caldwell,9636,Lakeview St,Tucson,Indiana,United States,50008,16.7509,21.7254,-10:00,Hawaii,jackson.caldwell@example.com,1951-03-29T23:40:13.173Z,70,2008-01-01T05:41:20.238Z,14,(347)-274-2721,(096)-285-2063,SSN,429-33-3288,https://randomuser.me/api/portraits/men/78.jpg,https://randomuser.me/api/portraits/med/men/78.jpg,https://randomuser.me/api/portraits/thumb/men/78.jpg,US
male,Mr,Wyatt,Newman,5347,Wycliff Ave,Seattle,Mississippi,United States,79987,-60.8622,-62.9366,-2:00,Mid-Atlantic,wyatt.newman@example.com,1965-06-05T00:04:07.867Z,56,2009-01-10T11:32:51.708Z,12,(808)-349-8207,(848)-807-6538,SSN,566-63-2772,https://randomuser.me/api/portraits/men/34.jpg,https://randomuser.me/api/portraits/med/men/34.jpg,https://randomuser.me/api/portraits/thumb/men/34.jpg,US
male,Mr,Erik,Chambers,4536,Fairview St,Roseburg,Missouri,United States,31717,-57.0975,157.5313,-10:00,Hawaii,erik.chambers@example.com,1993-11-28T22:12:39.152Z,28,2008-03-06T00:09:57.111Z,13,(671)-301-9718,(707)-472-2997,SSN,026-49-3819,https://randomuser.me/api/portraits/men/71.jpg,https://randomuser.me/api/portraits/med/men/71.jpg,https://randomuser.me/api/portraits/thumb/men/71.jpg,US
male,Mr,Leon,Harrison,6099,Mcclellan Rd,Salem,Connecticut,United States,25150,-47.3632,140.1411,-2:00,Mid-Atlantic,leon.harrison@example.com,1967-10-17T19:21:40.929Z,54,2018-01-01T22:40:03.231Z,3,(267)-677-2849,(730)-808-2316,SSN,160-01-8947,https://randomuser.me/api/portraits/men/67.jpg,https://randomuser.me/api/portraits/med/men/67.jpg,https://randomuser.me/api/portraits/thumb/men/67.jpg,US
male,Mr,Jamie,Young,1673,James St,Waxahachie,Massachusetts,United States,34116,11.5901,-85.4704,-2:00,Mid-Atlantic,jamie.young@example.com,1947-02-24T07:19:32.973Z,74,2013-02-17T06:51:52.222Z,8,(467)-017-1504,(207)-026-0432,SSN,427-71-1195,https://randomuser.me/api/portraits/men/76.jpg,https://randomuser.me/api/portraits/med/men/76.jpg,https://randomuser.me/api/portraits/thumb/men/76.jpg,US
female,Miss,Janice,Craig,6291,Lone Wolf Trail,Independence,Utah,United States,27868,-56.3454,-61.3423,-3:30,Newfoundland,janice.craig@example.com,1980-05-09T10:17:55.247Z,41,2002-09-12T09:34:01.361Z,19,(057)-679-6602,(952)-579-2690,SSN,556-52-9448,https://randomuser.me/api/portraits/women/60.jpg,https://randomuser.me/api/portraits/med/women/60.jpg,https://randomuser.me/api/portraits/thumb/women/60.jpg,US
