gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Miss,Cherly,Peterson,345,Wycliff Ave,York,Maryland,United States,86903,-51.6260,-98.9575,-7:00,Mountain Time (US & Canada),cherly.peterson@example.com,1989-05-19T04:03:07.165Z,32,2008-08-25T17:32:40.678Z,13,(398)-533-9283,(655)-140-3631,SSN,877-95-6671,https://randomuser.me/api/portraits/women/12.jpg,https://randomuser.me/api/portraits/med/women/12.jpg,https://randomuser.me/api/portraits/thumb/women/12.jpg,US
male,Mr,Derrick,Scott,7929,Brown Terrace,Moreno Valley,South Dakota,United States,77883,36.7431,-91.2199,+4:30,Kabul,derrick.scott@example.com,1995-01-26T23:36:48.121Z,26,2014-12-02T05:58:05.856Z,7,(399)-048-8253,(528)-790-2363,SSN,659-51-2970,https://randomuser.me/api/portraits/men/49.jpg,https://randomuser.me/api/portraits/med/men/49.jpg,https://randomuser.me/api/portraits/thumb/men/49.jpg,US
female,Ms,Martha,Roberts,8937,W Pecan St,Mcallen,Georgia,United States,92350,25.2631,9.2062,-8:00,Pacific Time (US & Canada),martha.roberts@example.com,1977-09-08T09:29:20.288Z,44,2010-10-17T13:47:53.621Z,11,(432)-079-1054,(651)-872-7991,SSN,761-27-6736,https://randomuser.me/api/portraits/women/38.jpg,https://randomuser.me/api/portraits/med/women/38.jpg,https://randomuser.me/api/portraits/thumb/women/38.jpg,US
male,Mr,Byron,Morales,292,James St,Pomona,Utah,United States,36547,31.5032,-158.9967,+3:30,Tehran,byron.morales@example.com,1981-09-22T08:31:26.026Z,40,2018-08-20T01:01:07.797Z,3,(609)-005-8500,(216)-196-4391,SSN,370-15-8090,https://randomuser.me/api/portraits/men/80.jpg,https://randomuser.me/api/portraits/med/men/80.jpg,https://randomuser.me/api/portraits/thumb/men/80.jpg,US
male,Mr,Frederick,Riley,5735,Northaven Rd,Buffalo,Arizona,United States,46756,-26.1452,168.1128,-2:00,Mid-Atlantic,frederick.riley@example.com,1965-10-03T19:26:01.823Z,56,2003-12-23T10:02:00.639Z,18,(790)-665-6159,(568)-882-2024,SSN,742-63-4614,https://randomuser.me/api/portraits/men/55.jpg,https://randomuser.me/api/portraits/med/men/55.jpg,https://randomuser.me/api/portraits/thumb/men/55.jpg,US
female,Ms,Harper,Ross,4599,W Sherman Dr,Flint,Rhode Island,United States,91515,-14.5317,-101.5913,+3:30,Tehran,harper.ross@example.com,1952-02-11T13:55:52.059Z,69,2012-03-26T05:03:37.888Z,9,(680)-458-2285,(576)-913-7724,SSN,143-95-2288,https://randomuser.me/api/portraits/women/36.jpg,https://randomuser.me/api/portraits/med/women/36.jpg,https://randomuser.me/api/portraits/thumb/women/36.jpg,US
female,Miss,Irma,Henderson,6890,James St,Corpus Christi,Maine,United States,78798,71.6125,115.0520,+3:30,Tehran,irma.henderson@example.com,1984-05-29T13:18:08.748Z,37,2008-09-06T05:59:31.625Z,13,(110)-813-5948,(362)-892-1390,SSN,524-20-1855,https://randomuser.me/api/portraits/women/43.jpg,https://randomuser.me/api/portraits/med/women/43.jpg,https://randomuser.me/api/portraits/thumb/women/43.jpg,US
female,Mrs,Joan,Burns,3151,Mockingbird Ln,Huntsville,Oklahoma,United States,29077,70.2212,63.2840,+4:30,Kabul,joan.burns@example.com,1954-12-15T19:46:52.250Z,67,2017-06-10T06:16:10.711Z,4,(522)-606-8705,(092)-764-4997,SSN,228-56-8724,https://randomuser.me/api/portraits/women/23.jpg,https://randomuser.me/api/portraits/med/women/23.jpg,https://randomuser.me/api/portraits/thumb/women/23.jpg,US
male,Mr,Mason,Soto,3579,Hogan St,Plano,Louisiana,United States,86131,-41.8845,130.5655,-7:00,Mountain Time (US & Canada),mason.soto@example.com,1987-11-13T06:04:59.587Z,34,2016-12-19T01:32:45.710Z,5,(640)-804-2404,(812)-505-9943,SSN,931-74-7128,https://randomuser.me/api/portraits/men/33.jpg,https://randomuser.me/api/portraits/med/men/33.jpg,https://randomuser.me/api/portraits/thumb/men/33.jpg,US
female,Ms,Nora,Newman,7162,W 6th St,Seagoville,Louisiana,United States,99133,-66.8702,3.1590,-10:00,Hawaii,nora.newman@example.com,1991-10-21T12:10:32.767Z,30,2002-11-08T03:55:59.653Z,19,(876)-196-2243,(186)-382-9349,SSN,165-06-8935,https://randomuser.me/api/portraits/women/53.jpg,https://randomuser.me/api/portraits/med/women/53.jpg,https://randomuser.me/api/portraits/thumb/women/53.jpg,US
female,Miss,Anna,Russell,1768,Stevens Creek Blvd,Fort Worth,Mississippi,United States,72942,-77.3259,144.7137,+3:30,Tehran,anna.russell@example.com,1970-11-01T22:39:33.703Z,51,2007-07-09T16:01:37.933Z,14,(334)-740-0342,(798)-537-2278,SSN,173-54-7742,https://randomuser.me/api/portraits/women/28.jpg,https://randomuser.me/api/portraits/med/women/28.jpg,https://randomuser.me/api/portraits/thumb/women/28.jpg,US
female,Miss,Emily,Kelley,4993,Central St,South Bend,New Hampshire,United States,49053,-49.4717,-97.9606,+4:30,Kabul,emily.kelley@example.com,1950-09-13T10:59:08.078Z,71,2015-08-20T05:01:52.131Z,6,(508)-305-7179,(347)-130-2281,SSN,365-64-1567,https://randomuser.me/api/portraits/women/91.jpg,https://randomuser.me/api/portraits/med/women/91.jpg,https://randomuser.me/api/portraits/thumb/women/91.jpg,US
female,Miss,Kristin,Diaz,120,Hamilton Ave,Augusta,Delaware,United States,39011,-86.2172,134.6925,-2:00,Mid-Atlantic,kristin.diaz@example.com,1968-04-07T18:14:33.416Z,53,2013-06-15T07:33:09.072Z,8,(881)-716-0309,(971)-959-7359,SSN,251-33-6558,https://randomuser.me/api/portraits/women/60.jpg,https://randomuser.me/api/portraits/med/women/60.jpg,https://randomuser.me/api/portraits/thumb/women/60.jpg,US
