gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Ms,Arlene,Cunningham,3284,E Sandy Lake Rd,Indianapolis,Idaho,United States,43746,-78.4090,74.7676,-8:00,Pacific Time (US & Canada),arlene.cunningham@example.com,1956-01-29T02:54:48.169Z,65,2004-02-24T13:20:14.561Z,17,(544)-476-3156,(012)-583-1569,SSN,809-61-9040,https://randomuser.me/api/portraits/women/69.jpg,https://randomuser.me/api/portraits/med/women/69.jpg,https://randomuser.me/api/portraits/thumb/women/69.jpg,US
female,Miss,Roberta,Hansen,1685,Ash Dr,Mesquite,Montana,United States,43502,-9.0272,-159.2783,+4:30,Kabul,roberta.hansen@example.com,1978-09-25T05:30:30.705Z,43,2018-04-18T10:21:34.367Z,3,(403)-976-2364,(821)-995-1862,SSN,714-95-0504,https://randomuser.me/api/portraits/women/55.jpg,https://randomuser.me/api/portraits/med/women/55.jpg,https://randomuser.me/api/portraits/thumb/women/55.jpg,US
female,Miss,Dawn,Knight,3143,Cherry St,Gainesville,Oklahoma,United States,21328,-54.4013,-85.5638,+3:30,Tehran,dawn.knight@example.com,1954-12-01T19:13:24.057Z,67,2014-11-07T23:35:59.686Z,7,(175)-552-0005,(176)-422-5075,SSN,477-59-9221,https://randomuser.me/api/portraits/women/47.jpg,https://randomuser.me/api/portraits/med/women/47.jpg,https://randomuser.me/api/portraits/thumb/women/47.jpg,US
female,Mrs,Kay,Ellis,2372,Brown Terrace,Milwaukee,Kentucky,United States,76879,75.3504,14.8129,-8:00,Pacific Time (US & Canada),kay.ellis@example.com,1978-08-05T23:39:10.916Z,43,2015-03-29T23:54:17.897Z,6,(335)-331-8343,(713)-928-6742,SSN,035-41-4834,https://randomuser.me/api/portraits/women/4.jpg,https://randomuser.me/api/portraits/med/women/4.jpg,https://randomuser.me/api/portraits/thumb/women/4.jpg,US
male,Mr,Leo,Cunningham,4485,Wycliff Ave,Altoona,Illinois,United States,29129,84.1207,115.4009,-3:30,Newfoundland,leo.cunningham@example.com,1994-05-15T19:00:25.946Z,27,2011-10-19T12:19:59.545Z,10,(074)-664-8479,(119)-854-2794,SSN,428-77-6082,https://randomuser.me/api/portraits/men/17.jpg,https://randomuser.me/api/portraits/med/men/17.jpg,https://randomuser.me/api/portraits/thumb/men/17.jpg,US
female,Ms,Brianna,Ross,309,Wycliff Ave,Riverside,Minnesota,United States,20700,-76.4558,-116.7866,+3:30,Tehran,brianna.ross@example.com,1961-01-29T07:45:08.745Z,60,2002-08-13T08:38:14.085Z,19,(584)-571-3783,(539)-829-9287,SSN,349-97-1540,https://randomuser.me/api/portraits/women/78.jpg,https://randomuser.me/api/portraits/med/women/78.jpg,https://randomuser.me/api/portraits/thumb/women/78.jpg,US
female,Miss,Savannah,Lawson,6160,Robinson Rd,Tucson,Florida,United States,52519,87.2925,-35.5235,+4:30,Kabul,savannah.lawson@example.com,1969-02-24T05:42:23.755Z,52,2005-08-14T20:01:57.744Z,16,(397)-156-3216,(151)-921-9978,SSN,648-38-3545,https://randomuser.me/api/portraits/women/44.jpg,https://randomuser.me/api/portraits/med/women/44.jpg,https://randomuser.me/api/portraits/thumb/women/44.jpg,US
female,Mrs,Terry,Silva,2237,W Belt Line Rd,St. Louis,Maryland,United States,95412,-87.2609,2.2209,-2:00,Mid-Atlantic,terry.silva@example.com,1967-06-29T17:35:53.838Z,54,2013-11-04T13:55:00.467Z,8,(092)-759-4009,(503)-518-4186,SSN,543-47-9523,https://randomuser.me/api/portraits/women/65.jpg,https://randomuser.me/api/portraits/med/women/65.jpg,https://randomuser.me/api/portraits/thumb/women/65.jpg,US
male,Mr,Aaron,Harvey,3488,James St,Plano,Massachusetts,United States,60278,-55.0612,86.8966,-7:00,Mountain Time (US & Canada),aaron.harvey@example.com,1979-03-26T12:26:05.426Z,42,2009-01-24T11:59:15.289Z,12,(757)-761-2452,(134)-640-2665,SSN,251-74-9584,https://randomuser.me/api/portraits/men/48.jpg,https://randomuser.me/api/portraits/med/men/48.jpg,https://randomuser.me/api/portraits/thumb/men/48.jpg,US
male,Mr,Morris,Wright,5028,W Belt Line Rd,Chandler,Rhode Island,United States,80751,-34.2630,-109.9713,-2:00,Mid-Atlantic,morris.wright@example.com,1963-03-28T07:01:34.895Z,58,2011-11-01T22:58:21.053Z,10,(923)-547-3596,(468)-803-1364,SSN,472-34-9664,https://randomuser.me/api/portraits/men/16.jpg,https://randomuser.me/api/portraits/med/men/16.jpg,https://randomuser.me/api/portraits/thumb/men/16.jpg,US
