gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Miss,Jeanne,Rogers,5551,Robinson Rd,Jackson,Nebraska,United States,47669,88.3555,14.1904,-7:00,Mountain Time (US & Canada),jeanne.rogers@example.com,1975-10-01T19:11:36.526Z,46,2013-03-22T11:44:04.810Z,8,(436)-675-4817,(889)-539-4575,SSN,017-19-2795,https://randomuser.me/api/portraits/women/88.jpg,https://randomuser.me/api/portraits/med/women/88.jpg,https://randomuser.me/api/portraits/thumb/women/88.jpg,US
female,Mrs,Irene,Ford,2179,Hunters Creek Dr,New Haven,Pennsylvania,United States,13863,32.2514,168.6414,-9:00,Alaska,irene.ford@example.com,1979-03-21T11:48:48.026Z,42,2010-12-26T01:28:03.849Z,11,(880)-874-0988,(324)-484-9499,SSN,949-39-5767,https://randomuser.me/api/portraits/women/1.jpg,https://randomuser.me/api/portraits/med/women/1.jpg,https://randomuser.me/api/portraits/thumb/women/1.jpg,US
female,Mrs,Kristin,Simmons,9842,Taylor St,Duncanville,New Mexico,United States,80755,-45.4315,-140.8733,+3:30,Tehran,kristin.simmons@example.com,1989-11-09T09:39:00.521Z,32,2006-08-28T10:11:57.510Z,15,(815)-395-4965,(873)-270-9402,SSN,896-04-4561,https://randomuser.me/api/portraits/women/52.jpg,https://randomuser.me/api/portraits/med/women/52.jpg,https://randomuser.me/api/portraits/thumb/women/52.jpg,US
female,Mrs,Heather,Meyer,318,First Street,Carlsbad,Maryland,United States,16134,-5.3076,-122.4663,+3:30,Tehran,heather.meyer@example.com,1965-05-31T06:23:17.290Z,56,2017-01-04T17:24:03.634Z,4,(276)-739-3449,(199)-804-9832,SSN,797-00-2239,https://randomuser.me/api/portraits/women/25.jpg,https://randomuser.me/api/portraits/med/women/25.jpg,https://randomuser.me/api/portraits/thumb/women/25.jpg,US
female,Mrs,Penny,Wade,5558,Ash Dr,Surprise,Montana,United States,58019,72.7336,169.7395,+5:45,Kathmandu,penny.wade@example.com,1970-03-24T09:47:42.163Z,51,2014-12-09T08:26:13.887Z,7,(641)-237-4852,(161)-301-0326,SSN,365-66-2461,https://randomuser.me/api/portraits/women/12.jpg,https://randomuser.me/api/portraits/med/women/12.jpg,https://randomuser.me/api/portraits/thumb/women/12.jpg,US
male,Mr,Fernando,Fisher,732,W Gray St,Bernalillo,Louisiana,United States,79465,40.7193,-134.6854,+3:30,Tehran,fernando.fisher@example.com,1984-06-02T23:09:26.641Z,37,2019-02-01T17:53:55.846Z,2,(592)-719-1530,(573)-572-1845,SSN,773-94-5118,https://randomuser.me/api/portraits/men/51.jpg,https://randomuser.me/api/portraits/med/men/51.jpg,https://randomuser.me/api/portraits/thumb/men/51.jpg,US
female,Mrs,Florence,Hart,6802,Frances Ct,Naperville,Kentucky,United States,52179,14.6673,-14.4526,+3:30,Tehran,florence.hart@example.com,1988-10-11T13:38:41.587Z,33,2015-03-03T15:29:24.378Z,6,(742)-476-3828,(242)-300-4151,SSN,003-30-2891,https://randomuser.me/api/portraits/women/22.jpg,https://randomuser.me/api/portraits/med/women/22.jpg,https://randomuser.me/api/portraits/thumb/women/22.jpg,US
female,Miss,Lydia,Hale,5716,Forest Ln,Westminster,West Virginia,United States,17568,-65.2673,121.6069,+5:45,Kathmandu,lydia.hale@example.com,1953-05-03T23:18:23.792Z,68,2015-05-12T16:11:38.645Z,6,(787)-819-7345,(768)-549-8018,SSN,966-84-1807,https://randomuser.me/api/portraits/women/24.jpg,https://randomuser.me/api/portraits/med/women/24.jpg,https://randomuser.me/api/portraits/thumb/women/24.jpg,US
female,Mrs,Nina,Barnes,4123,Camden Ave,Overland Park,Nebraska,United States,94441,-77.6198,113.3552,+5:45,Kathmandu,nina.barnes@example.com,1970-01-05T20:04:41.670Z,51,2012-10-25T17:35:17.504Z,9,(784)-064-7877,(615)-119-1626,SSN,995-86-9392,https://randomuser.me/api/portraits/women/1.jpg,https://randomuser.me/api/portraits/med/women/1.jpg,https://randomuser.me/api/portraits/thumb/women/1.jpg,US
female,Ms,Suzanne,Burns,6262,First Street,Flowermound,Colorado,United States,25674,-89.8241,9.8395,-3:30,Newfoundland,suzanne.burns@example.com,1985-07-27T16:33:06.481Z,36,2008-12-11T08:33:25.796Z,13,(344)-040-9388,(823)-903-4199,SSN,090-43-9706,https://randomuser.me/api/portraits/women/20.jpg,https://randomuser.me/api/portraits/med/women/20.jpg,https://randomuser.me/api/portraits/thumb/women/20.jpg,US
male,Mr,Jeffery,Watts,8337,Mcclellan Rd,Boulder,Oregon,United States,62577,-58.1023,58.7108,-2:00,Mid-Atlantic,jeffery.watts@example.com,1960-05-11T17:57:42.319Z,61,2004-10-29T13:47:42.735Z,17,(857)-625-8859,(652)-858-9447,SSN,239-24-6804,https://randomuser.me/api/portraits/men/40.jpg,https://randomuser.me/api/portraits/med/men/40.jpg,https://randomuser.me/api/portraits/thumb/men/40.jpg,US
female,Mrs,Teresa,Ward,7382,Saddle Dr,Nampa,Rhode Island,United States,27603,-83.6249,147.9046,+4:30,Kabul,teresa.ward@example.com,1994-05-19T04:08:25.716Z,27,2014-02-23T21:36:51.952Z,7,(141)-081-3959,(964)-766-9728,SSN,601-31-8848,https://randomuser.me/api/portraits/women/96.jpg,https://randomuser.me/api/portraits/med/women/96.jpg,https://randomuser.me/api/portraits/thumb/women/96.jpg,US
