gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Mrs,Ramona,Rodriquez,8436,E Pecan St,Bueblo,Missouri,United States,98113,23.5036,-42.7348,+5:45,Kathmandu,ramona.rodriquez@example.com,1981-08-08T17:54:03.482Z,40,2012-02-01T15:48:01.289Z,9,(860)-636-5647,(598)-361-2380,SSN,851-76-6379,https://randomuser.me/api/portraits/women/33.jpg,https://randomuser.me/api/portraits/med/women/33.jpg,https://randomuser.me/api/portraits/thumb/women/33.jpg,US
female,Mrs,Georgia,Porter,848,W Gray St,Mesquite,Hawaii,United States,45215,71.9647,27.8696,-10:00,Hawaii,georgia.porter@example.com,1957-12-20T14:24:20.147Z,64,2012-10-21T17:15:42.735Z,9,(311)-424-6444,(036)-530-3440,SSN,932-33-5185,https://randomuser.me/api/portraits/women/0.jpg,https://randomuser.me/api/portraits/med/women/0.jpg,https://randomuser.me/api/portraits/thumb/women/0.jpg,US
male,Mr,Juan,Hawkins,3710,Miller Ave,Rochester,North Dakota,United States,24389,72.9464,127.7214,+3:30,Tehran,juan.hawkins@example.com,1997-03-26T09:16:59.405Z,24,2006-10-15T11:21:18.870Z,15,(916)-093-0637,(571)-318-6061,SSN,947-97-0058,https://randomuser.me/api/portraits/men/22.jpg,https://randomuser.me/api/portraits/med/men/22.jpg,https://randomuser.me/api/portraits/thumb/men/22.jpg,US
male,Mr,Reginald,Rice,7664,Rolling Green Rd,Los Angeles,Idaho,United States,16265,-41.1598,-55.9051,+5:45,Kathmandu,reginald.rice@example.com,1968-04-29T21:49:20.424Z,53,2018-11-14T01:42:14.234Z,3,(255)-938-3786,(974)-660-2332,SSN,285-72-2823,https://randomuser.me/api/portraits/men/70.jpg,https://randomuser.me/api/portraits/med/men/70.jpg,https://randomuser.me/api/portraits/thumb/men/70.jpg,US
female,Mrs,Doris,Kennedy,9646,Spring St,Wichita Falls,Idaho,United States,20829,74.8034,34.4445,+4:30,Kabul,doris.kennedy@example.com,1973-06-12T16:05:41.517Z,48,2008-02-03T15:58:07.664Z,13,(669)-271-2868,(178)-362-9345,SSN,107-37-8268,https://randomuser.me/api/portraits/women/63.jpg,https://randomuser.me/api/portraits/med/women/63.jpg,https://randomuser.me/api/portraits/thumb/women/63.jpg,US
female,Mrs,Carmen,Snyder,9123,Spring St,Seymour,Washington,United States,29947,-60.2160,120.6437,+3:30,Tehran,carmen.snyder@example.com,1977-11-15T08:19:49.209Z,44,2009-11-06T16:46:56.590Z,12,(054)-304-9965,(617)-277-2100,SSN,234-61-1813,https://randomuser.me/api/portraits/women/56.jpg,https://randomuser.me/api/portraits/med/women/56.jpg,https://randomuser.me/api/portraits/thumb/women/56.jpg,US
male,Mr,Carl,Harrison,3389,Crockett St,Corona,Texas,United States,40483,-38.0927,159.9074,-9:00,Alaska,carl.harrison@example.com,1970-03-09T11:50:52.798Z,51,2007-09-12T11:17:54.770Z,14,(402)-171-2436,(172)-183-4895,SSN,831-10-0746,https://randomuser.me/api/portraits/men/94.jpg,https://randomuser.me/api/portraits/med/men/94.jpg,https://randomuser.me/api/portraits/thumb/men/94.jpg,US
male,Mr,Tomothy,Franklin,1667,Northaven Rd,Madison,Utah,United States,41126,42.7780,58.6663,-9:00,Alaska,tomothy.franklin@example.com,1958-05-09T23:01:20.125Z,63,2016-09-21T11:35:35.406Z,5,(675)-621-0529,(493)-488-3249,SSN,853-41-5518,https://randomuser.me/api/portraits/men/2.jpg,https://randomuser.me/api/portraits/med/men/2.jpg,https://randomuser.me/api/portraits/thumb/men/2.jpg,US
male,Mr,Terrence,Clark,781,Daisy Dr,Dallas,Pennsylvania,United States,74481,-9.6464,85.5600,+3:30,Tehran,terrence.clark@example.com,1980-05-22T07:37:56.673Z,41,2006-01-17T06:05:07.435Z,15,(363)-481-8585,(699)-354-4037,SSN,626-22-4782,https://randomuser.me/api/portraits/men/71.jpg,https://randomuser.me/api/portraits/med/men/71.jpg,https://randomuser.me/api/portraits/thumb/men/71.jpg,US
male,Mr,Robert,Myers,9261,Samaritan Dr,San Bernardino,Oregon,United States,78594,-9.6509,-69.6558,+5:45,Kathmandu,robert.myers@example.com,1996-07-19T05:08:04.114Z,25,2004-04-08T21:45:43.660Z,17,(444)-285-1849,(412)-840-3497,SSN,101-16-3251,https://randomuser.me/api/portraits/men/56.jpg,https://randomuser.me/api/portraits/med/men/56.jpg,https://randomuser.me/api/portraits/thumb/men/56.jpg,US
female,Mrs,Candice,Mckinney,8537,Lakeshore Rd,Santa Clarita,Arkansas,United States,29979,86.4405,-91.8950,-10:00,Hawaii,candice.mckinney@example.com,1958-05-01T22:43:25.724Z,63,2014-03-15T14:22:45.186Z,7,(643)-149-8204,(341)-030-4432,SSN,634-38-2668,https://randomuser.me/api/portraits/women/56.jpg,https://randomuser.me/api/portraits/med/women/56.jpg,https://randomuser.me/api/portraits/thumb/women/56.jpg,US
male,Mr,Jimmy,Carpenter,3144,W Pecan St,Rochmond,Nebraska,United States,47434,-25.8978,-101.0139,+3:30,Tehran,jimmy.carpenter@example.com,1993-11-18T04:02:06.149Z,28,2019-03-31T17:14:13.530Z,2,(136)-894-0579,(839)-527-6415,SSN,942-38-4126,https://randomuser.me/api/portraits/men/98.jpg,https://randomuser.me/api/portraits/med/men/98.jpg,https://randomuser.me/api/portraits/thumb/men/98.jpg,US
