gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Ms,Letitia,Fisher,5323,Karen Dr,Cape Fear,Nevada,United States,53737,36.7970,-5.6684,+5:45,Kathmandu,letitia.fisher@example.com,1997-04-03T11:45:02.040Z,24,2011-01-22T19:50:37.833Z,10,(654)-405-8323,(548)-599-5573,SSN,733-53-7029,https://randomuser.me/api/portraits/women/39.jpg,https://randomuser.me/api/portraits/med/women/39.jpg,https://randomuser.me/api/portraits/thumb/women/39.jpg,US
male,Mr,Ted,Peterson,1901,Lone Wolf Trail,Inglewood,Arkansas,United States,60495,-67.7214,88.2239,+5:45,Kathmandu,ted.peterson@example.com,1975-10-21T05:52:14.345Z,46,2017-07-14T19:08:09.914Z,4,(624)-002-0831,(976)-169-7368,SSN,228-83-1975,https://randomuser.me/api/portraits/men/0.jpg,https://randomuser.me/api/portraits/med/men/0.jpg,https://randomuser.me/api/portraits/thumb/men/0.jpg,US
male,Mr,Travis,Newman,6231,Adams St,Killeen,Alabama,United States,97047,60.6874,-115.1506,-9:00,Alaska,travis.newman@example.com,1949-09-10T15:43:21.330Z,72,2003-05-31T02:40:24.980Z,18,(703)-092-0952,(743)-983-4105,SSN,263-81-9212,https://randomuser.me/api/portraits/men/28.jpg,https://randomuser.me/api/portraits/med/men/28.jpg,https://randomuser.me/api/portraits/thumb/men/28.jpg,US
male,Mr,Ian,Watson,4286,Country Club Rd,Cedar Rapids,Rhode Island,United States,70284,-43.6106,91.9932,-8:00,Pacific Time (US & Canada),ian.watson@example.com,1984-01-13T21:28:54.929Z,37,2014-11-10T04:11:34.443Z,7,(744)-146-5391,(691)-124-4390,SSN,094-02-5786,https://randomuser.me/api/portraits/men/99.jpg,https://randomuser.me/api/portraits/med/men/99.jpg,https://randomuser.me/api/portraits/thumb/men/99.jpg,US
male,Mr,Gordon,Howell,2281,W Gray St,Portland,Maryland,United States,59648,86.8867,-25.1382,-10:00,Hawaii,gordon.howell@example.com,1989-03-18T12:30:02.414Z,32,2008-04-06T15:42:43.611Z,13,(735)-505-8698,(997)-947-0963,SSN,588-01-8425,https://randomuser.me/api/portraits/men/39.jpg,https://randomuser.me/api/portraits/med/men/39.jpg,https://randomuser.me/api/portraits/thumb/men/39.jpg,US
male,Mr,Randy,Day,7763,Crockett St,Naperville,Mississippi,United States,88102,-44.2520,-130.6649,+3:30,Tehran,randy.day@example.com,1972-08-22T01:17:24.196Z,49,2016-05-28T20:50:11.138Z,5,(893)-193-9107,(640)-468-8745,SSN,080-13-8372,https://randomuser.me/api/portraits/men/47.jpg,https://randomuser.me/api/portraits/med/men/47.jpg,https://randomuser.me/api/portraits/thumb/men/47.jpg,US
female,Mrs,June,Jenkins,576,Rolling Green Rd,Chattanooga,Georgia,United States,54052,21.5701,145.5203,-8:00,Pacific Time (US & Canada),june.jenkins@example.com,1967-02-23T02:08:59.443Z,54,2006-12-16T08:33:56.476Z,15,(915)-395-3960,(674)-329-3476,SSN,379-10-9504,https://randomuser.me/api/portraits/women/34.jpg,https://randomuser.me/api/portraits/med/women/34.jpg,https://randomuser.me/api/portraits/thumb/women/34.jpg,US
female,Ms,Lena,Green,2473,Prospect Rd,San Bernardino,Colorado,United States,49337,-63.1530,102.6439,-7:00,Mountain Time (US & Canada),lena.green@example.com,1962-10-11T21:39:55.824Z,59,2007-03-11T16:33:52.844Z,14,(097)-169-8798,(510)-250-8155,SSN,797-22-0061,https://randomuser.me/api/portraits/women/20.jpg,https://randomuser.me/api/portraits/med/women/20.jpg,https://randomuser.me/api/portraits/thumb/women/20.jpg,US
male,Mr,Marcus,Patterson,3449,Wycliff Ave,Iowa Park,Nebraska,United States,16174,-45.2942,75.9681,-3:30,Newfoundland,marcus.patterson@example.com,1963-01-03T20:43:57.197Z,58,2005-06-24T11:00:45.765Z,16,(453)-192-5277,(649)-946-4631,SSN,463-93-2482,https://randomuser.me/api/portraits/men/14.jpg,https://randomuser.me/api/portraits/med/men/14.jpg,https://randomuser.me/api/portraits/thumb/men/14.jpg,US
male,Mr,Devon,Kelly,8157,W Dallas St,Flowermound,Minnesota,United States,22954,85.8762,-18.1108,-3:30,Newfoundland,devon.kelly@example.com,1972-12-17T12:58:00.294Z,49,2011-12-25T13:54:51.171Z,10,(629)-362-7464,(877)-962-8076,SSN,560-31-9531,https://randomuser.me/api/portraits/men/35.jpg,https://randomuser.me/api/portraits/med/men/35.jpg,https://randomuser.me/api/portraits/thumb/men/35.jpg,US
male,Mr,Jack,Barrett,4960,W Belt Line Rd,Steilacoom,Illinois,United States,96631,1.3800,-130.6923,-3:30,Newfoundland,jack.barrett@example.com,1954-08-13T12:56:40.545Z,67,2019-03-09T20:48:24.138Z,2,(524)-434-6772,(920)-893-4521,SSN,634-69-8822,https://randomuser.me/api/portraits/men/96.jpg,https://randomuser.me/api/portraits/med/men/96.jpg,https://randomuser.me/api/portraits/thumb/men/96.jpg,US
female,Ms,Minnie,Kim,4193,Royal Ln,Hayward,Wisconsin,United States,75889,37.6836,-11.8364,-7:00,Mountain Time (US & Canada),minnie.kim@example.com,1996-11-18T02:32:14.238Z,25,2010-04-02T17:49:54.552Z,11,(262)-576-7134,(094)-406-4250,SSN,747-80-7975,https://randomuser.me/api/portraits/women/81.jpg,https://randomuser.me/api/portraits/med/women/81.jpg,https://randomuser.me/api/portraits/thumb/women/81.jpg,US
