gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Mrs,Wendy,Mendoza,8700,Timber Wolf Trail,Oceanside,Illinois,United States,23240,74.1187,156.4270,-3:30,Newfoundland,wendy.mendoza@example.com,1966-08-31T14:59:43.600Z,55,2005-11-15T23:46:05.769Z,16,(837)-197-4585,(256)-998-2755,SSN,306-58-0698,https://randomuser.me/api/portraits/women/16.jpg,https://randomuser.me/api/portraits/med/women/16.jpg,https://randomuser.me/api/portraits/thumb/women/16.jpg,US
male,Mr,Lloyd,Hill,5721,Taylor St,Paterson,Arkansas,United States,69028,-35.9334,-32.9915,+5:45,Kathmandu,lloyd.hill@example.com,1964-02-22T23:32:07.748Z,57,2004-11-13T08:19:00.178Z,17,(185)-916-4138,(222)-176-7582,SSN,328-83-6201,https://randomuser.me/api/portraits/men/79.jpg,https://randomuser.me/api/portraits/med/men/79.jpg,https://randomuser.me/api/portraits/thumb/men/79.jpg,US
female,Mrs,Janet,Hayes,985,Harrison Ct,Albany,Illinois,United States,99908,-39.9399,139.9815,+4:30,Kabul,janet.hayes@example.com,1997-01-15T03:38:30.953Z,24,2003-01-08T20:41:49.849Z,18,(045)-700-6530,(136)-237-8760,SSN,695-40-5131,https://randomuser.me/api/portraits/women/37.jpg,https://randomuser.me/api/portraits/med/women/37.jpg,https://randomuser.me/api/portraits/thumb/women/37.jpg,US
male,Mr,Terrance,Johnston,3855,Hunters Creek Dr,Torrance,Wyoming,United States,24016,63.1783,137.3893,+3:30,Tehran,terrance.johnston@example.com,1997-10-15T10:50:25.861Z,24,2014-06-10T20:00:26.253Z,7,(418)-394-2790,(760)-436-7750,SSN,633-44-4024,https://randomuser.me/api/portraits/men/36.jpg,https://randomuser.me/api/portraits/med/men/36.jpg,https://randomuser.me/api/portraits/thumb/men/36.jpg,US
female,Mrs,Joanne,Patterson,603,Spring St,Temecula,California,United States,95669,-33.1549,82.4774,+5:45,Kathmandu,joanne.patterson@example.com,1970-10-16T19:42:20.939Z,51,2003-04-05T22:51:16.492Z,18,(474)-053-2698,(876)-681-0124,SSN,127-62-6710,https://randomuser.me/api/portraits/women/46.jpg,https://randomuser.me/api/portraits/med/women/46.jpg,https://randomuser.me/api/portraits/thumb/women/46.jpg,US
female,Mrs,Tonya,Hart,1755,N Stelling Rd,Lansing,New Jersey,United States,91885,-44.0527,109.9756,-3:30,Newfoundland,tonya.hart@example.com,1974-10-07T18:42:25.211Z,47,2018-04-29T00:44:48.849Z,3,(840)-015-1716,(988)-657-6586,SSN,696-73-5160,https://randomuser.me/api/portraits/women/85.jpg,https://randomuser.me/api/portraits/med/women/85.jpg,https://randomuser.me/api/portraits/thumb/women/85.jpg,US
female,Mrs,Louella,Andrews,9789,Dane St,Richmond,Massachusetts,United States,19401,-52.1712,-8.1153,-3:30,Newfoundland,louella.andrews@example.com,1948-08-01T02:47:37.940Z,73,2014-01-19T12:14:28.415Z,7,(875)-345-1246,(759)-450-9802,SSN,582-41-8637,https://randomuser.me/api/portraits/women/80.jpg,https://randomuser.me/api/portraits/med/women/80.jpg,https://randomuser.me/api/portraits/thumb/women/80.jpg,US
female,Mrs,Christine,Bates,8234,Adams St,Orlando,Rhode Island,United States,19960,-85.3293,124.2948,-3:30,Newfoundland,christine.bates@example.com,1992-02-01T01:04:21.256Z,29,2004-02-11T11:30:11.660Z,17,(620)-971-9335,(575)-270-7225,SSN,359-64-2623,https://randomuser.me/api/portraits/women/6.jpg,https://randomuser.me/api/portraits/med/women/6.jpg,https://randomuser.me/api/portraits/thumb/women/6.jpg,US
male,Mr,Brayden,Porter,8888,Central St,Dallas,Massachusetts,United States,34598,11.8581,-24.6024,+4:30,Kabul,brayden.porter@example.com,1984-06-29T20:23:36.778Z,37,2019-02-26T06:53:06.002Z,2,(095)-960-1735,(020)-314-5011,SSN,430-74-7225,https://randomuser.me/api/portraits/men/95.jpg,https://randomuser.me/api/portraits/med/men/95.jpg,https://randomuser.me/api/portraits/thumb/men/95.jpg,US
female,Miss,Sylvia,Williams,6471,Spring St,Mesa,Alaska,United States,89658,-82.8477,-87.9880,-7:00,Mountain Time (US & Canada),sylvia.williams@example.com,1956-06-07T01:48:14.424Z,65,2012-01-27T22:33:32.516Z,9,(370)-908-2483,(650)-795-5393,SSN,641-38-0079,https://randomuser.me/api/portraits/women/88.jpg,https://randomuser.me/api/portraits/med/women/88.jpg,https://randomuser.me/api/portraits/thumb/women/88.jpg,US
