gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Ms,Tiffany,Boyd,3694,Mcclellan Rd,Shelby,North Carolina,United States,21896,0.3772,-15.7304,+3:30,Tehran,tiffany.boyd@example.com,1988-11-16T10:53:19.690Z,33,2002-05-24T02:29:58.337Z,19,(232)-679-3709,(084)-279-2856,SSN,897-75-3118,https://randomuser.me/api/portraits/women/3.jpg,https://randomuser.me/api/portraits/med/women/3.jpg,https://randomuser.me/api/portraits/thumb/women/3.jpg,US
female,Miss,Felecia,Alvarez,6047,Poplar Dr,Fountain Valley,Maine,United States,89111,12.5963,52.6085,-10:00,Hawaii,felecia.alvarez@example.com,1954-05-08T19:01:42.395Z,67,2019-07-22T09:01:16.726Z,2,(724)-285-0727,(431)-869-6553,SSN,142-96-0976,https://randomuser.me/api/portraits/women/19.jpg,https://randomuser.me/api/portraits/med/women/19.jpg,https://randomuser.me/api/portraits/thumb/women/19.jpg,US
male,Mr,Oscar,Alvarez,4468,Green Rd,Fresno,Oregon,United States,40283,18.2720,-59.8423,+3:30,Tehran,oscar.alvarez@example.com,1976-02-27T21:58:37.809Z,45,2016-02-03T21:48:36.023Z,5,(435)-771-0842,(985)-752-2710,SSN,850-68-3866,https://randomuser.me/api/portraits/men/69.jpg,https://randomuser.me/api/portraits/med/men/69.jpg,https://randomuser.me/api/portraits/thumb/men/69.jpg,US
male,Mr,Ben,Rice,1115,Ranchview Dr,Torrance,Maine,United States,34947,-70.2391,-159.3884,-10:00,Hawaii,ben.rice@example.com,1978-10-28T23:14:53.866Z,43,2018-01-08T08:25:02.660Z,3,(299)-527-2154,(822)-132-2967,SSN,544-07-8596,https://randomuser.me/api/portraits/men/95.jpg,https://randomuser.me/api/portraits/med/men/95.jpg,https://randomuser.me/api/portraits/thumb/men/95.jpg,US
male,Mr,Clayton,Castro,5901,W Sherman Dr,Bernalillo,Wyoming,United States,64103,-11.5345,-159.3580,-8:00,Pacific Time (US & Canada),clayton.castro@example.com,1988-09-17T15:12:14.915Z,33,2007-11-19T15:27:43.243Z,14,(167)-406-6638,(592)-978-1796,SSN,487-38-0581,https://randomuser.me/api/portraits/men/27.jpg,https://randomuser.me/api/portraits/med/men/27.jpg,https://randomuser.me/api/portraits/thumb/men/27.jpg,US
male,Mr,Ray,Martin,5718,Shady Ln Dr,Davenport,Massachusetts,United States,95913,72.4143,-157.8708,-3:30,Newfoundland,ray.martin@example.com,1975-05-11T05:38:54.273Z,46,2017-01-18T01:12:40.492Z,4,(750)-999-1710,(303)-053-2204,SSN,981-49-5523,https://randomuser.me/api/portraits/men/20.jpg,https://randomuser.me/api/portraits/med/men/20.jpg,https://randomuser.me/api/portraits/thumb/men/20.jpg,US
female,Mrs,Caroline,Kelley,7777,Mcgowen St,Saint Paul,Delaware,United States,96357,-59.7908,-26.4143,-8:00,Pacific Time (US & Canada),caroline.kelley@example.com,1973-12-18T20:30:10.201Z,48,2018-08-29T10:27:50.479Z,3,(652)-086-8054,(820)-141-9167,SSN,099-42-9490,https://randomuser.me/api/portraits/women/46.jpg,https://randomuser.me/api/portraits/med/women/46.jpg,https://randomuser.me/api/portraits/thumb/women/46.jpg,US
female,Ms,Christine,Hall,5010,Sunset St,Thornton,South Dakota,United States,94831,46.7405,-173.4190,-8:00,Pacific Time (US & Canada),christine.hall@example.com,1985-05-11T10:48:54.754Z,36,2017-04-30T05:37:46.003Z,4,(889)-536-8334,(611)-527-8121,SSN,537-75-6678,https://randomuser.me/api/portraits/women/25.jpg,https://randomuser.me/api/portraits/med/women/25.jpg,https://randomuser.me/api/portraits/thumb/women/25.jpg,US
male,Mr,Perry,Gomez,6134,Brown Terrace,Tucson,Colorado,United States,82262,-41.9549,51.0906,+4:30,Kabul,perry.gomez@example.com,1997-09-08T23:16:04.286Z,24,2007-03-05T15:46:11.788Z,14,(278)-236-9510,(864)-423-7206,SSN,043-28-0695,https://randomuser.me/api/portraits/men/25.jpg,https://randomuser.me/api/portraits/med/men/25.jpg,https://randomuser.me/api/portraits/thumb/men/25.jpg,US
male,Mr,Roland,Barnes,4670,Oak Ridge Ln,Denton,Hawaii,United States,71380,42.7659,-172.3784,+4:30,Kabul,roland.barnes@example.com,1980-08-25T02:28:13.542Z,41,2019-07-07T07:29:33.499Z,2,(123)-526-9200,(294)-358-6790,SSN,057-30-8548,https://randomuser.me/api/portraits/men/88.jpg,https://randomuser.me/api/portraits/med/men/88.jpg,https://randomuser.me/api/portraits/thumb/men/88.jpg,US
female,Mrs,Irma,Black,9143,Lakeview St,Allentown,Michigan,United States,99219,-61.5427,-6.4261,+5:45,Kathmandu,irma.black@example.com,1959-02-26T17:30:18.235Z,62,2017-11-04T15:26:40.056Z,4,(222)-512-5972,(530)-686-4557,SSN,404-78-3382,https://randomuser.me/api/portraits/women/18.jpg,https://randomuser.me/api/portraits/med/women/18.jpg,https://randomuser.me/api/portraits/thumb/women/18.jpg,US
female,Ms,Terry,Gutierrez,4050,Woodland St,Altoona,Illinois,United States,31413,18.4608,-107.6471,-10:00,Hawaii,terry.gutierrez@example.com,1993-10-05T12:36:31.241Z,28,2013-01-09T18:13:22.284Z,8,(110)-419-4676,(466)-630-1717,SSN,773-95-2834,https://randomuser.me/api/portraits/women/93.jpg,https://randomuser.me/api/portraits/med/women/93.jpg,https://randomuser.me/api/portraits/thumb/women/93.jpg,US
male,Mr,Theodore,Harvey,1295,Royal Ln,Moreno Valley,Connecticut,United States,60391,24.9685,-112.6620,+4:30,Kabul,theodore.harvey@example.com,1996-05-12T01:52:04.313Z,25,2003-12-11T18:31:18.198Z,18,(536)-097-7946,(569)-678-1399,SSN,066-51-6452,https://randomuser.me/api/portraits/men/26.jpg,https://randomuser.me/api/portraits/med/men/26.jpg,https://randomuser.me/api/portraits/thumb/men/26.jpg,US
female,Mrs,Leslie,Morgan,9425,Thornridge Cir,North Las Vegas,West Virginia,United States,25147,3.9487,65.1282,-7:00,Mountain Time (US & Canada),leslie.morgan@example.com,1993-10-06T03:57:24.710Z,28,2008-08-14T20:55:02.823Z,13,(980)-331-5401,(125)-816-3652,SSN,582-63-8941,https://randomuser.me/api/portraits/women/45.jpg,https://randomuser.me/api/portraits/med/women/45.jpg,https://randomuser.me/api/portraits/thumb/women/45.jpg,US
female,Ms,Constance,Stevens,5182,N Stelling Rd,Naperville,Montana,United States,17750,-7.0684,-94.7972,-7:00,Mountain Time (US & Canada),constance.stevens@example.com,1987-09-17T08:50:29.499Z,34,2013-06-11T08:24:24.096Z,8,(843)-694-7794,(571)-367-9936,SSN,066-96-0394,https://randomuser.me/api/portraits/women/22.jpg,https://randomuser.me/api/portraits/med/women/22.jpg,https://randomuser.me/api/portraits/thumb/women/22.jpg,US
male,Mr,Pedro,Riley,5808,Taylor St,Las Vegas,Georgia,United States,15299,-46.7048,124.3513,-3:30,Newfoundland,pedro.riley@example.com,1959-06-30T01:11:39.584Z,62,2014-06-24T15:18:50.231Z,7,(368)-217-9429,(520)-318-6422,SSN,534-53-3292,https://randomuser.me/api/portraits/men/30.jpg,https://randomuser.me/api/portraits/med/men/30.jpg,https://randomuser.me/api/portraits/thumb/men/30.jpg,US
