gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Mrs,Eleanor,Ramos,8525,Spring St,Jackson,Arkansas,United States,64882,23.1545,22.8092,-7:00,Mountain Time (US & Canada),eleanor.ramos@example.com,1990-11-23T15:35:11.976Z,31,2015-10-10T06:11:26.392Z,6,(447)-010-4212,(333)-870-1681,SSN,968-19-1671,https://randomuser.me/api/portraits/women/53.jpg,https://randomuser.me/api/portraits/med/women/53.jpg,https://randomuser.me/api/portraits/thumb/women/53.jpg,US
female,Ms,Kitty,Morales,2719,Green Rd,Chandler,New Hampshire,United States,37333,41.4446,167.4767,-10:00,Hawaii,kitty.morales@example.com,1962-04-27T03:37:45.012Z,59,2014-02-01T15:48:49.597Z,7,(897)-760-3838,(711)-160-7533,SSN,944-78-7361,https://randomuser.me/api/portraits/women/49.jpg,https://randomuser.me/api/portraits/med/women/49.jpg,https://randomuser.me/api/portraits/thumb/women/49.jpg,US
female,Miss,Louella,Byrd,646,Washington Ave,Tempe,Kentucky,United States,92266,-3.8594,-79.1660,+3:30,Tehran,louella.byrd@example.com,1960-12-09T10:13:02.231Z,61,2007-11-13T09:42:06.055Z,14,(472)-410-9508,(525)-477-1862,SSN,409-98-1690,https://randomuser.me/api/portraits/women/25.jpg,https://randomuser.me/api/portraits/med/women/25.jpg,https://randomuser.me/api/portraits/thumb/women/25.jpg,US
female,Miss,Carmen,Taylor,6374,Wycliff Ave,Phoenix,Oregon,United States,80628,-4.1559,-51.3040,-2:00,Mid-Atlantic,carmen.taylor@example.com,1963-11-23T04:26:56.183Z,58,2002-11-23T04:32:58.463Z,19,(187)-467-2870,(698)-603-4454,SSN,734-81-4263,https://randomuser.me/api/portraits/women/48.jpg,https://randomuser.me/api/portraits/med/women/48.jpg,https://randomuser.me/api/portraits/thumb/women/48.jpg,US
male,Mr,Tomothy,Montgomery,8337,Bollinger Rd,Independence,Maryland,United States,78786,-61.8052,24.0505,-7:00,Mountain Time (US & Canada),tomothy.montgomery@example.com,1971-12-11T22:18:42.070Z,50,2010-03-05T04:45:48.516Z,11,(413)-725-2408,(791)-834-3414,SSN,805-58-2911,https://randomuser.me/api/portraits/men/84.jpg,https://randomuser.me/api/portraits/med/men/84.jpg,https://randomuser.me/api/portraits/thumb/men/84.jpg,US
male,Mr,Milton,Walker,2036,Hogan St,Palmdale,Washington,United States,67162,35.7813,-56.8440,-2:00,Mid-Atlantic,milton.walker@example.com,1949-04-04T02:59:47.249Z,72,2014-09-02T04:31:20.209Z,7,(601)-616-8628,(254)-327-0636,SSN,653-31-2672,https://randomuser.me/api/portraits/men/14.jpg,https://randomuser.me/api/portraits/med/men/14.jpg,https://randomuser.me/api/portraits/thumb/men/14.jpg,US
female,Mrs,Gladys,Shaw,3522,Stevens Creek Blvd,Elko,Nebraska,United States,53993,9.8931,-22.1390,-3:30,Newfoundland,gladys.shaw@example.com,1953-06-29T08:33:29.183Z,68,2018-08-25T02:50:58.732Z,3,(940)-799-1023,(593)-928-6395,SSN,232-51-9454,https://randomuser.me/api/portraits/women/47.jpg,https://randomuser.me/api/portraits/med/women/47.jpg,https://randomuser.me/api/portraits/thumb/women/47.jpg,US
male,Mr,Alberto,Watkins,2335,Hogan St,New York,Virginia,United States,92874,74.7982,69.7885,-10:00,Hawaii,alberto.watkins@example.com,1966-06-27T23:01:05.298Z,55,2003-12-22T15:42:46.034Z,18,(061)-650-5542,(725)-732-6227,SSN,384-77-1648,https://randomuser.me/api/portraits/men/76.jpg,https://randomuser.me/api/portraits/med/men/76.jpg,https://randomuser.me/api/portraits/thumb/men/76.jpg,US
male,Mr,Wayne,Lopez,7176,Sunset St,Alexandria,South Dakota,United States,15437,53.0109,47.2633,-9:00,Alaska,wayne.lopez@example.com,1948-07-30T13:36:16.385Z,73,2014-09-30T08:28:30.267Z,7,(811)-071-3991,(155)-072-1058,SSN,418-89-5779,https://randomuser.me/api/portraits/men/94.jpg,https://randomuser.me/api/portraits/med/men/94.jpg,https://randomuser.me/api/portraits/thumb/men/94.jpg,US
male,Mr,Lewis,Henderson,21,Timber Wolf Trail,Chicago,Washington,United States,84103,30.1215,-127.2000,+5:45,Kathmandu,lewis.henderson@example.com,1965-08-16T18:15:50.484Z,56,2003-04-04T14:34:20.537Z,18,(316)-465-1983,(895)-791-5496,SSN,208-95-1995,https://randomuser.me/api/portraits/men/98.jpg,https://randomuser.me/api/portraits/med/men/98.jpg,https://randomuser.me/api/portraits/thumb/men/98.jpg,US
male,Mr,Seth,Wright,887,Mockingbird Hill,New York,New Hampshire,United States,21957,-61.7695,174.2864,-10:00,Hawaii,seth.wright@example.com,1956-03-14T09:12:57.835Z,65,2016-07-23T06:57:29.511Z,5,(414)-890-5785,(018)-778-4134,SSN,613-56-6883,https://randomuser.me/api/portraits/men/23.jpg,https://randomuser.me/api/portraits/med/men/23.jpg,https://randomuser.me/api/portraits/thumb/men/23.jpg,US
male,Mr,Cameron,Simmmons,2856,Railroad St,Rancho Cucamonga,Texas,United States,75606,37.9575,-129.5744,+5:45,Kathmandu,cameron.simmmons@example.com,1985-06-02T18:36:28.672Z,36,2009-02-08T12:51:21.303Z,12,(822)-634-1217,(136)-166-7395,SSN,276-41-2865,https://randomuser.me/api/portraits/men/1.jpg,https://randomuser.me/api/portraits/med/men/1.jpg,https://randomuser.me/api/portraits/thumb/men/1.jpg,US
female,Mrs,Laurie,Stephens,3222,Miller Ave,Moreno Valley,Kansas,United States,20879,47.9582,-134.1339,-2:00,Mid-Atlantic,laurie.stephens@example.com,1947-07-17T09:19:26.837Z,74,2010-01-15T06:53:01.615Z,11,(382)-052-6082,(818)-245-5356,SSN,175-07-2406,https://randomuser.me/api/portraits/women/50.jpg,https://randomuser.me/api/portraits/med/women/50.jpg,https://randomuser.me/api/portraits/thumb/women/50.jpg,US
