gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Ms,Kathryn,Duncan,1815,Country Club Rd,Providence,Maine,United States,95812,31.2423,145.5461,+5:45,Kathmandu,kathryn.duncan@example.com,1980-04-18T12:50:36.193Z,41,2010-05-12T22:16:22.902Z,11,(349)-716-9861,(953)-740-7689,SSN,787-97-8563,https://randomuser.me/api/portraits/women/51.jpg,https://randomuser.me/api/portraits/med/women/51.jpg,https://randomuser.me/api/portraits/thumb/women/51.jpg,US
female,Mrs,Claudia,Snyder,5226,Spring St,Mesquite,Kentucky,United States,60599,56.9031,65.7751,+5:45,Kathmandu,claudia.snyder@example.com,1979-10-24T11:55:05.232Z,42,2012-12-25T17:35:03.166Z,9,(764)-103-7052,(497)-684-9874,SSN,023-57-1861,https://randomuser.me/api/portraits/women/67.jpg,https://randomuser.me/api/portraits/med/women/67.jpg,https://randomuser.me/api/portraits/thumb/women/67.jpg,US
male,Mr,Robert,Flores,5945,W Belt Line Rd,Edison,California,United States,37981,44.7343,-27.7350,-3:30,Newfoundland,robert.flores@example.com,1996-09-09T18:41:51.174Z,25,2007-05-01T18:25:51.370Z,14,(599)-550-5303,(682)-058-4579,SSN,708-82-8349,https://randomuser.me/api/portraits/men/82.jpg,https://randomuser.me/api/portraits/med/men/82.jpg,https://randomuser.me/api/portraits/thumb/men/82.jpg,US
male,Mr,Johnni,Curtis,3364,Thornridge Cir,Daly City,Arkansas,United States,96407,42.8826,-102.8849,+4:30,Kabul,johnni.curtis@example.com,1985-03-09T01:14:24.483Z,36,2009-08-11T05:15:16.082Z,12,(534)-655-4226,(704)-549-0234,SSN,566-90-8067,https://randomuser.me/api/portraits/men/33.jpg,https://randomuser.me/api/portraits/med/men/33.jpg,https://randomuser.me/api/portraits/thumb/men/33.jpg,US
male,Mr,Miguel,Roberts,725,Wheeler Ridge Dr,Carrollton,Nebraska,United States,32323,53.8846,-140.3033,+5:45,Kathmandu,miguel.roberts@example.com,1967-10-05T07:10:10.230Z,54,2006-12-22T20:47:28.618Z,15,(927)-527-8401,(440)-224-6594,SSN,630-48-7537,https://randomuser.me/api/portraits/men/12.jpg,https://randomuser.me/api/portraits/med/men/12.jpg,https://randomuser.me/api/portraits/thumb/men/12.jpg,US
female,Mrs,Elaine,Burke,548,Taylor St,Ventura,Wyoming,United States,89788,66.3247,24.8487,+5:45,Kathmandu,elaine.burke@example.com,1950-04-20T01:03:13.140Z,71,2017-06-05T11:48:26.199Z,4,(500)-924-3413,(818)-649-1900,SSN,575-61-3784,https://randomuser.me/api/portraits/women/34.jpg,https://randomuser.me/api/portraits/med/women/34.jpg,https://randomuser.me/api/portraits/thumb/women/34.jpg,US
male,Mr,Neil,Anderson,5251,Mockingbird Hill,Denver,Indiana,United States,97353,85.5639,-111.3238,-10:00,Hawaii,neil.anderson@example.com,1979-04-08T15:57:40.703Z,42,2017-07-05T19:43:09.813Z,4,(815)-390-4121,(423)-963-5245,SSN,459-80-9956,https://randomuser.me/api/portraits/men/73.jpg,https://randomuser.me/api/portraits/med/men/73.jpg,https://randomuser.me/api/portraits/thumb/men/73.jpg,US
female,Ms,Sophie,Ellis,442,Spring Hill Rd,Saginaw,Minnesota,United States,46318,-73.7470,-90.3372,-9:00,Alaska,sophie.ellis@example.com,1966-02-21T22:33:32.142Z,55,2017-03-19T01:20:31.899Z,4,(514)-481-9342,(120)-733-1206,SSN,204-27-6397,https://randomuser.me/api/portraits/women/46.jpg,https://randomuser.me/api/portraits/med/women/46.jpg,https://randomuser.me/api/portraits/thumb/women/46.jpg,US
female,Mrs,Sophia,Palmer,2527,Hickory Creek Dr,Midland,Maryland,United States,13711,-88.9785,160.7363,+5:45,Kathmandu,sophia.palmer@example.com,1977-04-19T11:38:16.978Z,44,2007-12-26T05:47:59.145Z,14,(465)-709-8882,(512)-800-8644,SSN,410-25-2105,https://randomuser.me/api/portraits/women/11.jpg,https://randomuser.me/api/portraits/med/women/11.jpg,https://randomuser.me/api/portraits/thumb/women/11.jpg,US
male,Mr,Roy,Campbell,209,W Sherman Dr,Tempe,South Carolina,United States,57583,4.5144,4.9084,-9:00,Alaska,roy.campbell@example.com,1994-09-06T04:22:34.371Z,27,2006-04-13T06:09:59.490Z,15,(006)-189-7242,(070)-290-6230,SSN,835-34-6716,https://randomuser.me/api/portraits/men/73.jpg,https://randomuser.me/api/portraits/med/men/73.jpg,https://randomuser.me/api/portraits/thumb/men/73.jpg,US
