gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Ms,Sherry,Carlson,7146,James St,Aurora,Delaware,United States,15845,87.8149,-83.1966,+5:45,Kathmandu,sherry.carlson@example.com,1992-12-01T13:01:03.161Z,29,2018-09-12T06:14:17.849Z,3,(841)-279-1091,(207)-095-3956,SSN,325-97-5539,https://randomuser.me/api/portraits/women/16.jpg,https://randomuser.me/api/portraits/med/women/16.jpg,https://randomuser.me/api/portraits/thumb/women/16.jpg,US
female,Miss,Joanne,Cooper,4620,Hillcrest Rd,San Bernardino,Ohio,United States,48470,51.3525,-173.7188,-8:00,Pacific Time (US & Canada),joanne.cooper@example.com,1961-08-12T04:29:56.303Z,60,2013-06-07T20:00:01.666Z,8,(162)-566-0512,(615)-397-3215,SSN,648-53-7590,https://randomuser.me/api/portraits/women/37.jpg,https://randomuser.me/api/portraits/med/women/37.jpg,https://randomuser.me/api/portraits/thumb/women/37.jpg,US
female,Mrs,Anita,Rivera,6020,Locust Rd,Boston,Virginia,United States,84338,-39.9444,151.9580,+3:30,Tehran,anita.rivera@example.com,1998-05-03T08:32:11.753Z,23,2016-10-23T10:39:09.435Z,5,(568)-389-6664,(537)-296-1531,SSN,011-12-5734,https://randomuser.me/api/portraits/women/11.jpg,https://randomuser.me/api/portraits/med/women/11.jpg,https://randomuser.me/api/portraits/thumb/women/11.jpg,US
female,Miss,Penny,Sims,1057,Locust Rd,Frisco,Tennessee,United States,29244,53.1637,-73.2730,-3:30,Newfoundland,penny.sims@example.com,1983-06-17T08:57:44.533Z,38,2014-06-28T12:14:24.372Z,7,(548)-319-5376,(828)-092-9172,SSN,794-16-9960,https://randomuser.me/api/portraits/women/57.jpg,https://randomuser.me/api/portraits/med/women/57.jpg,https://randomuser.me/api/portraits/thumb/women/57.jpg,US
female,Ms,Lily,Gibson,3836,Saddle Dr,Ironville,Pennsylvania,United States,87313,37.7180,-36.5310,+3:30,Tehran,lily.gibson@example.com,1970-05-13T03:18:24.502Z,51,2013-10-01T00:58:42.964Z,8,(563)-016-9854,(070)-339-9588,SSN,481-28-4067,https://randomuser.me/api/portraits/women/68.jpg,https://randomuser.me/api/portraits/med/women/68.jpg,https://randomuser.me/api/portraits/thumb/women/68.jpg,US
male,Mr,Eli,Day,5406,Blossom Hill Rd,Waco,Iowa,United States,62626,-2.4848,21.6557,-2:00,Mid-Atlantic,eli.day@example.com,1975-04-29T17:26:07.007Z,46,2004-07-01T18:10:56.931Z,17,(526)-310-8795,(374)-461-0363,SSN,398-30-1333,https://randomuser.me/api/portraits/men/37.jpg,https://randomuser.me/api/portraits/med/men/37.jpg,https://randomuser.me/api/portraits/thumb/men/37.jpg,US
male,Mr,Darrell,Hudson,3128,Frances Ct,Roanoke,North Carolina,United States,57581,18.3628,-19.0647,+5:45,Kathmandu,darrell.hudson@example.com,1978-06-05T13:38:25.303Z,43,2003-01-27T16:01:19.815Z,18,(841)-366-0255,(913)-001-3632,SSN,602-46-9438,https://randomuser.me/api/portraits/men/32.jpg,https://randomuser.me/api/portraits/med/men/32.jpg,https://randomuser.me/api/portraits/thumb/men/32.jpg,US
female,Mrs,Mary,Carpenter,5657,W 6th St,Yonkers,Florida,United States,38547,-33.1306,98.2633,-9:00,Alaska,mary.carpenter@example.com,1965-10-28T00:51:08.080Z,56,2014-08-15T22:40:58.953Z,7,(695)-468-4712,(333)-828-1052,SSN,003-10-0080,https://randomuser.me/api/portraits/women/86.jpg,https://randomuser.me/api/portraits/med/women/86.jpg,https://randomuser.me/api/portraits/thumb/women/86.jpg,US
male,Mr,Vernon,Parker,1354,Spring St,Norfolk,California,United States,12164,17.0675,-62.5782,+3:30,Tehran,vernon.parker@example.com,1960-04-30T22:59:23.435Z,61,2012-09-17T12:38:18.079Z,9,(983)-150-0781,(110)-882-8804,SSN,436-46-0043,https://randomuser.me/api/portraits/men/85.jpg,https://randomuser.me/api/portraits/med/men/85.jpg,https://randomuser.me/api/portraits/thumb/men/85.jpg,US
female,Miss,Marian,Steward,588,Stevens Creek Blvd,Spokane,South Carolina,United States,58804,-66.4986,145.1424,-3:30,Newfoundland,marian.steward@example.com,1968-04-04T13:38:27.702Z,53,2015-04-04T13:35:14.069Z,6,(817)-499-5605,(373)-448-7302,SSN,755-36-2991,https://randomuser.me/api/portraits/women/42.jpg,https://randomuser.me/api/portraits/med/women/42.jpg,https://randomuser.me/api/portraits/thumb/women/42.jpg,US
female,Mrs,Nora,Hicks,2391,Harrison Ct,West Valley City,Florida,United States,36196,24.8904,-173.9248,-2:00,Mid-Atlantic,nora.hicks@example.com,1960-12-26T23:12:33.068Z,61,2003-10-19T21:14:52.758Z,18,(664)-677-6870,(905)-771-8511,SSN,441-25-9728,https://randomuser.me/api/portraits/women/95.jpg,https://randomuser.me/api/portraits/med/women/95.jpg,https://randomuser.me/api/portraits/thumb/women/95.jpg,US
male,Mr,Bradley,King,9357,Valley View Ln,Cupertino,Massachusetts,United States,47728,26.8654,-50.1378,+5:45,Kathmandu,bradley.king@example.com,1969-02-24T04:34:50.978Z,52,2003-10-31T02:13:54.940Z,18,(519)-296-9681,(618)-879-6153,SSN,498-57-1307,https://randomuser.me/api/portraits/men/74.jpg,https://randomuser.me/api/portraits/med/men/74.jpg,https://randomuser.me/api/portraits/thumb/men/74.jpg,US
male,Mr,Derrick,Fox,2472,Robinson Rd,Vallejo,Utah,United States,93578,39.4268,74.6470,+4:30,Kabul,derrick.fox@example.com,1957-07-16T00:40:52.682Z,64,2017-09-22T04:36:51.752Z,4,(949)-609-3145,(221)-056-7825,SSN,300-30-2378,https://randomuser.me/api/portraits/men/16.jpg,https://randomuser.me/api/portraits/med/men/16.jpg,https://randomuser.me/api/portraits/thumb/men/16.jpg,US
female,Mrs,Clara,Campbell,2929,Saddle Dr,Riverside,Nebraska,United States,31928,-73.0271,-91.7824,-2:00,Mid-Atlantic,clara.campbell@example.com,1948-07-19T14:07:25.725Z,73,2004-11-05T00:24:46.736Z,17,(076)-509-6095,(906)-727-5355,SSN,551-45-2091,https://randomuser.me/api/portraits/women/7.jpg,https://randomuser.me/api/portraits/med/women/7.jpg,https://randomuser.me/api/portraits/thumb/women/7.jpg,US
