gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Miss,Ellen,Sanchez,9751,Rolling Green Rd,Beaumont,New Jersey,United States,60988,-67.1650,-19.2288,-10:00,Hawaii,ellen.sanchez@example.com,1988-11-02T10:49:33.829Z,33,2008-09-04T23:51:58.192Z,13,(846)-095-5942,(191)-592-2672,SSN,183-04-5801,https://randomuser.me/api/portraits/women/46.jpg,https://randomuser.me/api/portraits/med/women/46.jpg,https://randomuser.me/api/portraits/thumb/women/46.jpg,US
female,Mrs,Bonnie,Hayes,2681,Adams St,Austin,Kentucky,United States,51333,-48.3804,165.2616,-8:00,Pacific Time (US & Canada),bonnie.hayes@example.com,1964-11-23T01:59:01.325Z,57,2017-08-12T06:41:39.417Z,4,(826)-466-3659,(508)-455-2025,SSN,299-66-1880,https://randomuser.me/api/portraits/women/58.jpg,https://randomuser.me/api/portraits/med/women/58.jpg,https://randomuser.me/api/portraits/thumb/women/58.jpg,US
male,Mr,Gilbert,Fernandez,6414,Prospect Rd,Fort Worth,Oklahoma,United States,42592,-21.0207,-112.9600,-2:00,Mid-Atlantic,gilbert.fernandez@example.com,1953-01-25T06:38:23.705Z,68,2007-05-09T21:46:33.669Z,14,(951)-006-5219,(609)-263-8213,SSN,743-55-3024,https://randomuser.me/api/portraits/men/75.jpg,https://randomuser.me/api/portraits/med/men/75.jpg,https://randomuser.me/api/portraits/thumb/men/75.jpg,US
male,Mr,Leslie,Cruz,1378,Fincher Rd,Cary,Oregon,United States,25544,-7.3626,151.6017,+4:30,Kabul,leslie.cruz@example.com,1944-11-19T16:54:33.007Z,77,2002-05-12T05:31:29.939Z,19,(317)-079-4879,(324)-707-4732,SSN,835-85-1363,https://randomuser.me/api/portraits/men/89.jpg,https://randomuser.me/api/portraits/med/men/89.jpg,https://randomuser.me/api/portraits/thumb/men/89.jpg,US
male,Mr,Ivan,Lawrence,4952,W Belt Line Rd,Saginaw,Kansas,United States,37826,-18.8931,50.9267,-7:00,Mountain Time (US & Canada),ivan.lawrence@example.com,1989-08-25T19:45:13.216Z,32,2005-01-26T02:32:03.170Z,16,(887)-342-3595,(230)-454-0779,SSN,868-59-5124,https://randomuser.me/api/portraits/men/16.jpg,https://randomuser.me/api/portraits/med/men/16.jpg,https://randomuser.me/api/portraits/thumb/men/16.jpg,US
male,Mr,Alexander,Lowe,3028,Shady Ln Dr,Provo,New Jersey,United States,24936,47.8566,-17.6379,-7:00,Mountain Time (US & Canada),alexander.lowe@example.com,1980-06-17T09:11:58.882Z,41,2006-08-31T21:13:14.886Z,15,(774)-541-7993,(464)-939-3657,SSN,711-60-2716,https://randomuser.me/api/portraits/men/95.jpg,https://randomuser.me/api/portraits/med/men/95.jpg,https://randomuser.me/api/portraits/thumb/men/95.jpg,US
female,Mrs,Gina,Payne,5611,Photinia Ave,Tacoma,West Virginia,United States,58116,-34.9925,-68.6923,+4:30,Kabul,gina.payne@example.com,1947-08-11T14:34:30.652Z,74,2017-01-19T21:55:52.744Z,4,(620)-808-0376,(971)-005-3762,SSN,776-81-8126,https://randomuser.me/api/portraits/women/51.jpg,https://randomuser.me/api/portraits/med/women/51.jpg,https://randomuser.me/api/portraits/thumb/women/51.jpg,US
female,Mrs,Ellen,Herrera,4960,Poplar Dr,Carlsbad,Virginia,United States,79126,-77.3494,86.7673,-7:00,Mountain Time (US & Canada),ellen.herrera@example.com,1986-01-05T02:52:02.924Z,35,2009-03-14T08:06:09.959Z,12,(227)-368-5924,(913)-499-0948,SSN,403-86-5797,https://randomuser.me/api/portraits/women/46.jpg,https://randomuser.me/api/portraits/med/women/46.jpg,https://randomuser.me/api/portraits/thumb/women/46.jpg,US
female,Mrs,Ann,Davidson,5012,Cackson St,Chesapeake,Maryland,United States,77277,41.6030,-6.2483,-10:00,Hawaii,ann.davidson@example.com,1964-04-02T07:57:00.449Z,57,2012-07-27T16:58:01.827Z,9,(143)-620-3310,(256)-218-8056,SSN,030-32-5021,https://randomuser.me/api/portraits/women/76.jpg,https://randomuser.me/api/portraits/med/women/76.jpg,https://randomuser.me/api/portraits/thumb/women/76.jpg,US
female,Miss,Sue,Mitchelle,1395,Spring Hill Rd,Cincinnati,Indiana,United States,92989,-26.2068,-35.5676,-10:00,Hawaii,sue.mitchelle@example.com,1992-11-16T15:49:21.079Z,29,2015-03-27T17:50:05.783Z,6,(188)-237-4321,(864)-940-2588,SSN,401-31-4333,https://randomuser.me/api/portraits/women/31.jpg,https://randomuser.me/api/portraits/med/women/31.jpg,https://randomuser.me/api/portraits/thumb/women/31.jpg,US
