gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Miss,Kelly,King,7526,Wheeler Ridge Dr,Las Cruces,Kansas,United States,74247,-13.5965,151.3380,-9:00,Alaska,kelly.king@example.com,1949-09-14T11:39:51.893Z,72,2015-05-11T13:08:44.712Z,6,(292)-836-0909,(268)-511-2418,SSN,716-69-2809,https://randomuser.me/api/portraits/women/73.jpg,https://randomuser.me/api/portraits/med/women/73.jpg,https://randomuser.me/api/portraits/thumb/women/73.jpg,US
female,Ms,Hannah,Harris,1707,Homestead Rd,Grants Pass,Hawaii,United States,64958,18.9287,20.9428,-2:00,Mid-Atlantic,hannah.harris@example.com,1970-09-27T06:39:35.037Z,51,2011-04-03T10:53:10.202Z,10,(157)-418-4908,(043)-921-6706,SSN,161-91-3506,https://randomuser.me/api/portraits/women/30.jpg,https://randomuser.me/api/portraits/med/women/30.jpg,https://randomuser.me/api/portraits/thumb/women/30.jpg,US
male,Mr,Thomas,Howard,7666,E Sandy Lake Rd,Surprise,Oregon,United States,97112,-20.2862,143.9417,-9:00,Alaska,thomas.howard@example.com,1969-03-24T00:38:33.989Z,52,2015-07-28T05:16:04.356Z,6,(575)-010-5066,(825)-807-1538,SSN,687-19-7540,https://randomuser.me/api/portraits/men/0.jpg,https://randomuser.me/api/portraits/med/men/0.jpg,https://randomuser.me/api/portraits/thumb/men/0.jpg,US
female,Ms,Brooklyn,Snyder,5126,Photinia Ave,Long Beach,Hawaii,United States,72893,-7.6581,-128.8811,-2:00,Mid-Atlantic,brooklyn.snyder@example.com,1995-08-25T14:42:11.615Z,26,2013-05-09T22:28:10.095Z,8,(192)-502-4032,(658)-352-2985,SSN,095-26-9724,https://randomuser.me/api/portraits/women/78.jpg,https://randomuser.me/api/portraits/med/women/78.jpg,https://randomuser.me/api/portraits/thumb/women/78.jpg,US
female,Mrs,Carmen,Harris,5223,W Dallas St,Sacramento,Wyoming,United States,44832,24.5982,-94.3139,+5:45,Kathmandu,carmen.harris@example.com,1955-10-10T12:41:32.626Z,66,2016-06-28T10:53:09.530Z,5,(179)-072-7681,(627)-238-8954,SSN,398-83-7969,https://randomuser.me/api/portraits/women/34.jpg,https://randomuser.me/api/portraits/med/women/34.jpg,https://randomuser.me/api/portraits/thumb/women/34.jpg,US
female,Miss,Tonya,West,4350,Karen Dr,The Colony,South Carolina,United States,31558,-42.8722,22.9885,-7:00,Mountain Time (US & Canada),tonya.west@example.com,1956-02-07T04:58:20.649Z,65,2019-07-07T15:41:26.013Z,2,(209)-161-3993,(902)-263-8193,SSN,988-88-7636,https://randomuser.me/api/portraits/women/19.jpg,https://randomuser.me/api/portraits/med/women/19.jpg,https://randomuser.me/api/portraits/thumb/women/19.jpg,US
female,Mrs,Sherry,Byrd,1922,White Oak Dr,Daly City,Nevada,United States,78981,58.9579,153.2979,-8:00,Pacific Time (US & Canada),sherry.byrd@example.com,1994-06-08T02:58:51.493Z,27,2008-04-25T12:27:58.605Z,13,(955)-789-5939,(337)-538-7148,SSN,903-21-2145,https://randomuser.me/api/portraits/women/41.jpg,https://randomuser.me/api/portraits/med/women/41.jpg,https://randomuser.me/api/portraits/thumb/women/41.jpg,US
female,Ms,Jeanne,Mason,7468,Hogan St,New Haven,Alabama,United States,11726,11.9497,-130.3317,-8:00,Pacific Time (US & Canada),jeanne.mason@example.com,1983-08-18T14:45:37.820Z,38,2014-06-10T01:37:25.523Z,7,(030)-884-4570,(979)-463-3671,SSN,151-49-5353,https://randomuser.me/api/portraits/women/89.jpg,https://randomuser.me/api/portraits/med/women/89.jpg,https://randomuser.me/api/portraits/thumb/women/89.jpg,US
male,Mr,Brandon,Scott,256,Adams St,Lowell,Connecticut,United States,74061,-52.7818,-25.8181,-7:00,Mountain Time (US & Canada),brandon.scott@example.com,1986-12-15T22:46:47.855Z,35,2018-02-11T16:09:51.552Z,3,(142)-033-6628,(261)-326-0611,SSN,765-32-6443,https://randomuser.me/api/portraits/men/34.jpg,https://randomuser.me/api/portraits/med/men/34.jpg,https://randomuser.me/api/portraits/thumb/men/34.jpg,US
female,Mrs,Kelly,Daniels,4414,Washington Ave,Newport News,Oregon,United States,80478,-7.0347,157.0151,-3:30,Newfoundland,kelly.daniels@example.com,1949-03-26T09:27:31.620Z,72,2005-11-02T15:02:11.934Z,16,(180)-393-6805,(885)-875-4079,SSN,810-37-5185,https://randomuser.me/api/portraits/women/70.jpg,https://randomuser.me/api/portraits/med/women/70.jpg,https://randomuser.me/api/portraits/thumb/women/70.jpg,US
female,Miss,Brianna,Hudson,2643,Oak Lawn Ave,Surrey,Oregon,United States,16702,48.4139,-81.3659,-7:00,Mountain Time (US & Canada),brianna.hudson@example.com,1980-01-28T14:20:10.524Z,41,2004-12-21T16:53:28.980Z,17,(838)-226-0582,(323)-930-5318,SSN,684-55-9684,https://randomuser.me/api/portraits/women/37.jpg,https://randomuser.me/api/portraits/med/women/37.jpg,https://randomuser.me/api/portraits/thumb/women/37.jpg,US
