gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Larry,Simpson,6505,Hickory Creek Dr,Topeka,Ohio,United States,20522,30.6897,-85.9566,-2:00,Mid-Atlantic,larry.simpson@example.com,1956-03-25T22:44:21.680Z,65,2010-04-15T07:45:12.913Z,11,(054)-130-5781,(215)-343-3333,SSN,502-10-1610,https://randomuser.me/api/portraits/men/5.jpg,https://randomuser.me/api/portraits/med/men/5.jpg,https://randomuser.me/api/portraits/thumb/men/5.jpg,US
female,Ms,Evelyn,Bowman,2646,Country Club Rd,Warren,West Virginia,United States,29280,76.7541,119.5295,-9:00,Alaska,evelyn.bowman@example.com,1980-10-13T23:27:20.820Z,41,2011-03-22T19:33:22.071Z,10,(142)-836-5749,(242)-457-4403,SSN,279-16-0230,https://randomuser.me/api/portraits/women/95.jpg,https://randomuser.me/api/portraits/med/women/95.jpg,https://randomuser.me/api/portraits/thumb/women/95.jpg,US
male,Mr,Hector,Steeves ,4511,First Street,Savannah,Iowa,United States,65047,-7.0831,-159.9119,-8:00,Pacific Time (US & Canada),hector.steeves@example.com,1951-06-27T09:27:25.309Z,70,2018-07-04T08:53:22.049Z,3,(721)-143-2417,(464)-253-5136,SSN,798-71-3767,https://randomuser.me/api/portraits/men/60.jpg,https://randomuser.me/api/portraits/med/men/60.jpg,https://randomuser.me/api/portraits/thumb/men/60.jpg,US
female,Ms,Annette,Lucas,5337,Pecan Acres Ln,Santa Clara,Connecticut,United States,30513,33.2752,-174.7351,-10:00,Hawaii,annette.lucas@example.com,1974-12-18T19:04:29.983Z,47,2003-03-15T02:03:34.749Z,18,(832)-958-2134,(397)-428-1057,SSN,146-06-0234,https://randomuser.me/api/portraits/women/96.jpg,https://randomuser.me/api/portraits/med/women/96.jpg,https://randomuser.me/api/portraits/thumb/women/96.jpg,US
male,Mr,Julio,Evans,7679,Royal Ln,Cupertino,Nevada,United States,13201,31.3145,16.6188,+3:30,Tehran,julio.evans@example.com,1994-06-13T08:19:54.452Z,27,2004-10-29T00:05:39.735Z,17,(264)-464-1904,(057)-785-2635,SSN,025-75-9885,https://randomuser.me/api/portraits/men/49.jpg,https://randomuser.me/api/portraits/med/men/49.jpg,https://randomuser.me/api/portraits/thumb/men/49.jpg,US
male,Mr,Chester,Gibson,6429,Hogan St,Tampa,Louisiana,United States,25318,-61.5540,-18.5210,-3:30,Newfoundland,chester.gibson@example.com,1977-09-01T04:39:06.141Z,44,2019-08-11T02:42:23.591Z,2,(436)-514-5478,(625)-926-7167,SSN,314-15-9380,https://randomuser.me/api/portraits/men/88.jpg,https://randomuser.me/api/portraits/med/men/88.jpg,https://randomuser.me/api/portraits/thumb/men/88.jpg,US
male,Mr,Warren,Harvey,5464,N Stelling Rd,Richmond,Maine,United States,24826,77.1378,-179.0714,-2:00,Mid-Atlantic,warren.harvey@example.com,1997-02-23T06:23:01.569Z,24,2007-12-20T22:53:58.207Z,14,(866)-593-4662,(214)-820-1873,SSN,754-69-5226,https://randomuser.me/api/portraits/men/67.jpg,https://randomuser.me/api/portraits/med/men/67.jpg,https://randomuser.me/api/portraits/thumb/men/67.jpg,US
male,Mr,Frank,Parker,3952,Green Rd,Scottsdale,Rhode Island,United States,66617,-11.8186,63.0819,-8:00,Pacific Time (US & Canada),frank.parker@example.com,1956-10-23T11:33:11.527Z,65,2006-07-01T00:24:34.855Z,15,(693)-291-0241,(795)-597-4710,SSN,141-54-1138,https://randomuser.me/api/portraits/men/22.jpg,https://randomuser.me/api/portraits/med/men/22.jpg,https://randomuser.me/api/portraits/thumb/men/22.jpg,US
male,Mr,Luis,Payne,2060,Central St,Pasadena,Virginia,United States,87612,47.0905,141.2272,-9:00,Alaska,luis.payne@example.com,1960-04-13T19:52:41.719Z,61,2002-04-02T11:35:29.647Z,19,(864)-764-1567,(014)-321-4470,SSN,140-27-7097,https://randomuser.me/api/portraits/men/37.jpg,https://randomuser.me/api/portraits/med/men/37.jpg,https://randomuser.me/api/portraits/thumb/men/37.jpg,US
female,Miss,Stephanie,Garrett,2723,Smokey Ln,Elizabeth,Nevada,United States,10409,-23.3424,-120.6935,+5:45,Kathmandu,stephanie.garrett@example.com,1972-02-20T13:35:04.899Z,49,2017-11-05T19:00:56.865Z,4,(900)-559-6297,(045)-016-8164,SSN,859-81-6703,https://randomuser.me/api/portraits/women/61.jpg,https://randomuser.me/api/portraits/med/women/61.jpg,https://randomuser.me/api/portraits/thumb/women/61.jpg,US
