gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Ms,Phyllis,Watson,3562,Pockrus Page Rd,Roanoke,Vermont,United States,24569,46.7059,176.5426,-10:00,Hawaii,phyllis.watson@example.com,1965-04-16T14:07:07.422Z,56,2015-04-25T21:45:48.809Z,6,(597)-136-2051,(170)-423-8816,SSN,430-50-7557,https://randomuser.me/api/portraits/women/9.jpg,https://randomuser.me/api/portraits/med/women/9.jpg,https://randomuser.me/api/portraits/thumb/women/9.jpg,US
female,Ms,Camila,Spencer,6768,College St,Lincoln,Illinois,United States,93883,-69.4798,131.6155,-10:00,Hawaii,camila.spencer@example.com,1954-07-15T03:53:50.932Z,67,2006-07-20T23:15:25.441Z,15,(376)-381-0937,(812)-730-2400,SSN,780-29-0209,https://randomuser.me/api/portraits/women/52.jpg,https://randomuser.me/api/portraits/med/women/52.jpg,https://randomuser.me/api/portraits/thumb/women/52.jpg,US
female,Miss,Harper,Rose,8171,Hickory Creek Dr,North Charleston,Massachusetts,United States,78710,-28.3408,120.6596,+5:45,Kathmandu,harper.rose@example.com,1957-10-28T06:11:33.963Z,64,2004-08-14T18:56:07.589Z,17,(551)-381-7847,(138)-851-0579,SSN,048-23-2975,https://randomuser.me/api/portraits/women/55.jpg,https://randomuser.me/api/portraits/med/women/55.jpg,https://randomuser.me/api/portraits/thumb/women/55.jpg,US
male,Mr,George,Marshall,4002,Robinson Rd,Austin,Pennsylvania,United States,36701,-35.1096,161.8588,-10:00,Hawaii,george.marshall@example.com,1966-12-23T08:57:56.258Z,55,2015-03-30T16:11:56.002Z,6,(534)-184-8299,(990)-977-8475,SSN,095-34-3078,https://randomuser.me/api/portraits/men/99.jpg,https://randomuser.me/api/portraits/med/men/99.jpg,https://randomuser.me/api/portraits/thumb/men/99.jpg,US
male,Mr,Nicholas,Grant,1682,Valley View Ln,North Charleston,Minnesota,United States,34551,2.4407,-69.6447,-2:00,Mid-Atlantic,nicholas.grant@example.com,1970-09-10T23:29:23.836Z,51,2015-07-11T06:03:46.804Z,6,(032)-431-3184,(881)-604-6738,SSN,542-76-9954,https://randomuser.me/api/portraits/men/9.jpg,https://randomuser.me/api/portraits/med/men/9.jpg,https://randomuser.me/api/portraits/thumb/men/9.jpg,US
female,Mrs,Alyssa,Horton,673,Wheeler Ridge Dr,Salem,Mississippi,United States,22844,-57.5944,123.8603,-3:30,Newfoundland,alyssa.horton@example.com,1960-08-16T07:39:53.559Z,61,2009-07-27T05:06:52.196Z,12,(597)-330-5994,(870)-222-7204,SSN,309-19-2451,https://randomuser.me/api/portraits/women/93.jpg,https://randomuser.me/api/portraits/med/women/93.jpg,https://randomuser.me/api/portraits/thumb/women/93.jpg,US
male,Mr,Clyde,Graves,6523,Fincher Rd,El Monte,New Hampshire,United States,54526,-3.8406,-75.1680,+3:30,Tehran,clyde.graves@example.com,1961-06-15T11:29:57.117Z,60,2011-02-03T01:06:22.457Z,10,(631)-396-0812,(244)-188-1460,SSN,478-46-3738,https://randomuser.me/api/portraits/men/57.jpg,https://randomuser.me/api/portraits/med/men/57.jpg,https://randomuser.me/api/portraits/thumb/men/57.jpg,US
female,Ms,Lucille,Sanchez,6287,Daisy Dr,Des Moines,Maryland,United States,12273,-73.1366,86.7100,-8:00,Pacific Time (US & Canada),lucille.sanchez@example.com,1950-11-25T07:22:41.878Z,71,2015-09-30T17:20:32.400Z,6,(618)-688-0372,(426)-854-2447,SSN,470-75-5206,https://randomuser.me/api/portraits/women/45.jpg,https://randomuser.me/api/portraits/med/women/45.jpg,https://randomuser.me/api/portraits/thumb/women/45.jpg,US
male,Mr,Dennis,Lambert,2637,W Belt Line Rd,Norwalk,Wisconsin,United States,76161,55.0922,81.6121,-3:30,Newfoundland,dennis.lambert@example.com,1974-02-14T12:20:51.276Z,47,2009-09-23T12:26:36.966Z,12,(236)-614-3877,(060)-002-8909,SSN,011-25-8949,https://randomuser.me/api/portraits/men/67.jpg,https://randomuser.me/api/portraits/med/men/67.jpg,https://randomuser.me/api/portraits/thumb/men/67.jpg,US
female,Mrs,Holly,Holmes,8854,Dane St,Lancaster,Arizona,United States,11906,20.6049,-14.8446,+5:45,Kathmandu,holly.holmes@example.com,1955-11-24T13:42:35.386Z,66,2013-07-01T03:52:02.574Z,8,(092)-883-9595,(946)-123-7407,SSN,198-24-5215,https://randomuser.me/api/portraits/women/26.jpg,https://randomuser.me/api/portraits/med/women/26.jpg,https://randomuser.me/api/portraits/thumb/women/26.jpg,US
male,Mr,Nicholas,Simmmons,2097,Valley View Ln,Moreno Valley,Oregon,United States,40532,-60.3269,-9.3216,-9:00,Alaska,nicholas.simmmons@example.com,1973-03-23T20:45:09.016Z,48,2004-03-18T16:03:50.126Z,17,(644)-098-6568,(714)-230-3907,SSN,057-10-0970,https://randomuser.me/api/portraits/men/45.jpg,https://randomuser.me/api/portraits/med/men/45.jpg,https://randomuser.me/api/portraits/thumb/men/45.jpg,US
