gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Martin,Porter,2634,Karen Dr,Centennial,Utah,United States,55323,55.5483,-3.0297,-9:00,Alaska,martin.porter@example.com,1972-10-29T07:59:45.318Z,49,2003-09-16T00:38:19.357Z,18,(692)-872-5781,(726)-372-7136,SSN,090-29-7795,https://randomuser.me/api/portraits/men/5.jpg,https://randomuser.me/api/portraits/med/men/5.jpg,https://randomuser.me/api/portraits/thumb/men/5.jpg,US
male,Mr,Jessie,Shelton,4462,Cackson St,Hollywood,North Dakota,United States,90847,87.6092,80.2527,+5:45,Kathmandu,jessie.shelton@example.com,1952-06-17T04:50:22.345Z,69,2014-04-25T22:02:39.384Z,7,(576)-808-9912,(042)-890-1563,SSN,155-18-4870,https://randomuser.me/api/portraits/men/27.jpg,https://randomuser.me/api/portraits/med/men/27.jpg,https://randomuser.me/api/portraits/thumb/men/27.jpg,US
female,Mrs,Jennie,Morrison,1766,W Sherman Dr,Fullerton,West Virginia,United States,49645,36.4398,166.7131,-7:00,Mountain Time (US & Canada),jennie.morrison@example.com,1961-08-25T20:45:21.427Z,60,2007-10-26T18:42:08.849Z,14,(837)-072-0581,(783)-568-9874,SSN,547-01-7101,https://randomuser.me/api/portraits/women/39.jpg,https://randomuser.me/api/portraits/med/women/39.jpg,https://randomuser.me/api/portraits/thumb/women/39.jpg,US
female,Miss,Courtney,Byrd,3592,Brown Terrace,Baltimore,Utah,United States,57186,-27.8210,111.9749,-9:00,Alaska,courtney.byrd@example.com,1955-09-15T20:49:25.819Z,66,2007-07-04T14:26:55.746Z,14,(092)-990-3700,(712)-382-4069,SSN,423-39-6186,https://randomuser.me/api/portraits/women/52.jpg,https://randomuser.me/api/portraits/med/women/52.jpg,https://randomuser.me/api/portraits/thumb/women/52.jpg,US
male,Mr,Jim,Frazier,4165,Daisy Dr,Billings,California,United States,50572,-60.3245,-120.4977,+4:30,Kabul,jim.frazier@example.com,1948-07-10T14:02:50.124Z,73,2012-12-23T23:37:19.580Z,9,(794)-908-5422,(519)-730-0611,SSN,491-09-3690,https://randomuser.me/api/portraits/men/0.jpg,https://randomuser.me/api/portraits/med/men/0.jpg,https://randomuser.me/api/portraits/thumb/men/0.jpg,US
female,Miss,Brandy,Douglas,1716,Harrison Ct,Fresno,Missouri,United States,95788,66.4773,-12.9165,-8:00,Pacific Time (US & Canada),brandy.douglas@example.com,1976-09-18T23:07:18.607Z,45,2018-04-06T12:05:11.467Z,3,(516)-250-8742,(261)-087-8247,SSN,243-68-5678,https://randomuser.me/api/portraits/women/96.jpg,https://randomuser.me/api/portraits/med/women/96.jpg,https://randomuser.me/api/portraits/thumb/women/96.jpg,US
male,Mr,Kelly,Warren,9333,Woodland St,Rialto,Wyoming,United States,82321,43.5466,151.5055,-9:00,Alaska,kelly.warren@example.com,1976-05-01T18:32:25.982Z,45,2014-12-10T19:27:00.954Z,7,(630)-451-5924,(810)-796-6946,SSN,238-53-4083,https://randomuser.me/api/portraits/men/58.jpg,https://randomuser.me/api/portraits/med/men/58.jpg,https://randomuser.me/api/portraits/thumb/men/58.jpg,US
male,Mr,Daniel,Hunter,5329,W Gray St,Akron,Alabama,United States,72178,-73.6814,-153.8042,-10:00,Hawaii,daniel.hunter@example.com,1992-01-13T03:47:13.039Z,29,2019-06-12T09:42:33.951Z,2,(761)-302-8278,(804)-975-0904,SSN,222-90-5874,https://randomuser.me/api/portraits/men/9.jpg,https://randomuser.me/api/portraits/med/men/9.jpg,https://randomuser.me/api/portraits/thumb/men/9.jpg,US
male,Mr,Allan,Rodriquez,3589,Edwards Rd,Anaheim,Georgia,United States,77128,-15.3761,4.6744,-10:00,Hawaii,allan.rodriquez@example.com,1976-12-11T02:32:45.462Z,45,2017-09-01T01:48:31.567Z,4,(832)-952-8085,(864)-539-1268,SSN,400-74-7051,https://randomuser.me/api/portraits/men/7.jpg,https://randomuser.me/api/portraits/med/men/7.jpg,https://randomuser.me/api/portraits/thumb/men/7.jpg,US
female,Ms,Margie,Harris,3922,First Street,Great Falls,Michigan,United States,68588,-89.8721,-167.8667,+5:45,Kathmandu,margie.harris@example.com,1979-02-09T01:34:46.182Z,42,2016-12-27T13:02:42.866Z,5,(412)-099-1000,(533)-393-5519,SSN,185-28-0796,https://randomuser.me/api/portraits/women/96.jpg,https://randomuser.me/api/portraits/med/women/96.jpg,https://randomuser.me/api/portraits/thumb/women/96.jpg,US
male,Mr,Marion,Ortiz,8870,Elgin St,Elko,California,United States,38061,36.8467,19.4335,-3:30,Newfoundland,marion.ortiz@example.com,1963-02-25T07:48:00.258Z,58,2011-02-01T05:36:41.387Z,10,(123)-503-7205,(572)-363-5173,SSN,837-57-9710,https://randomuser.me/api/portraits/men/40.jpg,https://randomuser.me/api/portraits/med/men/40.jpg,https://randomuser.me/api/portraits/thumb/men/40.jpg,US
